,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2,PathwayExtra Ligand,PathwayExtra Receptor,KinaseExtra Ligand,KinaseExtra Receptor,Receptor-TF-intersection,Receptor-TF-combined,Ligand-TF-intersection,Ligand-TF-combined
TGFB1_TGFBR1_TGFBR2,TGFB1_TGFBR1_TGFBR2,TGFb,TGFB1,TGFbR1_R2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,KEGG: hsa04350,Secreted Signaling,TGFB1 - (TGFBR1+TGFBR2),CTNNB1_CYCS_E2F1_ECSIT_EZR_HIF1A_IRF5_IRF7_MAPK1_NR2C2_PLG_RB1_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_STAT1_STAT3_STAT5A_STAT5B_TFDP1_TP53,ABL1_AR_CTNNB1_MAPK1_MDM2_MYC_NFATC4_NFKB1_NR2C2_NR3C1_PRKAA1_PRKAA2_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,ABL1_ANXA1_AR_ASAP3_BAX_BCL3_BCLAF1_CD59_CDX2_CEBPA_CEBPB_CEBPD_CLOCK_CREB1_CREM_CRTC2_CTNNB1_DAB2_E2F1_ELF3_ENO1_ESR1_ESR2_ETS1_ETS2_EZH2_EZR_FOS_FOXL2_FOXO1_FOXO3_FOXP3_GATA4_GATA6_GCM1_GFI1_GLI1_GLI2_GLI3_GTF2I_HDAC3_HIF1A_HNF1A_HNF4A_HSF1_IKZF3_JUN_JUNB_KLF5_MAFA_MAPK1_MDM2_MITF_MNX1_MYBL2_MYC_MYCL_MYCN_MYLK_NANOG_NCOA3_NEUROD1_NFATC1_NFATC2_NFATC4_NFE2L1_NFE2L2_NFKB1_NFKB2_NR1D1_NR3C1_PAX3_PDX1_PGR_PICK1_PKM_PPARD_PPARG_RB1_RELA_RELB_RFX1_RXRA_SFPQ_SMAD1_SMAD2_SMAD3_SMAD4_SMARCC2_SNAI1_SNAI2_SOX9_SP1_SPI1_SREBF1_SRF_STAT1_STAT3_STAT5A_STAT5B_STAT6_TFEB_THRB_TP53_TP73_TPPP_TRIM28_TRIP10_UBB_USF2_WT1_YBX1_YWHAE_YWHAZ_YY1_ZBTB16_ZHX1_ZNF281_ZNF322,AR_ASH2L_ATF2_BAD_CTBP1_CTNNB1_DAB2_ELK1_EZR_FOXL1_FOXO3_GATA4_GTF2I_LMX1A_MAPK1_MDM2_MEF2C_MYC_MYCN_NFATC2_OSR1_PIK3C3_PML_RAN_RELA_SMAD1_SMAD2_SMAD3_SMAD4_SMAD5_SMAD6_SMAD7_SMAD9_SOX9_SP1_STAT1_STAT3_STUB1_TP53_TP63_UBB_ZNF33A_ZNF567,AR_CTNNB1_MAPK1_MDM2_MYC_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,ABL1_AR_ASH2L_ATF2_BAD_CTBP1_CTNNB1_DAB2_ELK1_EZR_FOXL1_FOXO3_GATA4_GTF2I_LMX1A_MAPK1_MDM2_MEF2C_MYC_MYCN_NFATC2_NFATC4_NFKB1_NR2C2_NR3C1_OSR1_PIK3C3_PML_PRKAA1_PRKAA2_RAN_RELA_SMAD1_SMAD2_SMAD3_SMAD4_SMAD5_SMAD6_SMAD7_SMAD9_SOX9_SP1_STAT1_STAT3_STUB1_TP53_TP63_UBB_ZNF33A_ZNF567,CTNNB1_E2F1_EZR_HIF1A_MAPK1_RB1_SMAD1_SMAD2_SMAD3_SMAD4_STAT1_STAT3_STAT5A_STAT5B_TP53,ABL1_ANXA1_AR_ASAP3_BAX_BCL3_BCLAF1_CD59_CDX2_CEBPA_CEBPB_CEBPD_CLOCK_CREB1_CREM_CRTC2_CTNNB1_CYCS_DAB2_E2F1_ECSIT_ELF3_ENO1_ESR1_ESR2_ETS1_ETS2_EZH2_EZR_FOS_FOXL2_FOXO1_FOXO3_FOXP3_GATA4_GATA6_GCM1_GFI1_GLI1_GLI2_GLI3_GTF2I_HDAC3_HIF1A_HNF1A_HNF4A_HSF1_IKZF3_IRF5_IRF7_JUN_JUNB_KLF5_MAFA_MAPK1_MDM2_MITF_MNX1_MYBL2_MYC_MYCL_MYCN_MYLK_NANOG_NCOA3_NEUROD1_NFATC1_NFATC2_NFATC4_NFE2L1_NFE2L2_NFKB1_NFKB2_NR1D1_NR2C2_NR3C1_PAX3_PDX1_PGR_PICK1_PKM_PLG_PPARD_PPARG_RB1_RELA_RELB_RFX1_RXRA_SFPQ_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_SMARCC2_SNAI1_SNAI2_SOX9_SP1_SPI1_SREBF1_SRF_STAT1_STAT3_STAT5A_STAT5B_STAT6_TFDP1_TFEB_THRB_TP53_TP73_TPPP_TRIM28_TRIP10_UBB_USF2_WT1_YBX1_YWHAE_YWHAZ_YY1_ZBTB16_ZHX1_ZNF281_ZNF322
TGFB2_TGFBR1_TGFBR2,TGFB2_TGFBR1_TGFBR2,TGFb,TGFB2,TGFbR1_R2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,KEGG: hsa04350,Secreted Signaling,TGFB2 - (TGFBR1+TGFBR2),SMAD2_SMAD3_SMAD4_SMAD7_TP53,ABL1_AR_CTNNB1_MAPK1_MDM2_MYC_NFATC4_NFKB1_NR2C2_NR3C1_PRKAA1_PRKAA2_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,,AR_ASH2L_ATF2_BAD_CTBP1_CTNNB1_DAB2_ELK1_EZR_FOXL1_FOXO3_GATA4_GTF2I_LMX1A_MAPK1_MDM2_MEF2C_MYC_MYCN_NFATC2_OSR1_PIK3C3_PML_RAN_RELA_SMAD1_SMAD2_SMAD3_SMAD4_SMAD5_SMAD6_SMAD7_SMAD9_SOX9_SP1_STAT1_STAT3_STUB1_TP53_TP63_UBB_ZNF33A_ZNF567,AR_CTNNB1_MAPK1_MDM2_MYC_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,ABL1_AR_ASH2L_ATF2_BAD_CTBP1_CTNNB1_DAB2_ELK1_EZR_FOXL1_FOXO3_GATA4_GTF2I_LMX1A_MAPK1_MDM2_MEF2C_MYC_MYCN_NFATC2_NFATC4_NFKB1_NR2C2_NR3C1_OSR1_PIK3C3_PML_PRKAA1_PRKAA2_RAN_RELA_SMAD1_SMAD2_SMAD3_SMAD4_SMAD5_SMAD6_SMAD7_SMAD9_SOX9_SP1_STAT1_STAT3_STUB1_TP53_TP63_UBB_ZNF33A_ZNF567,,SMAD2_SMAD3_SMAD4_SMAD7_TP53
TGFB3_TGFBR1_TGFBR2,TGFB3_TGFBR1_TGFBR2,TGFb,TGFB3,TGFbR1_R2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,KEGG: hsa04350,Secreted Signaling,TGFB3 - (TGFBR1+TGFBR2),,ABL1_AR_CTNNB1_MAPK1_MDM2_MYC_NFATC4_NFKB1_NR2C2_NR3C1_PRKAA1_PRKAA2_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,,AR_ASH2L_ATF2_BAD_CTBP1_CTNNB1_DAB2_ELK1_EZR_FOXL1_FOXO3_GATA4_GTF2I_LMX1A_MAPK1_MDM2_MEF2C_MYC_MYCN_NFATC2_OSR1_PIK3C3_PML_RAN_RELA_SMAD1_SMAD2_SMAD3_SMAD4_SMAD5_SMAD6_SMAD7_SMAD9_SOX9_SP1_STAT1_STAT3_STUB1_TP53_TP63_UBB_ZNF33A_ZNF567,AR_CTNNB1_MAPK1_MDM2_MYC_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,ABL1_AR_ASH2L_ATF2_BAD_CTBP1_CTNNB1_DAB2_ELK1_EZR_FOXL1_FOXO3_GATA4_GTF2I_LMX1A_MAPK1_MDM2_MEF2C_MYC_MYCN_NFATC2_NFATC4_NFKB1_NR2C2_NR3C1_OSR1_PIK3C3_PML_PRKAA1_PRKAA2_RAN_RELA_SMAD1_SMAD2_SMAD3_SMAD4_SMAD5_SMAD6_SMAD7_SMAD9_SOX9_SP1_STAT1_STAT3_STUB1_TP53_TP63_UBB_ZNF33A_ZNF567,,
TGFB1_ACVR1B_TGFBR2,TGFB1_ACVR1B_TGFBR2,TGFb,TGFB1,ACVR1B_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB1 - (ACVR1B+TGFBR2),CTNNB1_CYCS_E2F1_ECSIT_EZR_HIF1A_IRF5_IRF7_MAPK1_NR2C2_PLG_RB1_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_STAT1_STAT3_STAT5A_STAT5B_TFDP1_TP53,ABL1_AR_MAPK1_MDM2_NFATC4_NFKB1_NR3C1_PRKAA1_PRKAA2_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,ABL1_ANXA1_AR_ASAP3_BAX_BCL3_BCLAF1_CD59_CDX2_CEBPA_CEBPB_CEBPD_CLOCK_CREB1_CREM_CRTC2_CTNNB1_DAB2_E2F1_ELF3_ENO1_ESR1_ESR2_ETS1_ETS2_EZH2_EZR_FOS_FOXL2_FOXO1_FOXO3_FOXP3_GATA4_GATA6_GCM1_GFI1_GLI1_GLI2_GLI3_GTF2I_HDAC3_HIF1A_HNF1A_HNF4A_HSF1_IKZF3_JUN_JUNB_KLF5_MAFA_MAPK1_MDM2_MITF_MNX1_MYBL2_MYC_MYCL_MYCN_MYLK_NANOG_NCOA3_NEUROD1_NFATC1_NFATC2_NFATC4_NFE2L1_NFE2L2_NFKB1_NFKB2_NR1D1_NR3C1_PAX3_PDX1_PGR_PICK1_PKM_PPARD_PPARG_RB1_RELA_RELB_RFX1_RXRA_SFPQ_SMAD1_SMAD2_SMAD3_SMAD4_SMARCC2_SNAI1_SNAI2_SOX9_SP1_SPI1_SREBF1_SRF_STAT1_STAT3_STAT5A_STAT5B_STAT6_TFEB_THRB_TP53_TP73_TPPP_TRIM28_TRIP10_UBB_USF2_WT1_YBX1_YWHAE_YWHAZ_YY1_ZBTB16_ZHX1_ZNF281_ZNF322,ASH2L_ATF2_CTNNB1_DAB2_GTF2I_MEF2C_MYCN_OSR1_PIK3C3_PML_RAN_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_SP1_STAT3_STUB1_TP53_TP63_UBB,SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,ABL1_AR_ASH2L_ATF2_CTNNB1_DAB2_GTF2I_MAPK1_MDM2_MEF2C_MYCN_NFATC4_NFKB1_NR3C1_OSR1_PIK3C3_PML_PRKAA1_PRKAA2_RAN_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_SP1_STAT3_STUB1_TP53_TP63_UBB,CTNNB1_E2F1_EZR_HIF1A_MAPK1_RB1_SMAD1_SMAD2_SMAD3_SMAD4_STAT1_STAT3_STAT5A_STAT5B_TP53,ABL1_ANXA1_AR_ASAP3_BAX_BCL3_BCLAF1_CD59_CDX2_CEBPA_CEBPB_CEBPD_CLOCK_CREB1_CREM_CRTC2_CTNNB1_CYCS_DAB2_E2F1_ECSIT_ELF3_ENO1_ESR1_ESR2_ETS1_ETS2_EZH2_EZR_FOS_FOXL2_FOXO1_FOXO3_FOXP3_GATA4_GATA6_GCM1_GFI1_GLI1_GLI2_GLI3_GTF2I_HDAC3_HIF1A_HNF1A_HNF4A_HSF1_IKZF3_IRF5_IRF7_JUN_JUNB_KLF5_MAFA_MAPK1_MDM2_MITF_MNX1_MYBL2_MYC_MYCL_MYCN_MYLK_NANOG_NCOA3_NEUROD1_NFATC1_NFATC2_NFATC4_NFE2L1_NFE2L2_NFKB1_NFKB2_NR1D1_NR2C2_NR3C1_PAX3_PDX1_PGR_PICK1_PKM_PLG_PPARD_PPARG_RB1_RELA_RELB_RFX1_RXRA_SFPQ_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_SMARCC2_SNAI1_SNAI2_SOX9_SP1_SPI1_SREBF1_SRF_STAT1_STAT3_STAT5A_STAT5B_STAT6_TFDP1_TFEB_THRB_TP53_TP73_TPPP_TRIM28_TRIP10_UBB_USF2_WT1_YBX1_YWHAE_YWHAZ_YY1_ZBTB16_ZHX1_ZNF281_ZNF322
TGFB1_ACVR1C_TGFBR2,TGFB1_ACVR1C_TGFBR2,TGFb,TGFB1,ACVR1C_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB1 - (ACVR1C+TGFBR2),CTNNB1_CYCS_E2F1_ECSIT_EZR_HIF1A_IRF5_IRF7_MAPK1_NR2C2_PLG_RB1_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_STAT1_STAT3_STAT5A_STAT5B_TFDP1_TP53,ABL1_AR_MAPK1_MDM2_NFATC4_NFKB1_NR3C1_PRKAA1_PRKAA2_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,ABL1_ANXA1_AR_ASAP3_BAX_BCL3_BCLAF1_CD59_CDX2_CEBPA_CEBPB_CEBPD_CLOCK_CREB1_CREM_CRTC2_CTNNB1_DAB2_E2F1_ELF3_ENO1_ESR1_ESR2_ETS1_ETS2_EZH2_EZR_FOS_FOXL2_FOXO1_FOXO3_FOXP3_GATA4_GATA6_GCM1_GFI1_GLI1_GLI2_GLI3_GTF2I_HDAC3_HIF1A_HNF1A_HNF4A_HSF1_IKZF3_JUN_JUNB_KLF5_MAFA_MAPK1_MDM2_MITF_MNX1_MYBL2_MYC_MYCL_MYCN_MYLK_NANOG_NCOA3_NEUROD1_NFATC1_NFATC2_NFATC4_NFE2L1_NFE2L2_NFKB1_NFKB2_NR1D1_NR3C1_PAX3_PDX1_PGR_PICK1_PKM_PPARD_PPARG_RB1_RELA_RELB_RFX1_RXRA_SFPQ_SMAD1_SMAD2_SMAD3_SMAD4_SMARCC2_SNAI1_SNAI2_SOX9_SP1_SPI1_SREBF1_SRF_STAT1_STAT3_STAT5A_STAT5B_STAT6_TFEB_THRB_TP53_TP73_TPPP_TRIM28_TRIP10_UBB_USF2_WT1_YBX1_YWHAE_YWHAZ_YY1_ZBTB16_ZHX1_ZNF281_ZNF322,ASH2L_ATF2_CTNNB1_DAB2_GTF2I_MEF2C_MYCN_OSR1_PIK3C3_PML_RAN_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_SP1_STAT3_STUB1_TP53_TP63_UBB,SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,ABL1_AR_ASH2L_ATF2_CTNNB1_DAB2_GTF2I_MAPK1_MDM2_MEF2C_MYCN_NFATC4_NFKB1_NR3C1_OSR1_PIK3C3_PML_PRKAA1_PRKAA2_RAN_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_SP1_STAT3_STUB1_TP53_TP63_UBB,CTNNB1_E2F1_EZR_HIF1A_MAPK1_RB1_SMAD1_SMAD2_SMAD3_SMAD4_STAT1_STAT3_STAT5A_STAT5B_TP53,ABL1_ANXA1_AR_ASAP3_BAX_BCL3_BCLAF1_CD59_CDX2_CEBPA_CEBPB_CEBPD_CLOCK_CREB1_CREM_CRTC2_CTNNB1_CYCS_DAB2_E2F1_ECSIT_ELF3_ENO1_ESR1_ESR2_ETS1_ETS2_EZH2_EZR_FOS_FOXL2_FOXO1_FOXO3_FOXP3_GATA4_GATA6_GCM1_GFI1_GLI1_GLI2_GLI3_GTF2I_HDAC3_HIF1A_HNF1A_HNF4A_HSF1_IKZF3_IRF5_IRF7_JUN_JUNB_KLF5_MAFA_MAPK1_MDM2_MITF_MNX1_MYBL2_MYC_MYCL_MYCN_MYLK_NANOG_NCOA3_NEUROD1_NFATC1_NFATC2_NFATC4_NFE2L1_NFE2L2_NFKB1_NFKB2_NR1D1_NR2C2_NR3C1_PAX3_PDX1_PGR_PICK1_PKM_PLG_PPARD_PPARG_RB1_RELA_RELB_RFX1_RXRA_SFPQ_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_SMARCC2_SNAI1_SNAI2_SOX9_SP1_SPI1_SREBF1_SRF_STAT1_STAT3_STAT5A_STAT5B_STAT6_TFDP1_TFEB_THRB_TP53_TP73_TPPP_TRIM28_TRIP10_UBB_USF2_WT1_YBX1_YWHAE_YWHAZ_YY1_ZBTB16_ZHX1_ZNF281_ZNF322
TGFB2_ACVR1B_TGFBR2,TGFB2_ACVR1B_TGFBR2,TGFb,TGFB2,ACVR1B_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB2 - (ACVR1B+TGFBR2),SMAD2_SMAD3_SMAD4_SMAD7_TP53,ABL1_AR_MAPK1_MDM2_NFATC4_NFKB1_NR3C1_PRKAA1_PRKAA2_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,,ASH2L_ATF2_CTNNB1_DAB2_GTF2I_MEF2C_MYCN_OSR1_PIK3C3_PML_RAN_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_SP1_STAT3_STUB1_TP53_TP63_UBB,SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,ABL1_AR_ASH2L_ATF2_CTNNB1_DAB2_GTF2I_MAPK1_MDM2_MEF2C_MYCN_NFATC4_NFKB1_NR3C1_OSR1_PIK3C3_PML_PRKAA1_PRKAA2_RAN_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_SP1_STAT3_STUB1_TP53_TP63_UBB,,SMAD2_SMAD3_SMAD4_SMAD7_TP53
TGFB2_ACVR1C_TGFBR2,TGFB2_ACVR1C_TGFBR2,TGFb,TGFB2,ACVR1C_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB2 - (ACVR1C+TGFBR2),SMAD2_SMAD3_SMAD4_SMAD7_TP53,ABL1_AR_MAPK1_MDM2_NFATC4_NFKB1_NR3C1_PRKAA1_PRKAA2_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,,ASH2L_ATF2_CTNNB1_DAB2_GTF2I_MEF2C_MYCN_OSR1_PIK3C3_PML_RAN_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_SP1_STAT3_STUB1_TP53_TP63_UBB,SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,ABL1_AR_ASH2L_ATF2_CTNNB1_DAB2_GTF2I_MAPK1_MDM2_MEF2C_MYCN_NFATC4_NFKB1_NR3C1_OSR1_PIK3C3_PML_PRKAA1_PRKAA2_RAN_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_SP1_STAT3_STUB1_TP53_TP63_UBB,,SMAD2_SMAD3_SMAD4_SMAD7_TP53
TGFB3_ACVR1B_TGFBR2,TGFB3_ACVR1B_TGFBR2,TGFb,TGFB3,ACVR1B_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB3 - (ACVR1B+TGFBR2),,ABL1_AR_MAPK1_MDM2_NFATC4_NFKB1_NR3C1_PRKAA1_PRKAA2_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,,ASH2L_ATF2_CTNNB1_DAB2_GTF2I_MEF2C_MYCN_OSR1_PIK3C3_PML_RAN_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_SP1_STAT3_STUB1_TP53_TP63_UBB,SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,ABL1_AR_ASH2L_ATF2_CTNNB1_DAB2_GTF2I_MAPK1_MDM2_MEF2C_MYCN_NFATC4_NFKB1_NR3C1_OSR1_PIK3C3_PML_PRKAA1_PRKAA2_RAN_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_SP1_STAT3_STUB1_TP53_TP63_UBB,,
TGFB3_ACVR1C_TGFBR2,TGFB3_ACVR1C_TGFBR2,TGFb,TGFB3,ACVR1C_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,TGFB3 - (ACVR1C+TGFBR2),,ABL1_AR_MAPK1_MDM2_NFATC4_NFKB1_NR3C1_PRKAA1_PRKAA2_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,,ASH2L_ATF2_CTNNB1_DAB2_GTF2I_MEF2C_MYCN_OSR1_PIK3C3_PML_RAN_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_SP1_STAT3_STUB1_TP53_TP63_UBB,SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_TP53_UBB,ABL1_AR_ASH2L_ATF2_CTNNB1_DAB2_GTF2I_MAPK1_MDM2_MEF2C_MYCN_NFATC4_NFKB1_NR3C1_OSR1_PIK3C3_PML_PRKAA1_PRKAA2_RAN_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_SP1_STAT3_STUB1_TP53_TP63_UBB,,
TGFB1_ACVR1_TGFBR1,TGFB1_ACVR1_TGFBR1,TGFb,TGFB1,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling,TGFB1 - (ACVR1+TGFBR1),CTNNB1_CYCS_E2F1_ECSIT_EZR_HIF1A_IRF5_IRF7_MAPK1_NR2C2_PLG_RB1_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_STAT1_STAT3_STAT5A_STAT5B_TFDP1_TP53,ABL1_AR_CTNNB1_MAPK1_MDM2_MYC_NFATC4_NFKB1_NR2C2_NR3C1_PRKAA1_PRKAA2_SMAD1_SMAD2_SMAD3_SMAD4_SMAD5_SMAD6_SMAD7_SMAD9_TP53_UBB,ABL1_ANXA1_AR_ASAP3_BAX_BCL3_BCLAF1_CD59_CDX2_CEBPA_CEBPB_CEBPD_CLOCK_CREB1_CREM_CRTC2_CTNNB1_DAB2_E2F1_ELF3_ENO1_ESR1_ESR2_ETS1_ETS2_EZH2_EZR_FOS_FOXL2_FOXO1_FOXO3_FOXP3_GATA4_GATA6_GCM1_GFI1_GLI1_GLI2_GLI3_GTF2I_HDAC3_HIF1A_HNF1A_HNF4A_HSF1_IKZF3_JUN_JUNB_KLF5_MAFA_MAPK1_MDM2_MITF_MNX1_MYBL2_MYC_MYCL_MYCN_MYLK_NANOG_NCOA3_NEUROD1_NFATC1_NFATC2_NFATC4_NFE2L1_NFE2L2_NFKB1_NFKB2_NR1D1_NR3C1_PAX3_PDX1_PGR_PICK1_PKM_PPARD_PPARG_RB1_RELA_RELB_RFX1_RXRA_SFPQ_SMAD1_SMAD2_SMAD3_SMAD4_SMARCC2_SNAI1_SNAI2_SOX9_SP1_SPI1_SREBF1_SRF_STAT1_STAT3_STAT5A_STAT5B_STAT6_TFEB_THRB_TP53_TP73_TPPP_TRIM28_TRIP10_UBB_USF2_WT1_YBX1_YWHAE_YWHAZ_YY1_ZBTB16_ZHX1_ZNF281_ZNF322,AR_ASH2L_ATF2_BAD_CTBP1_CTNNB1_DAB2_ELK1_EZR_FOXL1_FOXO3_GATA4_GTF2I_LMX1A_MAPK1_MDM2_MEF2C_MYC_MYCN_NFATC2_OSR1_PIK3C3_PML_PPARG_RAN_RELA_RXRA_SMAD1_SMAD2_SMAD3_SMAD4_SMAD5_SMAD6_SMAD7_SMAD9_SOX9_SP1_STAT1_STAT3_STUB1_THRB_TP53_TP63_UBB_USP39_VDR_ZNF33A_ZNF567,AR_CTNNB1_MAPK1_MDM2_MYC_SMAD1_SMAD2_SMAD3_SMAD4_SMAD5_SMAD6_SMAD7_SMAD9_TP53_UBB,ABL1_AR_ASH2L_ATF2_BAD_CTBP1_CTNNB1_DAB2_ELK1_EZR_FOXL1_FOXO3_GATA4_GTF2I_LMX1A_MAPK1_MDM2_MEF2C_MYC_MYCN_NFATC2_NFATC4_NFKB1_NR2C2_NR3C1_OSR1_PIK3C3_PML_PPARG_PRKAA1_PRKAA2_RAN_RELA_RXRA_SMAD1_SMAD2_SMAD3_SMAD4_SMAD5_SMAD6_SMAD7_SMAD9_SOX9_SP1_STAT1_STAT3_STUB1_THRB_TP53_TP63_UBB_USP39_VDR_ZNF33A_ZNF567,CTNNB1_E2F1_EZR_HIF1A_MAPK1_RB1_SMAD1_SMAD2_SMAD3_SMAD4_STAT1_STAT3_STAT5A_STAT5B_TP53,ABL1_ANXA1_AR_ASAP3_BAX_BCL3_BCLAF1_CD59_CDX2_CEBPA_CEBPB_CEBPD_CLOCK_CREB1_CREM_CRTC2_CTNNB1_CYCS_DAB2_E2F1_ECSIT_ELF3_ENO1_ESR1_ESR2_ETS1_ETS2_EZH2_EZR_FOS_FOXL2_FOXO1_FOXO3_FOXP3_GATA4_GATA6_GCM1_GFI1_GLI1_GLI2_GLI3_GTF2I_HDAC3_HIF1A_HNF1A_HNF4A_HSF1_IKZF3_IRF5_IRF7_JUN_JUNB_KLF5_MAFA_MAPK1_MDM2_MITF_MNX1_MYBL2_MYC_MYCL_MYCN_MYLK_NANOG_NCOA3_NEUROD1_NFATC1_NFATC2_NFATC4_NFE2L1_NFE2L2_NFKB1_NFKB2_NR1D1_NR2C2_NR3C1_PAX3_PDX1_PGR_PICK1_PKM_PLG_PPARD_PPARG_RB1_RELA_RELB_RFX1_RXRA_SFPQ_SMAD1_SMAD2_SMAD3_SMAD4_SMAD6_SMAD7_SMARCC2_SNAI1_SNAI2_SOX9_SP1_SPI1_SREBF1_SRF_STAT1_STAT3_STAT5A_STAT5B_STAT6_TFDP1_TFEB_THRB_TP53_TP73_TPPP_TRIM28_TRIP10_UBB_USF2_WT1_YBX1_YWHAE_YWHAZ_YY1_ZBTB16_ZHX1_ZNF281_ZNF322
