,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2,PathwayExtra Ligand,PathwayExtra Receptor,KinaseExtra Ligand,KinaseExtra Receptor,Receptor-TF-intersection,Receptor-TF-combined,Ligand-TF-intersection,Ligand-TF-combined
TGFB1_TGFBR1_TGFBR2,TGFB1_TGFBR1_TGFBR2,TGFb,Tgfb1,TGFbR1_R2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,KEGG: mmu04350,Secreted Signaling,Tgfb1 - (Tgfbr1+Tgfbr2),Tfdp1_Hif1a_Irf7_Stat3_Smad4_E2f1_Ctnnb1_Smad7_Plg_Stat5b_Stat1_Ecsit_Smad2_Nr2c2_Irf5_Smad1_Cycs_Ezr_Mapk1_Stat5a_Smad3_Smad6_Rb1,Smad4_Myc_Nfatc4_Smad1_Abl1_Prkaa1_Prkaa2_Mapk1_Nfkb1_Smad2_Smad3_Nr2c2_Smad6_Ctnnb1_Smad7,Fos_Anxa1_Sfpq_Hif1a_Mycl_Stat3_Pax3_Gli2_Hnf4a_Nr3c1_Smad4_Abl1_Crtc2_Elf3_Smarcc2_Hnf1a_Zhx1_Clock_Nfatc4_Pgr_Mdm2_Nfatc2_Snai1_Sox9_Nfatc1_Ezh2_Myc_Ppard_Hsf1_Ikzf3_Neurod1_Nfe2l1_Asap3_Ybx1_Gfi1_Zbtb16_Tfeb_Gcm1_Stat6_Ywhae_Srebf1_Ctnnb1_Rfx1_Snai2_Srf_Rela_Klf5_Stat1_Relb_Tppp_Bax_Bcl3_Gtf2i_Nfkb2_Ezr_Thrb_Mnx1_Gata4_Mafa_Mapk1_Trim28_Cdx2_Smad3_Cebpb_Dab2_Esr2_Crem_Junb_Creb1_Esr1_Ar_Foxo1_Pdx1_Cebpd_Gli3_Sp1_Ets1_Nfe2l2_Spi1_Mybl2_Usf2_Smad2_Mitf_Nanog_Rxra_Jun_Nfkb1_Mylk_Rb1_Ywhaz_Gata6_Hdac3_Ets2_Pparg_E2f1_Foxo3_Yy1_Mycn_Cebpa_Eno1_Stat5b_Foxp3_Pkm_Wt1_Ncoa3_Trip10_Smad1_Foxl2_Stat5a_Pick1_Bclaf1_Gli1_Nr1d1,Elk1_Myc_Pik3c3_Ctbp1_Ar_Pml_Smad9_Stat3_Smad4_Foxo3_Smad5_Sp1_Bad_Mycn_Ctnnb1_Smad7_Lmx1a_Ran_Foxl1_Stub1_Mef2c_Rela_Ash2l_Stat1_Smad2_Osr1_Gtf2i_Smad1_Ezr_Mdm2_Nfatc2_Gata4_Mapk1_Dab2_Smad6_Smad3_Atf2_Sox9,Ctnnb1_Mapk1_Myc_Smad1_Smad2_Smad3_Smad4_Smad6_Smad7,Abl1_Ar_Ash2l_Atf2_Bad_Ctbp1_Ctnnb1_Dab2_Elk1_Ezr_Foxl1_Foxo3_Gata4_Gtf2i_Lmx1a_Mapk1_Mdm2_Mef2c_Myc_Mycn_Nfatc2_Nfatc4_Nfkb1_Nr2c2_Osr1_Pik3c3_Pml_Prkaa1_Prkaa2_Ran_Rela_Smad1_Smad2_Smad3_Smad4_Smad5_Smad6_Smad7_Smad9_Sox9_Sp1_Stat1_Stat3_Stub1,Ctnnb1_E2f1_Ezr_Hif1a_Mapk1_Rb1_Smad1_Smad2_Smad3_Smad4_Stat1_Stat3_Stat5a_Stat5b,Abl1_Anxa1_Ar_Asap3_Bax_Bcl3_Bclaf1_Cdx2_Cebpa_Cebpb_Cebpd_Clock_Creb1_Crem_Crtc2_Ctnnb1_Cycs_Dab2_E2f1_Ecsit_Elf3_Eno1_Esr1_Esr2_Ets1_Ets2_Ezh2_Ezr_Fos_Foxl2_Foxo1_Foxo3_Foxp3_Gata4_Gata6_Gcm1_Gfi1_Gli1_Gli2_Gli3_Gtf2i_Hdac3_Hif1a_Hnf1a_Hnf4a_Hsf1_Ikzf3_Irf5_Irf7_Jun_Junb_Klf5_Mafa_Mapk1_Mdm2_Mitf_Mnx1_Mybl2_Myc_Mycl_Mycn_Mylk_Nanog_Ncoa3_Neurod1_Nfatc1_Nfatc2_Nfatc4_Nfe2l1_Nfe2l2_Nfkb1_Nfkb2_Nr1d1_Nr2c2_Nr3c1_Pax3_Pdx1_Pgr_Pick1_Pkm_Plg_Ppard_Pparg_Rb1_Rela_Relb_Rfx1_Rxra_Sfpq_Smad1_Smad2_Smad3_Smad4_Smad6_Smad7_Smarcc2_Snai1_Snai2_Sox9_Sp1_Spi1_Srebf1_Srf_Stat1_Stat3_Stat5a_Stat5b_Stat6_Tfdp1_Tfeb_Thrb_Tppp_Trim28_Trip10_Usf2_Wt1_Ybx1_Ywhae_Ywhaz_Yy1_Zbtb16_Zhx1
TGFB2_TGFBR1_TGFBR2,TGFB2_TGFBR1_TGFBR2,TGFb,Tgfb2,TGFbR1_R2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,KEGG: mmu04350,Secreted Signaling,Tgfb2  - (Tgfbr1+Tgfbr2),Smad4_Smad7_Smad2_Smad3,Smad4_Myc_Nfatc4_Smad1_Abl1_Prkaa1_Prkaa2_Mapk1_Nfkb1_Smad2_Smad3_Nr2c2_Smad6_Ctnnb1_Smad7,,Elk1_Myc_Pik3c3_Ctbp1_Ar_Pml_Smad9_Stat3_Smad4_Foxo3_Smad5_Sp1_Bad_Mycn_Ctnnb1_Smad7_Lmx1a_Ran_Foxl1_Stub1_Mef2c_Rela_Ash2l_Stat1_Smad2_Osr1_Gtf2i_Smad1_Ezr_Mdm2_Nfatc2_Gata4_Mapk1_Dab2_Smad6_Smad3_Atf2_Sox9,Ctnnb1_Mapk1_Myc_Smad1_Smad2_Smad3_Smad4_Smad6_Smad7,Abl1_Ar_Ash2l_Atf2_Bad_Ctbp1_Ctnnb1_Dab2_Elk1_Ezr_Foxl1_Foxo3_Gata4_Gtf2i_Lmx1a_Mapk1_Mdm2_Mef2c_Myc_Mycn_Nfatc2_Nfatc4_Nfkb1_Nr2c2_Osr1_Pik3c3_Pml_Prkaa1_Prkaa2_Ran_Rela_Smad1_Smad2_Smad3_Smad4_Smad5_Smad6_Smad7_Smad9_Sox9_Sp1_Stat1_Stat3_Stub1,,Smad2_Smad3_Smad4_Smad7
TGFB3_TGFBR1_TGFBR2,TGFB3_TGFBR1_TGFBR2,TGFb,Tgfb3,TGFbR1_R2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,KEGG: mmu04350,Secreted Signaling,Tgfb3  - (Tgfbr1+Tgfbr2),,Smad4_Myc_Nfatc4_Smad1_Abl1_Prkaa1_Prkaa2_Mapk1_Nfkb1_Smad2_Smad3_Nr2c2_Smad6_Ctnnb1_Smad7,,Elk1_Myc_Pik3c3_Ctbp1_Ar_Pml_Smad9_Stat3_Smad4_Foxo3_Smad5_Sp1_Bad_Mycn_Ctnnb1_Smad7_Lmx1a_Ran_Foxl1_Stub1_Mef2c_Rela_Ash2l_Stat1_Smad2_Osr1_Gtf2i_Smad1_Ezr_Mdm2_Nfatc2_Gata4_Mapk1_Dab2_Smad6_Smad3_Atf2_Sox9,Ctnnb1_Mapk1_Myc_Smad1_Smad2_Smad3_Smad4_Smad6_Smad7,Abl1_Ar_Ash2l_Atf2_Bad_Ctbp1_Ctnnb1_Dab2_Elk1_Ezr_Foxl1_Foxo3_Gata4_Gtf2i_Lmx1a_Mapk1_Mdm2_Mef2c_Myc_Mycn_Nfatc2_Nfatc4_Nfkb1_Nr2c2_Osr1_Pik3c3_Pml_Prkaa1_Prkaa2_Ran_Rela_Smad1_Smad2_Smad3_Smad4_Smad5_Smad6_Smad7_Smad9_Sox9_Sp1_Stat1_Stat3_Stub1,,
TGFB1_ACVR1B_TGFBR2,TGFB1_ACVR1B_TGFBR2,TGFb,Tgfb1,ACVR1B_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,Tgfb1  - (Acvr1b+Tgfbr2),Tfdp1_Hif1a_Irf7_Stat3_Smad4_E2f1_Ctnnb1_Smad7_Plg_Stat5b_Stat1_Ecsit_Smad2_Nr2c2_Irf5_Smad1_Cycs_Ezr_Mapk1_Stat5a_Smad3_Smad6_Rb1,Smad4_Nfatc4_Smad1_Abl1_Prkaa1_Prkaa2_Mapk1_Smad2_Smad3_Smad6_Nfkb1_Smad7,Fos_Anxa1_Sfpq_Hif1a_Mycl_Stat3_Pax3_Gli2_Hnf4a_Nr3c1_Smad4_Abl1_Crtc2_Elf3_Smarcc2_Hnf1a_Zhx1_Clock_Nfatc4_Pgr_Mdm2_Nfatc2_Snai1_Sox9_Nfatc1_Ezh2_Myc_Ppard_Hsf1_Ikzf3_Neurod1_Nfe2l1_Asap3_Ybx1_Gfi1_Zbtb16_Tfeb_Gcm1_Stat6_Ywhae_Srebf1_Ctnnb1_Rfx1_Snai2_Srf_Rela_Klf5_Stat1_Relb_Tppp_Bax_Bcl3_Gtf2i_Nfkb2_Ezr_Thrb_Mnx1_Gata4_Mafa_Mapk1_Trim28_Cdx2_Smad3_Cebpb_Dab2_Esr2_Crem_Junb_Creb1_Esr1_Ar_Foxo1_Pdx1_Cebpd_Gli3_Sp1_Ets1_Nfe2l2_Spi1_Mybl2_Usf2_Smad2_Mitf_Nanog_Rxra_Jun_Nfkb1_Mylk_Rb1_Ywhaz_Gata6_Hdac3_Ets2_Pparg_E2f1_Foxo3_Yy1_Mycn_Cebpa_Eno1_Stat5b_Foxp3_Pkm_Wt1_Ncoa3_Trip10_Smad1_Foxl2_Stat5a_Pick1_Bclaf1_Gli1_Nr1d1,Pik3c3_Pml_Stat3_Smad4_Sp1_Mycn_Ctnnb1_Smad7_Ran_Mef2c_Stub1_Ash2l_Smad2_Osr1_Gtf2i_Smad1_Dab2_Smad3_Smad6_Atf2,Smad1_Smad2_Smad3_Smad4_Smad6_Smad7,Abl1_Ash2l_Atf2_Ctnnb1_Dab2_Gtf2i_Mapk1_Mef2c_Mycn_Nfatc4_Nfkb1_Osr1_Pik3c3_Pml_Prkaa1_Prkaa2_Ran_Smad1_Smad2_Smad3_Smad4_Smad6_Smad7_Sp1_Stat3_Stub1,Ctnnb1_E2f1_Ezr_Hif1a_Mapk1_Rb1_Smad1_Smad2_Smad3_Smad4_Stat1_Stat3_Stat5a_Stat5b,Abl1_Anxa1_Ar_Asap3_Bax_Bcl3_Bclaf1_Cdx2_Cebpa_Cebpb_Cebpd_Clock_Creb1_Crem_Crtc2_Ctnnb1_Cycs_Dab2_E2f1_Ecsit_Elf3_Eno1_Esr1_Esr2_Ets1_Ets2_Ezh2_Ezr_Fos_Foxl2_Foxo1_Foxo3_Foxp3_Gata4_Gata6_Gcm1_Gfi1_Gli1_Gli2_Gli3_Gtf2i_Hdac3_Hif1a_Hnf1a_Hnf4a_Hsf1_Ikzf3_Irf5_Irf7_Jun_Junb_Klf5_Mafa_Mapk1_Mdm2_Mitf_Mnx1_Mybl2_Myc_Mycl_Mycn_Mylk_Nanog_Ncoa3_Neurod1_Nfatc1_Nfatc2_Nfatc4_Nfe2l1_Nfe2l2_Nfkb1_Nfkb2_Nr1d1_Nr2c2_Nr3c1_Pax3_Pdx1_Pgr_Pick1_Pkm_Plg_Ppard_Pparg_Rb1_Rela_Relb_Rfx1_Rxra_Sfpq_Smad1_Smad2_Smad3_Smad4_Smad6_Smad7_Smarcc2_Snai1_Snai2_Sox9_Sp1_Spi1_Srebf1_Srf_Stat1_Stat3_Stat5a_Stat5b_Stat6_Tfdp1_Tfeb_Thrb_Tppp_Trim28_Trip10_Usf2_Wt1_Ybx1_Ywhae_Ywhaz_Yy1_Zbtb16_Zhx1
TGFB1_ACVR1C_TGFBR2,TGFB1_ACVR1C_TGFBR2,TGFb,Tgfb1,ACVR1C_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,Tgfb1  - (Acvr1c+Tgfbr2),Tfdp1_Hif1a_Irf7_Stat3_Smad4_E2f1_Ctnnb1_Smad7_Plg_Stat5b_Stat1_Ecsit_Smad2_Nr2c2_Irf5_Smad1_Cycs_Ezr_Mapk1_Stat5a_Smad3_Smad6_Rb1,Smad4_Nfatc4_Smad1_Abl1_Prkaa1_Prkaa2_Mapk1_Smad2_Smad3_Smad6_Nfkb1_Smad7,Fos_Anxa1_Sfpq_Hif1a_Mycl_Stat3_Pax3_Gli2_Hnf4a_Nr3c1_Smad4_Abl1_Crtc2_Elf3_Smarcc2_Hnf1a_Zhx1_Clock_Nfatc4_Pgr_Mdm2_Nfatc2_Snai1_Sox9_Nfatc1_Ezh2_Myc_Ppard_Hsf1_Ikzf3_Neurod1_Nfe2l1_Asap3_Ybx1_Gfi1_Zbtb16_Tfeb_Gcm1_Stat6_Ywhae_Srebf1_Ctnnb1_Rfx1_Snai2_Srf_Rela_Klf5_Stat1_Relb_Tppp_Bax_Bcl3_Gtf2i_Nfkb2_Ezr_Thrb_Mnx1_Gata4_Mafa_Mapk1_Trim28_Cdx2_Smad3_Cebpb_Dab2_Esr2_Crem_Junb_Creb1_Esr1_Ar_Foxo1_Pdx1_Cebpd_Gli3_Sp1_Ets1_Nfe2l2_Spi1_Mybl2_Usf2_Smad2_Mitf_Nanog_Rxra_Jun_Nfkb1_Mylk_Rb1_Ywhaz_Gata6_Hdac3_Ets2_Pparg_E2f1_Foxo3_Yy1_Mycn_Cebpa_Eno1_Stat5b_Foxp3_Pkm_Wt1_Ncoa3_Trip10_Smad1_Foxl2_Stat5a_Pick1_Bclaf1_Gli1_Nr1d1,Pik3c3_Pml_Stat3_Smad4_Sp1_Mycn_Ctnnb1_Smad7_Ran_Mef2c_Stub1_Ash2l_Smad2_Osr1_Gtf2i_Smad1_Dab2_Smad3_Smad6_Atf2,Smad1_Smad2_Smad3_Smad4_Smad6_Smad7,Abl1_Ash2l_Atf2_Ctnnb1_Dab2_Gtf2i_Mapk1_Mef2c_Mycn_Nfatc4_Nfkb1_Osr1_Pik3c3_Pml_Prkaa1_Prkaa2_Ran_Smad1_Smad2_Smad3_Smad4_Smad6_Smad7_Sp1_Stat3_Stub1,Ctnnb1_E2f1_Ezr_Hif1a_Mapk1_Rb1_Smad1_Smad2_Smad3_Smad4_Stat1_Stat3_Stat5a_Stat5b,Abl1_Anxa1_Ar_Asap3_Bax_Bcl3_Bclaf1_Cdx2_Cebpa_Cebpb_Cebpd_Clock_Creb1_Crem_Crtc2_Ctnnb1_Cycs_Dab2_E2f1_Ecsit_Elf3_Eno1_Esr1_Esr2_Ets1_Ets2_Ezh2_Ezr_Fos_Foxl2_Foxo1_Foxo3_Foxp3_Gata4_Gata6_Gcm1_Gfi1_Gli1_Gli2_Gli3_Gtf2i_Hdac3_Hif1a_Hnf1a_Hnf4a_Hsf1_Ikzf3_Irf5_Irf7_Jun_Junb_Klf5_Mafa_Mapk1_Mdm2_Mitf_Mnx1_Mybl2_Myc_Mycl_Mycn_Mylk_Nanog_Ncoa3_Neurod1_Nfatc1_Nfatc2_Nfatc4_Nfe2l1_Nfe2l2_Nfkb1_Nfkb2_Nr1d1_Nr2c2_Nr3c1_Pax3_Pdx1_Pgr_Pick1_Pkm_Plg_Ppard_Pparg_Rb1_Rela_Relb_Rfx1_Rxra_Sfpq_Smad1_Smad2_Smad3_Smad4_Smad6_Smad7_Smarcc2_Snai1_Snai2_Sox9_Sp1_Spi1_Srebf1_Srf_Stat1_Stat3_Stat5a_Stat5b_Stat6_Tfdp1_Tfeb_Thrb_Tppp_Trim28_Trip10_Usf2_Wt1_Ybx1_Ywhae_Ywhaz_Yy1_Zbtb16_Zhx1
TGFB2_ACVR1B_TGFBR2,TGFB2_ACVR1B_TGFBR2,TGFb,Tgfb2,ACVR1B_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,Tgfb2  - (Acvr1b+Tgfbr2),Smad4_Smad7_Smad2_Smad3,Smad4_Nfatc4_Smad1_Abl1_Prkaa1_Prkaa2_Mapk1_Smad2_Smad3_Smad6_Nfkb1_Smad7,,Pik3c3_Pml_Stat3_Smad4_Sp1_Mycn_Ctnnb1_Smad7_Ran_Mef2c_Stub1_Ash2l_Smad2_Osr1_Gtf2i_Smad1_Dab2_Smad3_Smad6_Atf2,Smad1_Smad2_Smad3_Smad4_Smad6_Smad7,Abl1_Ash2l_Atf2_Ctnnb1_Dab2_Gtf2i_Mapk1_Mef2c_Mycn_Nfatc4_Nfkb1_Osr1_Pik3c3_Pml_Prkaa1_Prkaa2_Ran_Smad1_Smad2_Smad3_Smad4_Smad6_Smad7_Sp1_Stat3_Stub1,,Smad2_Smad3_Smad4_Smad7
TGFB2_ACVR1C_TGFBR2,TGFB2_ACVR1C_TGFBR2,TGFb,Tgfb2,ACVR1C_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,Tgfb2  - (Acvr1c+Tgfbr2),Smad4_Smad7_Smad2_Smad3,Smad4_Nfatc4_Smad1_Abl1_Prkaa1_Prkaa2_Mapk1_Smad2_Smad3_Smad6_Nfkb1_Smad7,,Pik3c3_Pml_Stat3_Smad4_Sp1_Mycn_Ctnnb1_Smad7_Ran_Mef2c_Stub1_Ash2l_Smad2_Osr1_Gtf2i_Smad1_Dab2_Smad3_Smad6_Atf2,Smad1_Smad2_Smad3_Smad4_Smad6_Smad7,Abl1_Ash2l_Atf2_Ctnnb1_Dab2_Gtf2i_Mapk1_Mef2c_Mycn_Nfatc4_Nfkb1_Osr1_Pik3c3_Pml_Prkaa1_Prkaa2_Ran_Smad1_Smad2_Smad3_Smad4_Smad6_Smad7_Sp1_Stat3_Stub1,,Smad2_Smad3_Smad4_Smad7
TGFB3_ACVR1B_TGFBR2,TGFB3_ACVR1B_TGFBR2,TGFb,Tgfb3,ACVR1B_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,Tgfb3  - (Acvr1b+Tgfbr2),,Smad4_Nfatc4_Smad1_Abl1_Prkaa1_Prkaa2_Mapk1_Smad2_Smad3_Smad6_Nfkb1_Smad7,,Pik3c3_Pml_Stat3_Smad4_Sp1_Mycn_Ctnnb1_Smad7_Ran_Mef2c_Stub1_Ash2l_Smad2_Osr1_Gtf2i_Smad1_Dab2_Smad3_Smad6_Atf2,Smad1_Smad2_Smad3_Smad4_Smad6_Smad7,Abl1_Ash2l_Atf2_Ctnnb1_Dab2_Gtf2i_Mapk1_Mef2c_Mycn_Nfatc4_Nfkb1_Osr1_Pik3c3_Pml_Prkaa1_Prkaa2_Ran_Smad1_Smad2_Smad3_Smad4_Smad6_Smad7_Sp1_Stat3_Stub1,,
TGFB3_ACVR1C_TGFBR2,TGFB3_ACVR1C_TGFBR2,TGFb,Tgfb3,ACVR1C_TGFbR2,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,PMID: 27449815,Secreted Signaling,Tgfb3  - (Acvr1c+Tgfbr2),,Smad4_Nfatc4_Smad1_Abl1_Prkaa1_Prkaa2_Mapk1_Smad2_Smad3_Smad6_Nfkb1_Smad7,,Pik3c3_Pml_Stat3_Smad4_Sp1_Mycn_Ctnnb1_Smad7_Ran_Mef2c_Stub1_Ash2l_Smad2_Osr1_Gtf2i_Smad1_Dab2_Smad3_Smad6_Atf2,Smad1_Smad2_Smad3_Smad4_Smad6_Smad7,Abl1_Ash2l_Atf2_Ctnnb1_Dab2_Gtf2i_Mapk1_Mef2c_Mycn_Nfatc4_Nfkb1_Osr1_Pik3c3_Pml_Prkaa1_Prkaa2_Ran_Smad1_Smad2_Smad3_Smad4_Smad6_Smad7_Sp1_Stat3_Stub1,,
TGFB1_ACVR1_TGFBR1,TGFB1_ACVR1_TGFBR1,TGFb,Tgfb1,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling,Tgfb1  - (Acvr1+Tgfbr1),Tfdp1_Hif1a_Irf7_Stat3_Smad4_E2f1_Ctnnb1_Smad7_Plg_Stat5b_Stat1_Ecsit_Smad2_Nr2c2_Irf5_Smad1_Cycs_Ezr_Mapk1_Stat5a_Smad3_Smad6_Rb1,Smad4_Myc_Nfatc4_Smad1_Abl1_Prkaa1_Smad5_Mapk1_Prkaa2_Nfkb1_Smad2_Smad3_Nr2c2_Smad6_Ctnnb1_Smad7_Smad9,Fos_Anxa1_Sfpq_Hif1a_Mycl_Stat3_Pax3_Gli2_Hnf4a_Nr3c1_Smad4_Abl1_Crtc2_Elf3_Smarcc2_Hnf1a_Zhx1_Clock_Nfatc4_Pgr_Mdm2_Nfatc2_Snai1_Sox9_Nfatc1_Ezh2_Myc_Ppard_Hsf1_Ikzf3_Neurod1_Nfe2l1_Asap3_Ybx1_Gfi1_Zbtb16_Tfeb_Gcm1_Stat6_Ywhae_Srebf1_Ctnnb1_Rfx1_Snai2_Srf_Rela_Klf5_Stat1_Relb_Tppp_Bax_Bcl3_Gtf2i_Nfkb2_Ezr_Thrb_Mnx1_Gata4_Mafa_Mapk1_Trim28_Cdx2_Smad3_Cebpb_Dab2_Esr2_Crem_Junb_Creb1_Esr1_Ar_Foxo1_Pdx1_Cebpd_Gli3_Sp1_Ets1_Nfe2l2_Spi1_Mybl2_Usf2_Smad2_Mitf_Nanog_Rxra_Jun_Nfkb1_Mylk_Rb1_Ywhaz_Gata6_Hdac3_Ets2_Pparg_E2f1_Foxo3_Yy1_Mycn_Cebpa_Eno1_Stat5b_Foxp3_Pkm_Wt1_Ncoa3_Trip10_Smad1_Foxl2_Stat5a_Pick1_Bclaf1_Gli1_Nr1d1,Elk1_Myc_Pik3c3_Ctbp1_Ar_Pml_Smad9_Stat3_Smad4_Pparg_Foxo3_Smad5_Usp39_Bad_Sp1_Mycn_Ctnnb1_Smad7_Vdr_Lmx1a_Ran_Foxl1_Stub1_Mef2c_Rela_Ash2l_Stat1_Smad2_Osr1_Gtf2i_Smad1_Ezr_Mdm2_Thrb_Nfatc2_Gata4_Mapk1_Dab2_Smad6_Rxra_Smad3_Atf2_Sox9,Ctnnb1_Mapk1_Myc_Smad1_Smad2_Smad3_Smad4_Smad5_Smad6_Smad7_Smad9,Abl1_Ar_Ash2l_Atf2_Bad_Ctbp1_Ctnnb1_Dab2_Elk1_Ezr_Foxl1_Foxo3_Gata4_Gtf2i_Lmx1a_Mapk1_Mdm2_Mef2c_Myc_Mycn_Nfatc2_Nfatc4_Nfkb1_Nr2c2_Osr1_Pik3c3_Pml_Pparg_Prkaa1_Prkaa2_Ran_Rela_Rxra_Smad1_Smad2_Smad3_Smad4_Smad5_Smad6_Smad7_Smad9_Sox9_Sp1_Stat1_Stat3_Stub1_Thrb_Usp39_Vdr,Ctnnb1_E2f1_Ezr_Hif1a_Mapk1_Rb1_Smad1_Smad2_Smad3_Smad4_Stat1_Stat3_Stat5a_Stat5b,Abl1_Anxa1_Ar_Asap3_Bax_Bcl3_Bclaf1_Cdx2_Cebpa_Cebpb_Cebpd_Clock_Creb1_Crem_Crtc2_Ctnnb1_Cycs_Dab2_E2f1_Ecsit_Elf3_Eno1_Esr1_Esr2_Ets1_Ets2_Ezh2_Ezr_Fos_Foxl2_Foxo1_Foxo3_Foxp3_Gata4_Gata6_Gcm1_Gfi1_Gli1_Gli2_Gli3_Gtf2i_Hdac3_Hif1a_Hnf1a_Hnf4a_Hsf1_Ikzf3_Irf5_Irf7_Jun_Junb_Klf5_Mafa_Mapk1_Mdm2_Mitf_Mnx1_Mybl2_Myc_Mycl_Mycn_Mylk_Nanog_Ncoa3_Neurod1_Nfatc1_Nfatc2_Nfatc4_Nfe2l1_Nfe2l2_Nfkb1_Nfkb2_Nr1d1_Nr2c2_Nr3c1_Pax3_Pdx1_Pgr_Pick1_Pkm_Plg_Ppard_Pparg_Rb1_Rela_Relb_Rfx1_Rxra_Sfpq_Smad1_Smad2_Smad3_Smad4_Smad6_Smad7_Smarcc2_Snai1_Snai2_Sox9_Sp1_Spi1_Srebf1_Srf_Stat1_Stat3_Stat5a_Stat5b_Stat6_Tfdp1_Tfeb_Thrb_Tppp_Trim28_Trip10_Usf2_Wt1_Ybx1_Ywhae_Ywhaz_Yy1_Zbtb16_Zhx1
