,0
0,A1bg
1,A1cf
2,A4galt
3,A4gnt
4,Aaas
5,Aacs
6,Aadac
7,Aadat
8,Aaed1
9,Aagab
10,Aak1
11,Aamdc
12,Aamp
13,Aanat
14,Aar2
15,Aars
16,Aars2
17,Aarsd1
18,Aasdh
19,Aasdhppt
20,Aass
21,Aatf
22,Aatk
23,Abat
24,Abca1
25,Abca12
26,Abca13
27,Abca2
28,Abca3
29,Abca4
30,Abca5
31,Abca6
32,Abca7
33,Abca8b
34,Abca9
35,Abcb10
36,Abcb1a
37,Abcb4
38,Abcb6
39,Abcb7
40,Abcb8
41,Abcb9
42,Abcc1
43,Abcc10
44,Abcc12
45,Abcc2
46,Abcc3
47,Abcc4
48,Abcc5
49,Abcc6
50,Abcc8
51,Abcc9
52,Abcd1
53,Abcd2
54,Abcd3
55,Abcd4
56,Abce1
57,Abcf1
58,Abcf2
59,Abcf3
60,Abcg1
61,Abcg3
62,Abcg4
63,Abcg5
64,Abcg8
65,Abhd1
66,Abhd10
67,Abhd11
68,Abhd12
69,Abhd13
70,Abhd14a
71,Abhd14b
72,Abhd15
73,Abhd16a
74,Abhd17a
75,Abhd17b
76,Abhd17c
77,Abhd2
78,Abhd3
79,Abhd4
80,Abhd5
81,Abhd6
82,Abhd8
83,Abi1
84,Abi2
85,Abi3
86,Abi3bp
87,Abl1
88,Abl2
89,Ablim1
90,Ablim2
91,Ablim3
92,Abr
93,Abra
94,Abracl
95,Abt1
96,Abtb1
97,Abtb2
98,Acaa1b
99,Acaa2
100,Acaca
101,Acacb
102,Acad10
103,Acad11
104,Acad8
105,Acad9
106,Acadl
107,Acadm
108,Acads
109,Acadsb
110,Acadvl
111,Acap1
112,Acap2
113,Acap3
114,Acat1
115,Acat2
116,Acbd3
117,Acbd4
118,Acbd5
119,Acbd6
120,Acbd7
121,Accs
122,Acd
123,Ace
124,Ace2
125,Acer1
126,Acer2
127,Acer3
128,Ache
129,Acin1
130,Acly
131,Acmsd
132,Aco1
133,Aco2
134,Acot11
135,Acot12
136,Acot13
137,Acot2
138,Acot3
139,Acot4
140,Acot6
141,Acot7
142,Acot8
143,Acot9
144,Acox1
145,Acox2
146,Acox3
147,Acoxl
148,Acp1
149,Acp2
150,Acp5
151,Acp6
152,Acpp
153,Acrbp
154,Acrv1
155,Acsbg1
156,Acsbg2
157,Acsf2
158,Acsf3
159,Acsl1
160,Acsl3
161,Acsl4
162,Acsl5
163,Acsl6
164,Acsm1
165,Acsm3
166,Acsm4
167,Acsm5
168,Acss1
169,Acss2
170,Acss3
171,Acta1
172,Acta2
173,Actb
174,Actbl2
175,Actg1
176,Actg2
177,Actl6a
178,Actn1
179,Actn2
180,Actn3
181,Actn4
182,Actr10
183,Actr1a
184,Actr1b
185,Actr2
186,Actr3
187,Actr3b
188,Actr5
189,Actr6
190,Actr8
191,Actrt3
192,Acvr1
193,Acvr1b
194,Acvr1c
195,Acvr2a
196,Acvr2b
197,Acvrl1
198,Acy1
199,Acy3
200,Acyp1
201,Acyp2
202,Ada
203,Adal
204,Adam10
205,Adam11
206,Adam12
207,Adam15
208,Adam17
209,Adam19
210,Adam21
211,Adam22
212,Adam23
213,Adam28
214,Adam29
215,Adam33
216,Adam39
217,Adam8
218,Adam9
219,Adamdec1
220,Adamts1
221,Adamts10
222,Adamts12
223,Adamts13
224,Adamts14
225,Adamts15
226,Adamts16
227,Adamts17
228,Adamts18
229,Adamts3
230,Adamts4
231,Adamts5
232,Adamts6
233,Adamts7
234,Adamts8
235,Adamts9
236,Adamtsl1
237,Adamtsl2
238,Adamtsl3
239,Adamtsl4
240,Adamtsl5
241,Adap1
242,Adap2
243,Adar
244,Adarb1
245,Adarb2
246,Adat1
247,Adat2
248,Adck1
249,Adck2
250,Adck5
251,Adcy1
252,Adcy10
253,Adcy2
254,Adcy3
