Gene name	Alias or Previous Gene name	Mouse gene name	class
AARS1	AARS	Aars	Previous symbol
ACP3	ACPP	Acpp	Previous symbol
ADSS2	ADSS	Adss	Previous symbol
ADSS1	ADSSL1	Adssl1	Previous symbol
AGTR1	AGTR1A	Agtr1a	Alias symbol
ANKH	ANK	Ank	Alias symbol
ANKS1A	ANKS1	Anks1	Previous symbol
BMAL1	ARNTL	Arntl	Previous symbol
BMAL2	ARNTL2	Arntl2	Previous symbol
ATP5F1A	ATP5A1	Atp5a1	Previous symbol
ATP5F1B	ATP5B	Atp5b	Previous symbol
ATP5F1C	ATP5C1	Atp5c1	Previous symbol
ATP5F1D	ATP5D	Atp5d	Previous symbol
ATP5F1E	ATP5E	Atp5e	Previous symbol
ATP5MC2	ATP5G2	Atp5g2	Previous symbol
ATP5MC3	ATP5G3	Atp5g3	Previous symbol
ATP5PD	ATP5H	Atp5h	Previous symbol
ATP5PF	ATP5J	Atp5j	Previous symbol
ATP5MF	ATP5J2	Atp5j2	Previous symbol
ATP5MG	ATP5L	Atp5l	Previous symbol
ATP5PO	ATP5O	Atp5o	Previous symbol
ATP6V0E1	ATP6V0E	Atp6v0e	Previous symbol
ATP5IF1	ATPIF1	Atpif1	Previous symbol
GPRASP3	BHLHB9	Bhlhb9	Previous symbol
BOD1L1	BOD1L	Bod1l	Previous symbol
ABTB3	BTBD11	Btbd11	Previous symbol
C4A	C4B	C4b	Alias symbol
C4BPA	C4BP	C4bp	Previous symbol
CAMLG	CAML	Caml	Alias symbol
CARS1	CARS	Cars	Previous symbol
DNAI7	CASC1	Casc1	Previous symbol
YJU2B	CCDC130	Ccdc130	Previous symbol
CFAP210	CCDC173	Ccdc173	Previous symbol
MIX23	CCDC58	Ccdc58	Previous symbol
CENATAC	CCDC84	Ccdc84	Previous symbol
CD24	CD24A	Cd24a	Alias symbol
POLR1G	CD3EAP	Cd3eap	Previous symbol
CD8B	CD8B1	Cd8b1	Previous symbol
CENPC	CENPC1	Cenpc1	Previous symbol
CKMT1B	CKMT1	Ckmt1	Previous symbol
CTPS1	CTPS	Ctps	Previous symbol
ZFTRAF1	CYHR1	Cyhr1	Previous symbol
CYP51A1	CYP51	Cyp51	Previous symbol
DARS1	DARS	Dars	Previous symbol
DCDC2	DCDC2A	Dcdc2a	Alias symbol
DEPDC1	DEPDC1A	Depdc1a	Alias symbol
STYXL2	DUSP27	Dusp27	Previous symbol
CLXN	EFCAB1	Efcab1	Previous symbol
EPRS1	EPRS	Eprs	Previous symbol
KIAA1217	ETL4	Etl4	Alias symbol
EXOC3L1	EXOC3L	Exoc3l	Previous symbol
PABIR1	FAM122A	Fam122a	Previous symbol
PABIR2	FAM122B	Fam122b	Previous symbol
PABIR3	FAM122C	Fam122c	Previous symbol
SLX9	FAM207A	Fam207a	Previous symbol
FCGR1A	FCGR1	Fcgr1	Alias symbol
FYB1	FYB	Fyb	Previous symbol
G6PC1	G6PC	G6pc	Previous symbol
GARS1	GARS	Gars	Previous symbol
GBA1	GBA	Gba	Previous symbol
GH1	GH	Gh	Alias symbol
GPR89B	GPR89	Gpr89	Previous symbol
GRAMD2A	GRAMD2	Gramd2	Previous symbol
GRAMD2B	GRAMD3	Gramd3	Previous symbol
C12orf57	GRCC10	Grcc10	Alias symbol
GYG1	GYG	Gyg	Previous symbol
HM13	H13	H13	Alias symbol
H1-0	H1F0	H1f0	Previous symbol
HARS1	HARS	Hars	Previous symbol
HEXD	HEXDC	Hexdc	Previous symbol
HPRT1	HPRT	Hprt	Previous symbol
IARS1	IARS	Iars	Previous symbol
ICOSLG	ICOSL	Icosl	Previous symbol
IL6R	IL6RA	Il6ra	Alias symbol
IQCA1	IQCA	Iqca	Previous symbol
IRGM	IRGM1	Irgm1	Previous symbol
KARS1	KARS	Kars	Previous symbol
KCNE5	KCNE1L	Kcne1l	Previous symbol
KIF19	KIF19A	Kif19a	Alias symbol
KIF4A	KIF4	Kif4	Alias symbol
KIRREL1	KIRREL	Kirrel	Previous symbol
LARS1	LARS	Lars	Previous symbol
LHFPL6	LHFP	Lhfp	Previous symbol
DNAAF11	LRRC6	Lrrc6	Previous symbol
METTL2B	METTL2	Mettl2	Previous symbol
MRE11	MRE11A	Mre11a	Previous symbol
MT1X	MT1	Mt1	Previous symbol
MYL11	MYLPF	Mylpf	Previous symbol
NARS1	NARS	Nars	Previous symbol
NRDC	NRD1	Nrd1	Previous symbol
NT5C3A	NT5C3	Nt5c3	Previous symbol
NTF4	NTF5	Ntf5	Previous symbol
NUP42	NUPL2	Nupl2	Previous symbol
NUPR2	NUPR1L	Nupr1l	Previous symbol
OASL	OASL1	Oasl1	Alias symbol
PCNX1	PCNX	Pcnx	Previous symbol
LILRB3	PIRB	Pirb	Alias symbol
SLC66A3	PQLC3	Pqlc3	Previous symbol
PYCR3	PYCRL	Pycrl	Previous symbol
QARS1	QARS	Qars	Previous symbol
RAB39A	RAB39	Rab39	Previous symbol
RAB7A	RAB7	Rab7	Previous symbol
RAB9A	RAB9	Rab9	Previous symbol
RAD21L1	RAD21L	Rad21l	Alias symbol
RARS1	RARS	Rars	Previous symbol
METTL25B	RRNAD1	Rrnad1	Previous symbol
RWDD4	RWDD4A	Rwdd4a	Previous symbol
SAMD4A	SAMD4	Samd4	Previous symbol
SARS1	SARS	Sars	Previous symbol
SERF1A	SERF1	Serf1	Previous symbol
SKIC2	SKIV2L	Skiv2l	Previous symbol
SPART	SPG20	Spg20	Previous symbol
SRPRA	SRPR	Srpr	Previous symbol
STX4	STX4A	Stx4a	Previous symbol
STX5	STX5A	Stx5a	Previous symbol
SYPL1	SYPL	Sypl	Previous symbol
TARS1	TARS	Tars	Previous symbol
TARS3	TARSL2	Tarsl2	Previous symbol
TCL1A	TCL1	Tcl1	Alias symbol
LDAF1	TMEM159	Tmem159	Previous symbol
TMEM167A	TMEM167	Tmem167	Previous symbol
TMEM170A	TMEM170	Tmem170	Previous symbol
TMEM178A	TMEM178	Tmem178	Previous symbol
TOMM70	TOMM70A	Tomm70a	Previous symbol
TPRG1L	TPRGL	Tprgl	Alias symbol
TSSK1B	TSSK1	Tssk1	Previous symbol
SKIC3	TTC37	Ttc37	Previous symbol
TTC7A	TTC7	Ttc7	Previous symbol
TXN	TXN1	Txn1	Alias symbol
UBE3D	UBE2CBP	Ube2cbp	Previous symbol
BLTP3A	UHRF1BP1	Uhrf1bp1	Previous symbol
BLTP3B	UHRF1BP1L	Uhrf1bp1l	Previous symbol
VARS1	VARS	Vars	Previous symbol
SKIC8	WDR61	Wdr61	Previous symbol
CFAP251	WDR66	Wdr66	Previous symbol
NTAQ1	WDYHV1	Wdyhv1	Previous symbol
YAE1	YAE1D1	Yae1d1	Previous symbol
YARS1	YARS	Yars	Previous symbol
PTGR3	ZADH2	Zadh2	Previous symbol
ZNF106	ZFP106	Zfp106	Previous symbol
ZNF112	ZFP112	Zfp112	Previous symbol
ZNF148	ZFP148	Zfp148	Alias symbol
ZNF276	ZFP276	Zfp276	Previous symbol
ZNF292	ZFP292	Zfp292	Alias symbol
ZNF318	ZFP318	Zfp318	Alias symbol
ZNF250	ZFP647	Zfp647	Alias symbol
ZNF394	ZKSCAN14	Zkscan14	Alias symbol
ZNF483	ZKSCAN16	Zkscan16	Alias symbol
ZNF496	ZKSCAN17	Zkscan17	Alias symbol
ZNF18	ZKSCAN6	Zkscan6	Alias symbol
