,0,1,2,3
0,Ptgr1,Ltb4r1,nan,Secreted Signaling
1,Ptgr1,Ltb4r2,nan,Secreted Signaling
2,Cyp11a1,Nr1h4,nan,Secreted Signaling
3,Dagla,Cnr1,nan,Secreted Signaling
4,Dagla,Cnr2,nan,Secreted Signaling
5,Dagla,Gpr55,nan,Secreted Signaling
6,Daglb,Cnr1,nan,Secreted Signaling
7,Daglb,Cnr2,nan,Secreted Signaling
8,Daglb,Gpr55,nan,Secreted Signaling
9,Wnt11,Klrg2,nan,Secreted Signaling
10,Wnt5b,Klrg2,nan,Secreted Signaling
11,Col6a6,Itgb1_Itga10,nan,Secreted Signaling
12,Col6a6,Itgb1_Itga11,nan,Secreted Signaling
13,Col6a6,Itgb1_Itga1,nan,Secreted Signaling
14,Col6a6,Itgb1_Itga2,nan,Secreted Signaling
15,Col6a5,Itgb1_Itga10,nan,Secreted Signaling
16,Col6a5,Itgb1_Itga11,nan,Secreted Signaling
17,Col6a5,Itgb1_Itga1,nan,Secreted Signaling
18,Col6a5,Itgb1_Itga2,nan,Secreted Signaling
19,Bmp10,Acvrl1_Acvr2a,nan,Secreted Signaling
20,Gdf2,Acvrl1_Acvr2a,nan,Secreted Signaling
21,Bmp10,Acvrl1_Bmpr2,nan,Secreted Signaling
22,Gdf2,Acvrl1_Bmpr2,nan,Secreted Signaling
23,Bmp7,Acvr1_Bmpr2,nan,Secreted Signaling
24,Bmp5,Acvr1_Bmpr2,nan,Secreted Signaling
25,Bmp6,Acvr1_Bmpr2,nan,Secreted Signaling
26,Bmp8a,Acvr1_Bmpr2,nan,Secreted Signaling
27,Inhba_Inhbb,Acvr1_Acvr2a,nan,Secreted Signaling
28,Inhba_Inha,Acvr1_Acvr2a,nan,Secreted Signaling
29,Inhbb_Inha,Acvr1_Acvr2a,nan,Secreted Signaling
30,Inha,Acvr1_Acvr2a,nan,Secreted Signaling
31,Bmp7,Acvr1_Acvr2a,nan,Secreted Signaling
32,Bmp5,Acvr1_Acvr2a,nan,Secreted Signaling
33,Bmp6,Acvr1_Acvr2a,nan,Secreted Signaling
34,Bmp8a,Acvr1_Acvr2a,nan,Secreted Signaling
35,Inhba_Inhbb,Acvr1_Acvr2b,nan,Secreted Signaling
36,Inhba_Inha,Acvr1_Acvr2b,nan,Secreted Signaling
37,Inhbb_Inha,Acvr1_Acvr2b,nan,Secreted Signaling
38,Inha,Acvr1_Acvr2b,nan,Secreted Signaling
39,Bmp7,Acvr1_Acvr2b,nan,Secreted Signaling
40,Bmp5,Acvr1_Acvr2b,nan,Secreted Signaling
41,Bmp6,Acvr1_Acvr2b,nan,Secreted Signaling
42,Bmp8a,Acvr1_Acvr2b,nan,Secreted Signaling
43,Inhba_Inhbb,Acvr1b_Acvr2a,nan,Secreted Signaling
44,Inhba_Inha,Acvr1b_Acvr2a,nan,Secreted Signaling
45,Inhbb_Inha,Acvr1b_Acvr2a,nan,Secreted Signaling
46,Gdf11,Acvr1b_Acvr2a,nan,Secreted Signaling
47,Inha,Acvr1b_Acvr2a,nan,Secreted Signaling
48,Inhba_Inhbb,Acvr1b_Acvr2b,nan,Secreted Signaling
49,Inhba_Inha,Acvr1b_Acvr2b,nan,Secreted Signaling
50,Inhbb_Inha,Acvr1b_Acvr2b,nan,Secreted Signaling
51,Mstn,Acvr1b_Acvr2b,nan,Secreted Signaling
52,Gdf11,Acvr1b_Acvr2b,nan,Secreted Signaling
53,Inha,Acvr1b_Acvr2b,nan,Secreted Signaling
54,Gdf1,Acvr1b_Acvr2b,nan,Secreted Signaling
55,Gdf10,Acvr1b_Acvr2b,nan,Secreted Signaling
56,Gdf3,Acvr1b_Acvr2b,nan,Secreted Signaling
57,Inhba_Inhbb,Acvr1c_Acvr2a,nan,Secreted Signaling
