,0,1,2,3
0,Tgfb1,Tgfbr1_Tgfbr2,TGFb,Secreted Signaling
1,Tgfb2,Tgfbr1_Tgfbr2,TGFb,Secreted Signaling
2,Tgfb3,Tgfbr1_Tgfbr2,TGFb,Secreted Signaling
3,Tgfb1,Acvr1b_Tgfbr2,TGFb,Secreted Signaling
4,Tgfb1,Acvr1c_Tgfbr2,TGFb,Secreted Signaling
5,Tgfb2,Acvr1b_Tgfbr2,TGFb,Secreted Signaling
6,Tgfb2,Acvr1c_Tgfbr2,TGFb,Secreted Signaling
7,Tgfb3,Acvr1b_Tgfbr2,TGFb,Secreted Signaling
8,Tgfb3,Acvr1c_Tgfbr2,TGFb,Secreted Signaling
9,Tgfb1,Acvr1_Tgfbr1_Tgfbr2,TGFb,Secreted Signaling
10,Tgfb2,Acvr1_Tgfbr1_Tgfbr2,TGFb,Secreted Signaling
11,Tgfb3,Acvr1_Tgfbr1_Tgfbr2,TGFb,Secreted Signaling
12,Bmp2,Bmpr1a_Acvr2a,BMP,Secreted Signaling
13,Bmp2,Bmpr1a_Acvr2b,BMP,Secreted Signaling
14,Bmp2,Bmpr1a_Bmpr2,BMP,Secreted Signaling
15,Bmp2,Bmpr1b_Acvr2a,BMP,Secreted Signaling
16,Bmp2,Bmpr1b_Acvr2b,BMP,Secreted Signaling
17,Bmp2,Bmpr1b_Bmpr2,BMP,Secreted Signaling
18,Bmp4,Bmpr1a_Acvr2a,BMP,Secreted Signaling
19,Bmp4,Bmpr1a_Acvr2b,BMP,Secreted Signaling
20,Bmp4,Bmpr1a_Bmpr2,BMP,Secreted Signaling
21,Bmp4,Bmpr1b_Acvr2a,BMP,Secreted Signaling
22,Bmp4,Bmpr1b_Acvr2b,BMP,Secreted Signaling
23,Bmp4,Bmpr1b_Bmpr2,BMP,Secreted Signaling
24,Gdf5,Bmpr1a_Acvr2a,BMP,Secreted Signaling
25,Gdf5,Bmpr1a_Acvr2b,BMP,Secreted Signaling
26,Gdf5,Bmpr1a_Bmpr2,BMP,Secreted Signaling
27,Gdf5,Bmpr1b_Acvr2a,BMP,Secreted Signaling
28,Gdf5,Bmpr1b_Acvr2b,BMP,Secreted Signaling
29,Gdf5,Bmpr1b_Bmpr2,BMP,Secreted Signaling
30,Gdf6,Bmpr1a_Acvr2a,BMP,Secreted Signaling
31,Gdf6,Bmpr1a_Acvr2b,BMP,Secreted Signaling
32,Gdf6,Bmpr1a_Bmpr2,BMP,Secreted Signaling
33,Gdf6,Bmpr1b_Acvr2a,BMP,Secreted Signaling
34,Gdf6,Bmpr1b_Acvr2b,BMP,Secreted Signaling
35,Gdf6,Bmpr1b_Bmpr2,BMP,Secreted Signaling
36,Gdf7,Bmpr1a_Acvr2a,BMP,Secreted Signaling
37,Gdf7,Bmpr1a_Acvr2b,BMP,Secreted Signaling
38,Gdf7,Bmpr1a_Bmpr2,BMP,Secreted Signaling
39,Gdf7,Bmpr1b_Acvr2a,BMP,Secreted Signaling
40,Gdf7,Bmpr1b_Acvr2b,BMP,Secreted Signaling
41,Gdf7,Bmpr1b_Bmpr2,BMP,Secreted Signaling
42,Bmp15,Bmpr1b_Bmpr2,BMP,Secreted Signaling
43,Bmp5,Acvr1_Acvr2a,BMP,Secreted Signaling
44,Bmp5,Acvr1_Acvr2b,BMP,Secreted Signaling
45,Bmp5,Acvr1_Bmpr2,BMP,Secreted Signaling
46,Bmp5,Bmpr1a_Acvr2a,BMP,Secreted Signaling
47,Bmp5,Bmpr1a_Acvr2b,BMP,Secreted Signaling
48,Bmp5,Bmpr1a_Bmpr2,BMP,Secreted Signaling
49,Bmp5,Bmpr1b_Acvr2a,BMP,Secreted Signaling
50,Bmp5,Bmpr1b_Acvr2b,BMP,Secreted Signaling
51,Bmp5,Bmpr1b_Bmpr2,BMP,Secreted Signaling
52,Bmp6,Acvr1_Acvr2a,BMP,Secreted Signaling
53,Bmp6,Acvr1_Acvr2b,BMP,Secreted Signaling
54,Bmp6,Acvr1_Bmpr2,BMP,Secreted Signaling
55,Bmp6,Bmpr1a_Acvr2a,BMP,Secreted Signaling
56,Bmp6,Bmpr1a_Acvr2b,BMP,Secreted Signaling
57,Bmp6,Bmpr1a_Bmpr2,BMP,Secreted Signaling
58,Bmp6,Bmpr1b_Acvr2a,BMP,Secreted Signaling
59,Bmp6,Bmpr1b_Acvr2b,BMP,Secreted Signaling
60,Bmp6,Bmpr1b_Bmpr2,BMP,Secreted Signaling
61,Bmp7,Acvr1_Acvr2a,BMP,Secreted Signaling
62,Bmp7,Acvr1_Acvr2b,BMP,Secreted Signaling
63,Bmp7,Acvr1_Bmpr2,BMP,Secreted Signaling
64,Bmp7,Bmpr1a_Acvr2a,BMP,Secreted Signaling
65,Bmp7,Bmpr1a_Acvr2b,BMP,Secreted Signaling
66,Bmp7,Bmpr1a_Bmpr2,BMP,Secreted Signaling
67,Bmp7,Bmpr1b_Acvr2a,BMP,Secreted Signaling
68,Bmp7,Bmpr1b_Acvr2b,BMP,Secreted Signaling
69,Bmp7,Bmpr1b_Bmpr2,BMP,Secreted Signaling
70,Bmp8a,Acvr1_Acvr2a,BMP,Secreted Signaling
71,Bmp8a,Acvr1_Acvr2b,BMP,Secreted Signaling
72,Bmp8a,Acvr1_Bmpr2,BMP,Secreted Signaling
73,Bmp8a,Bmpr1a_Acvr2a,BMP,Secreted Signaling
74,Bmp8a,Bmpr1a_Acvr2b,BMP,Secreted Signaling
75,Bmp8a,Bmpr1a_Bmpr2,BMP,Secreted Signaling
76,Bmp8a,Bmpr1b_Acvr2a,BMP,Secreted Signaling
77,Bmp8a,Bmpr1b_Acvr2b,BMP,Secreted Signaling
78,Bmp8a,Bmpr1b_Bmpr2,BMP,Secreted Signaling
79,Bmp8b,Acvr1_Acvr2a,BMP,Secreted Signaling
80,Bmp8b,Acvr1_Acvr2b,BMP,Secreted Signaling
81,Bmp8b,Acvr1_Bmpr2,BMP,Secreted Signaling
82,Bmp8b,Bmpr1a_Acvr2a,BMP,Secreted Signaling
83,Bmp8b,Bmpr1a_Acvr2b,BMP,Secreted Signaling
84,Bmp8b,Bmpr1a_Bmpr2,BMP,Secreted Signaling
85,Bmp8b,Bmpr1b_Acvr2a,BMP,Secreted Signaling
86,Bmp8b,Bmpr1b_Acvr2b,BMP,Secreted Signaling
87,Bmp8b,Bmpr1b_Bmpr2,BMP,Secreted Signaling
88,Bmp10,Acvrl1_Bmpr2,BMP10,Secreted Signaling
89,Bmp10,Acvrl1_Acvr2a,BMP10,Secreted Signaling
90,Gdf2,Acvrl1_Bmpr2,BMP10,Secreted Signaling
91,Gdf2,Acvrl1_Acvr2a,BMP10,Secreted Signaling
92,Gdf9,Acvr1b_Bmpr2,GDF,Secreted Signaling
93,Gdf10,Acvr1b_Acvr2a,GDF,Secreted Signaling
94,Gdf11,Tgfbr1_Acvr2a,GDF,Secreted Signaling
95,Gdf11,Tgfbr1_Acvr2b,GDF,Secreted Signaling
96,Gdf11,Acvr1b_Acvr2b,GDF,Secreted Signaling
97,Gdf15,Tgfbr2,GDF,Secreted Signaling
98,Mstn,Tgfbr1_Acvr2b,MSTN,Secreted Signaling
99,Mstn,Acvr1b_Acvr2b,MSTN,Secreted Signaling
100,Mstn,Acvr1b_Acvr2a,MSTN,Secreted Signaling
101,Mstn,Tgfbr1_Acvr2a,MSTN,Secreted Signaling
102,Amh,Amhr2_Acvr1,AMH,Secreted Signaling
103,Amh,Amhr2_Bmpr1a,AMH,Secreted Signaling
104,Gdnf,Gfra1_Ret,GDNF,Secreted Signaling
105,Nrtn,Gfra2_Ret,GDNF,Secreted Signaling
106,Artn,Gfra3_Ret,GDNF,Secreted Signaling
107,Pspn,Gfra4_Ret,GDNF,Secreted Signaling
108,Artn,Gfra1_Ret,GDNF,Secreted Signaling
109,Nodal,Acvr1b_Acvr2a_Cfc1,NODAL,Secreted Signaling
110,Nodal,Acvr1c_Acvr2a_Cfc1,NODAL,Secreted Signaling
111,Nodal,Acvr1b_Acvr2b_Cfc1,NODAL,Secreted Signaling
112,Nodal,Acvr1c_Acvr2b_Cfc1,NODAL,Secreted Signaling
113,Gdf1,Acvr1b_Acvr2a_Cfc1,NODAL,Secreted Signaling
114,Gdf1,Acvr1b_Acvr2b_Cfc1,NODAL,Secreted Signaling
115,Gdf1,Acvr1c_Acvr2a_Cfc1,NODAL,Secreted Signaling
116,Gdf1,Acvr1c_Acvr2b_Cfc1,NODAL,Secreted Signaling
117,Gdf3,Acvr1b_Acvr2a_Cfc1,NODAL,Secreted Signaling
118,Gdf3,Acvr1b_Acvr2b_Cfc1,NODAL,Secreted Signaling
119,Gdf3,Acvr1c_Acvr2a_Cfc1,NODAL,Secreted Signaling
120,Gdf3,Acvr1c_Acvr2b_Cfc1,NODAL,Secreted Signaling
121,Inhba,Acvr1b_Acvr2a,ACTIVIN,Secreted Signaling
122,Inhba,Acvr1b_Acvr2b,ACTIVIN,Secreted Signaling
123,Inhbb,Acvr1b_Acvr2a,ACTIVIN,Secreted Signaling
124,Inhbb,Acvr1b_Acvr2b,ACTIVIN,Secreted Signaling
125,Inhbb,Acvr1c_Acvr2a,ACTIVIN,Secreted Signaling
126,Inhbb,Acvr1c_Acvr2b,ACTIVIN,Secreted Signaling
127,Inhbc,Acvr1b_Acvr2a,ACTIVIN,Secreted Signaling
128,Inhbc,Acvr1b_Acvr2b,ACTIVIN,Secreted Signaling
129,Inhbc,Acvr1c_Acvr2a,ACTIVIN,Secreted Signaling
130,Inhbc,Acvr1c_Acvr2b,ACTIVIN,Secreted Signaling
131,Inhbe,Acvr1b_Acvr2a,ACTIVIN,Secreted Signaling
132,Inhbe,Acvr1b_Acvr2b,ACTIVIN,Secreted Signaling
133,Inhbe,Acvr1c_Acvr2a,ACTIVIN,Secreted Signaling
134,Inhbe,Acvr1c_Acvr2b,ACTIVIN,Secreted Signaling
135,Inhba_Inhbb,Acvr1b_Acvr2a,ACTIVIN,Secreted Signaling
136,Inhba_Inhbb,Acvr1b_Acvr2b,ACTIVIN,Secreted Signaling
137,Inhba_Inhbb,Acvr1c_Acvr2a,ACTIVIN,Secreted Signaling
138,Inhba_Inhbb,Acvr1c_Acvr2b,ACTIVIN,Secreted Signaling
139,Inha_Inhba,Acvr2a,ACTIVIN,Secreted Signaling
140,Inha_Inhbb,Acvr2b,ACTIVIN,Secreted Signaling
141,Wnt1,Fzd1_Lrp5,WNT,Secreted Signaling
142,Wnt1,Fzd10_Lrp5,WNT,Secreted Signaling
143,Wnt1,Fzd2_Lrp5,WNT,Secreted Signaling
144,Wnt1,Fzd3_Lrp5,WNT,Secreted Signaling
145,Wnt1,Fzd4_Lrp5,WNT,Secreted Signaling
146,Wnt1,Fzd5_Lrp5,WNT,Secreted Signaling
147,Wnt1,Fzd6_Lrp5,WNT,Secreted Signaling
148,Wnt1,Fzd7_Lrp5,WNT,Secreted Signaling
149,Wnt1,Fzd8_Lrp5,WNT,Secreted Signaling
150,Wnt1,Fzd9_Lrp5,WNT,Secreted Signaling
151,Wnt10a,Fzd1_Lrp5,WNT,Secreted Signaling
152,Wnt10a,Fzd10_Lrp5,WNT,Secreted Signaling
153,Wnt10a,Fzd2_Lrp5,WNT,Secreted Signaling
154,Wnt10a,Fzd3_Lrp5,WNT,Secreted Signaling
155,Wnt10a,Fzd4_Lrp5,WNT,Secreted Signaling
156,Wnt10a,Fzd5_Lrp5,WNT,Secreted Signaling
157,Wnt10a,Fzd6_Lrp5,WNT,Secreted Signaling
158,Wnt10a,Fzd7_Lrp5,WNT,Secreted Signaling
159,Wnt10a,Fzd8_Lrp5,WNT,Secreted Signaling
160,Wnt10a,Fzd9_Lrp5,WNT,Secreted Signaling
161,Wnt10b,Fzd1_Lrp5,WNT,Secreted Signaling
162,Wnt10b,Fzd10_Lrp5,WNT,Secreted Signaling
163,Wnt10b,Fzd2_Lrp5,WNT,Secreted Signaling
164,Wnt10b,Fzd3_Lrp5,WNT,Secreted Signaling
165,Wnt10b,Fzd4_Lrp5,WNT,Secreted Signaling
166,Wnt10b,Fzd5_Lrp5,WNT,Secreted Signaling
167,Wnt10b,Fzd6_Lrp5,WNT,Secreted Signaling
168,Wnt10b,Fzd7_Lrp5,WNT,Secreted Signaling
169,Wnt10b,Fzd8_Lrp5,WNT,Secreted Signaling
170,Wnt10b,Fzd9_Lrp5,WNT,Secreted Signaling
171,Wnt16,Fzd1_Lrp5,WNT,Secreted Signaling
172,Wnt16,Fzd10_Lrp5,WNT,Secreted Signaling
173,Wnt16,Fzd2_Lrp5,WNT,Secreted Signaling
174,Wnt16,Fzd3_Lrp5,WNT,Secreted Signaling
175,Wnt16,Fzd4_Lrp5,WNT,Secreted Signaling
176,Wnt16,Fzd5_Lrp5,WNT,Secreted Signaling
