,0,1,2,3
0,wnt5a,fzd1,ncWNT,Secreted Signaling
1,wnt5a,fzd10,ncWNT,Secreted Signaling
2,wnt5a,fzd2,ncWNT,Secreted Signaling
3,wnt5a,fzd3b,ncWNT,Secreted Signaling
4,wnt5a,fzd3a,ncWNT,Secreted Signaling
5,wnt5a,fzd4,ncWNT,Secreted Signaling
6,wnt5a,fzd5,ncWNT,Secreted Signaling
7,wnt5a,fzd6,ncWNT,Secreted Signaling
8,wnt5a,fzd7b,ncWNT,Secreted Signaling
9,wnt5a,fzd7a,ncWNT,Secreted Signaling
10,wnt5a,fzd8a,ncWNT,Secreted Signaling
11,wnt5a,fzd8b,ncWNT,Secreted Signaling
12,wnt5a,fzd9b,ncWNT,Secreted Signaling
13,wnt5a,fzd9a,ncWNT,Secreted Signaling
14,wnt5a,mcamb,ncWNT,Secreted Signaling
15,wnt5a,mcama,ncWNT,Secreted Signaling
16,wnt5b,fzd1,ncWNT,Secreted Signaling
17,wnt5b,fzd10,ncWNT,Secreted Signaling
18,wnt5b,fzd2,ncWNT,Secreted Signaling
19,wnt5b,fzd3b,ncWNT,Secreted Signaling
20,wnt5b,fzd3a,ncWNT,Secreted Signaling
21,wnt5b,fzd4,ncWNT,Secreted Signaling
22,wnt5b,fzd5,ncWNT,Secreted Signaling
23,wnt5b,fzd6,ncWNT,Secreted Signaling
24,wnt5b,fzd7b,ncWNT,Secreted Signaling
25,wnt5b,fzd7a,ncWNT,Secreted Signaling
26,wnt5b,fzd8a,ncWNT,Secreted Signaling
27,wnt5b,fzd8b,ncWNT,Secreted Signaling
28,wnt5b,fzd9b,ncWNT,Secreted Signaling
29,wnt5b,fzd9a,ncWNT,Secreted Signaling
30,wnt11,fzd1,ncWNT,Secreted Signaling
31,wnt11,fzd10,ncWNT,Secreted Signaling
32,wnt11,fzd2,ncWNT,Secreted Signaling
33,wnt11,fzd3b,ncWNT,Secreted Signaling
34,wnt11,fzd3a,ncWNT,Secreted Signaling
35,wnt11,fzd4,ncWNT,Secreted Signaling
36,wnt11,fzd5,ncWNT,Secreted Signaling
37,wnt11,fzd6,ncWNT,Secreted Signaling
38,wnt11,fzd7b,ncWNT,Secreted Signaling
39,wnt11,fzd7a,ncWNT,Secreted Signaling
40,wnt11,fzd8a,ncWNT,Secreted Signaling
41,wnt11,fzd8b,ncWNT,Secreted Signaling
42,wnt11,fzd9b,ncWNT,Secreted Signaling
43,wnt11,fzd9a,ncWNT,Secreted Signaling
44,egf,egfra,EGF,Secreted Signaling
45,tgfa,egfra,EGF,Secreted Signaling
46,btc,egfra,EGF,Secreted Signaling
47,btc,erbb4a,EGF,Secreted Signaling
48,btc,si:ch73-383l1.1,EGF,Secreted Signaling
49,btc,erbb4b,EGF,Secreted Signaling
50,hbegfb,egfra,EGF,Secreted Signaling
51,hbegfa,egfra,EGF,Secreted Signaling
52,hbegfb,erbb4a,EGF,Secreted Signaling
53,hbegfb,si:ch73-383l1.1,EGF,Secreted Signaling
54,hbegfb,erbb4b,EGF,Secreted Signaling
55,hbegfa,erbb4a,EGF,Secreted Signaling
56,hbegfa,si:ch73-383l1.1,EGF,Secreted Signaling
57,hbegfa,erbb4b,EGF,Secreted Signaling
58,nrg1,erbb3a,NRG,Secreted Signaling
59,nrg1,erbb3b,NRG,Secreted Signaling
60,nrg1,erbb4a,NRG,Secreted Signaling
61,nrg1,si:ch73-383l1.1,NRG,Secreted Signaling
62,nrg1,erbb4b,NRG,Secreted Signaling
63,nrg2a,erbb3a,NRG,Secreted Signaling
64,nrg2a,erbb3b,NRG,Secreted Signaling
65,nrg2b,erbb3a,NRG,Secreted Signaling
66,nrg2b,erbb3b,NRG,Secreted Signaling
67,nrg2a,erbb4a,NRG,Secreted Signaling
68,nrg2a,si:ch73-383l1.1,NRG,Secreted Signaling
69,nrg2a,erbb4b,NRG,Secreted Signaling
70,nrg2b,erbb4a,NRG,Secreted Signaling
71,nrg2b,si:ch73-383l1.1,NRG,Secreted Signaling
72,nrg2b,erbb4b,NRG,Secreted Signaling
73,nrg3b,erbb4a,NRG,Secreted Signaling
74,nrg3b,si:ch73-383l1.1,NRG,Secreted Signaling
75,nrg3b,erbb4b,NRG,Secreted Signaling
76,fgf4,fgfr1a,FGF,Secreted Signaling
77,fgf4,fgfr1bl,FGF,Secreted Signaling
78,fgf4,fgfr1b,FGF,Secreted Signaling
79,fgf4,fgfr2,FGF,Secreted Signaling
80,fgf4,fgfr3,FGF,Secreted Signaling
81,fgf5,fgfr1a,FGF,Secreted Signaling
82,fgf5,fgfr1bl,FGF,Secreted Signaling
83,fgf5,fgfr1b,FGF,Secreted Signaling
84,fgf5,fgfr2,FGF,Secreted Signaling
85,fgf5,fgfr3,FGF,Secreted Signaling
86,fgf6a,fgfr1a,FGF,Secreted Signaling
87,fgf6a,fgfr1bl,FGF,Secreted Signaling
88,fgf6a,fgfr1b,FGF,Secreted Signaling
89,fgf6b,fgfr1a,FGF,Secreted Signaling
90,fgf6b,fgfr1bl,FGF,Secreted Signaling
91,fgf6b,fgfr1b,FGF,Secreted Signaling
92,fgf6a,fgfr2,FGF,Secreted Signaling
93,fgf6b,fgfr2,FGF,Secreted Signaling
94,fgf6a,fgfr3,FGF,Secreted Signaling
95,fgf6b,fgfr3,FGF,Secreted Signaling
96,fgf7,fgfr1a,FGF,Secreted Signaling
97,fgf7,fgfr1bl,FGF,Secreted Signaling
98,fgf7,fgfr1b,FGF,Secreted Signaling
99,fgf7,fgfr2,FGF,Secreted Signaling
100,fgf3,fgfr1a,FGF,Secreted Signaling
101,fgf3,fgfr1bl,FGF,Secreted Signaling
102,fgf3,fgfr1b,FGF,Secreted Signaling
103,fgf3,fgfr2,FGF,Secreted Signaling
104,fgf10a,fgfr1a,FGF,Secreted Signaling
105,fgf10a,fgfr1bl,FGF,Secreted Signaling
106,fgf10a,fgfr1b,FGF,Secreted Signaling
107,fgf10b,fgfr1a,FGF,Secreted Signaling
108,fgf10b,fgfr1bl,FGF,Secreted Signaling
109,fgf10b,fgfr1b,FGF,Secreted Signaling
110,fgf10a,fgfr2,FGF,Secreted Signaling
111,fgf10b,fgfr2,FGF,Secreted Signaling
112,fgf22,fgfr2,FGF,Secreted Signaling
113,fgf8a,fgfr1a,FGF,Secreted Signaling
114,fgf8a,fgfr1bl,FGF,Secreted Signaling
115,fgf8a,fgfr1b,FGF,Secreted Signaling
116,fgf8b,fgfr1a,FGF,Secreted Signaling
117,fgf8b,fgfr1bl,FGF,Secreted Signaling
118,fgf8b,fgfr1b,FGF,Secreted Signaling
119,fgf8a,fgfr2,FGF,Secreted Signaling
120,fgf8b,fgfr2,FGF,Secreted Signaling
121,fgf8a,fgfr3,FGF,Secreted Signaling
122,fgf8b,fgfr3,FGF,Secreted Signaling
