,0,1,2,3
0,PTGR1,LTB4R,nan,Secreted Signaling
1,PTGR1,LTB4R2,nan,Secreted Signaling
2,CYP11A1,NR1H4,nan,Secreted Signaling
3,CYP3A4,NR1H4,nan,Secreted Signaling
4,DAGLA,CNR1,nan,Secreted Signaling
5,DAGLA,CNR2,nan,Secreted Signaling
6,DAGLA,GPR55,nan,Secreted Signaling
7,DAGLB,CNR1,nan,Secreted Signaling
8,DAGLB,CNR2,nan,Secreted Signaling
9,DAGLB,GPR55,nan,Secreted Signaling
10,ALOX5_LTC4S_ALOX5AP,OXER1,nan,Secreted Signaling
11,WNT11,KLRG2,nan,Secreted Signaling
12,TNFSF9,KLRG2,nan,Secreted Signaling
13,WNT5B,KLRG2,nan,Secreted Signaling
14,DDC,HTR3E,nan,Secreted Signaling
15,COL6A6,ITGB1_ITGA10,nan,Secreted Signaling
16,COL6A6,ITGB1_ITGA11,nan,Secreted Signaling
17,COL6A6,ITGB1_ITGA1,nan,Secreted Signaling
18,COL6A6,ITGB1_ITGA2,nan,Secreted Signaling
19,COL6A5,ITGB1_ITGA10,nan,Secreted Signaling
20,COL6A5,ITGB1_ITGA11,nan,Secreted Signaling
21,COL6A5,ITGB1_ITGA1,nan,Secreted Signaling
22,COL6A5,ITGB1_ITGA2,nan,Secreted Signaling
23,BMP10,ACVRL1_ACVR2A,nan,Secreted Signaling
24,GDF2,ACVRL1_ACVR2A,nan,Secreted Signaling
25,BMP10,ACVRL1_BMPR2,nan,Secreted Signaling
26,GDF2,ACVRL1_BMPR2,nan,Secreted Signaling
27,BMP7,ACVR1_BMPR2,nan,Secreted Signaling
28,BMP5,ACVR1_BMPR2,nan,Secreted Signaling
29,BMP6,ACVR1_BMPR2,nan,Secreted Signaling
30,BMP8A,ACVR1_BMPR2,nan,Secreted Signaling
31,INHBA_INHBB,ACVR1_ACVR2A,nan,Secreted Signaling
32,INHBA_INHA,ACVR1_ACVR2A,nan,Secreted Signaling
33,INHBB_INHA,ACVR1_ACVR2A,nan,Secreted Signaling
34,INHA,ACVR1_ACVR2A,nan,Secreted Signaling
35,BMP7,ACVR1_ACVR2A,nan,Secreted Signaling
36,BMP5,ACVR1_ACVR2A,nan,Secreted Signaling
37,BMP6,ACVR1_ACVR2A,nan,Secreted Signaling
38,BMP8A,ACVR1_ACVR2A,nan,Secreted Signaling
39,INHBA_INHBB,ACVR1_ACVR2B,nan,Secreted Signaling
40,INHBA_INHA,ACVR1_ACVR2B,nan,Secreted Signaling
41,INHBB_INHA,ACVR1_ACVR2B,nan,Secreted Signaling
