Approved symbol	Locus group	Ensembl gene ID
A1BG	protein-coding gene	ENSG00000121410
A1BG-AS1	non-coding RNA	ENSG00000268895
A1CF	protein-coding gene	ENSG00000148584
A2M	protein-coding gene	ENSG00000175899
A2M-AS1	non-coding RNA	ENSG00000245105
A2ML1	protein-coding gene	ENSG00000166535
A2ML1-AS1	non-coding RNA	ENSG00000256661
A2ML1-AS2	non-coding RNA	ENSG00000256904
A2MP1	pseudogene	ENSG00000256069
A3GALT2	protein-coding gene	ENSG00000184389
A4GALT	protein-coding gene	ENSG00000128274
A4GNT	protein-coding gene	ENSG00000118017
AAAS	protein-coding gene	ENSG00000094914
AACS	protein-coding gene	ENSG00000081760
AACSP1	pseudogene	ENSG00000250420
AADAC	protein-coding gene	ENSG00000114771
AADACL2	protein-coding gene	ENSG00000197953
AADACL2-AS1	non-coding RNA	ENSG00000242908
AADACL3	protein-coding gene	ENSG00000188984
AADACL4	protein-coding gene	ENSG00000204518
AADACP1	pseudogene	ENSG00000240602
AADAT	protein-coding gene	ENSG00000109576
AAGAB	protein-coding gene	ENSG00000103591
AAK1	protein-coding gene	ENSG00000115977
AAMDC	protein-coding gene	ENSG00000087884
AAMP	protein-coding gene	ENSG00000127837
AANAT	protein-coding gene	ENSG00000129673
AAR2	protein-coding gene	ENSG00000131043
AARD	protein-coding gene	ENSG00000205002
AARS1	protein-coding gene	ENSG00000090861
AARS1P1	pseudogene	ENSG00000249038
AARS2	protein-coding gene	ENSG00000124608
AARSD1	protein-coding gene	ENSG00000266967
AARSD1P1	pseudogene	ENSG00000234969
AASDH	protein-coding gene	ENSG00000157426
AASDHPPT	protein-coding gene	ENSG00000149313
AASS	protein-coding gene	ENSG00000008311
AATBC	non-coding RNA	ENSG00000215458
AATF	protein-coding gene	ENSG00000275700
AATK	protein-coding gene	ENSG00000181409
AAVS1	other	
ABALON	non-coding RNA	ENSG00000281376
ABAT	protein-coding gene	ENSG00000183044
ABCA1	protein-coding gene	ENSG00000165029
ABCA10	protein-coding gene	ENSG00000154263
ABCA11P	pseudogene	ENSG00000251595
ABCA12	protein-coding gene	ENSG00000144452
ABCA13	protein-coding gene	ENSG00000179869
ABCA17P	pseudogene	ENSG00000238098
ABCA2	protein-coding gene	ENSG00000107331
ABCA3	protein-coding gene	ENSG00000167972
ABCA4	protein-coding gene	ENSG00000198691
ABCA5	protein-coding gene	ENSG00000154265
ABCA6	protein-coding gene	ENSG00000154262
ABCA7	protein-coding gene	ENSG00000064687
ABCA8	protein-coding gene	ENSG00000141338
ABCA9	protein-coding gene	ENSG00000154258
