Protein IDs,pvalue,FoldChange,log(pvalue),log2FC,sig,size
F6ZLC6,0.5892701676116386,3.0369772214854267,0.22968554493844667,-1.602636087770024,normal,0.3036977221485427
A0A1L1SQV7,0.31653072467685917,2.5514952391779375,0.49958412795314133,-1.3513429498075853,normal,0.2551495239177938
Q01149,0.3671578693942257,3.407940190853348,0.43514715900495493,-1.7689000165741884,normal,0.3407940190853348
Q5RIU1,0.22176189619753753,2.8095772825672656,0.6541130735734894,-1.490353084816472,normal,0.28095772825672655
Q3V0W6,0.6446729991236005,2.3955040042801783,0.1906605189888178,-1.2603292250546587,normal,0.23955040042801784
F6WM66,0.16937877737473947,2.256784119790816,0.7711410063219607,-1.1742684193258937,normal,0.22567841197908162
Q8CJI4,0.34691902996940494,1.702891011086898,0.45977187662370883,-0.7679861021943034,normal,0.1702891011086898
Q8K3J1,0.07839550408509802,1.9881284463610323,1.105708843017354,-0.9914109676355392,normal,0.19881284463610321
Q925N0,0.3522949912412183,2.2101915578450413,0.4530935313625086,-1.1441714137690433,normal,0.22101915578450412
Q99LI2,0.13233165010192163,1.950696231856187,0.8783362720580313,-0.9639891347305011,normal,0.19506962318561868
P07309,0.42333468595959944,2.2162817555795984,0.37331614611681196,-1.148141302658759,normal,0.22162817555795983
A0A2R8VHF9,0.23011844682401486,1.9736005619077672,0.6380485658912635,-0.9808300315033256,normal,0.19736005619077673
Q810N9,0.08483799785960147,1.7638964800468535,1.0714095891982283,-0.8187658941690004,normal,0.17638964800468535
B7ZCB8,0.010517044943523325,1.6949804823230596,1.9781062701635692,-0.7612686608437131,down,0.16949804823230596
Q9QZE5,0.4489323800645718,1.9339312340434278,0.34781906918909355,-0.9515364969510972,normal,0.19339312340434278
A0A0U1RP13,0.1692921687364552,1.5037281584732307,0.77136313139613,-0.5885437825277363,normal,0.15037281584732307
Q5HZI2,0.37115282051967324,1.4545777500639907,0.4304472347435857,-0.5406004134088966,normal,0.14545777500639906
E9Q9I2,0.4977892203336548,1.3929157935038938,0.3029545123081805,-0.4781080447544291,normal,0.13929157935038938
Q8JZQ2,0.08160221131118416,1.526414981008544,1.088298072284954,-0.6101472358642598,normal,0.1526414981008544
Q8C7D2,0.3009673838792656,1.6470461284852504,0.5214805667608597,-0.7198809608960766,normal,0.16470461284852506
O35954,0.5138718713447887,1.789015792839015,0.28914515436013255,-0.8391661230801298,normal,0.1789015792839015
P70188,0.24542026344101606,1.5800495730150346,0.6100895820438004,-0.6599698227194756,normal,0.15800495730150346
P04187,0.13194448942185,1.4142619244821757,0.8796087430995395,-0.5000493352516354,normal,0.14142619244821758
Q5SUT0,0.06682086443799268,1.5197091620267764,1.175087910346768,-0.6037952508733487,normal,0.15197091620267764
P62855,0.3466868143940858,1.3585266800802736,0.46006267563458986,-0.44204289889925813,normal,0.13585266800802737
A0A0G2JFP9,0.07387770020000156,1.448664015686861,1.131486632533295,-0.5347230337435631,normal,0.1448664015686861
E9Q812,0.18889969286631153,1.491012603772869,0.723768748200848,-0.5762924530095249,normal,0.1491012603772869
Q9Z1J3,0.06471102738580385,1.4292093335065055,1.189021705038812,-0.5152172406420209,normal,0.14292093335065054
D3Z2X2,0.08690943149481647,1.433602828104141,1.060933090940362,-0.5196453885515385,normal,0.1433602828104141
D3Z4E3,0.4284464474293852,1.5837848333764928,0.3681034538793139,-0.663376349997108,normal,0.15837848333764928
Q68ED7,0.24628657079888303,1.4719857244287327,0.6085592681728527,-0.5577636799576016,normal,0.14719857244287327
Q9R1P3,0.34869083730589545,1.5028031189792594,0.4575594646107498,-0.5876560153239164,normal,0.15028031189792596
P62317,0.19573380904571053,1.3149979607972584,0.7083341522989984,-0.39506056229327063,normal,0.13149979607972584
Q5F2E8,0.22091537747435763,1.3983342413655793,0.6557740527124473,-0.48370924678293603,normal,0.13983342413655792
A0A0G2JGW5,0.19437931647480486,1.392439607545718,0.7113499493827875,-0.4776147568050095,normal,0.1392439607545718
Q9JJZ2,0.026912079375129804,1.336255579193618,1.5700527449617732,-0.41819597156272476,down,0.1336255579193618
A0A1D5RMH2,0.36814688842853704,1.4331459483104183,0.4339788658216056,-0.519185537849803,normal,0.14331459483104184
Q8K2C9,0.5121734696365813,1.5315127896966918,0.29058292155061827,-0.6149574149649127,normal,0.15315127896966918
Q9QYE3,0.5377300870450277,1.2511041506507654,0.26943566322146073,-0.32320189451807624,normal,0.12511041506507653
P24668,0.029341000283777185,1.3079917456786563,1.5325250844150378,-0.3873534364735768,down,0.13079917456786563
G3X9N3,0.042694694644659095,1.2997983845936223,1.3696260881997793,-0.37828786009635984,down,0.12997983845936223
A0A1W2P7H9,0.30497203405283435,1.4002563141648552,0.5157399836479277,-0.48569093383341283,normal,0.14002563141648552
Q8BWT1,0.15628470538524333,1.3480428250524032,0.8060835216084822,-0.4308663292418329,normal,0.13480428250524032
