Annotation/Divergence,DD6_old_rep1,DD7_old_rep2,DD8_old_rep3,DD9_old_rep4,DD10_old_rep5,DD11_old_rep6,DD18_old121_rep1,DD19_old121_rep2,DD20_old121_rep3,DD21_old121_rep4,DD22_old121_rep5,DD23_old121_rep6
Fam175a,1.201,2.115,2.107,1.917,1.508,1.466,1.982,1.566,1.453,1.662,1.88,1.313
1-Mar,5.761,5.398,6.189,5.654,6.211,6.943,6.791,6.892,6.86,6.922,6.914,6.712
Mob3b,1.679,1.704,2.165,1.131,1.99,1.703,2.13,2.979,2.294,1.664,1.724,1.861
Vapa,66.434,74.912,74.608,86.105,76.125,76.165,71.766,74.324,77.998,87.065,76.104,76.913
Crat,10.868,12.262,9.716,11.024,10.36,10.798,8.987,8.963,9.307,9.758,9.945,9.9
Akr1c14,0.944,1.308,0.734,0.816,0.685,0.819,1.036,0.829,1.066,1.117,0.609,0.981
Zfp473,0.172,0.073,0.217,0.207,0.073,0.163,0.141,0.253,0.155,0.127,0.224,0.164
Skap2,10.094,12.723,8.766,8.809,8.377,7.845,9.73,8.695,9.138,9.836,9.029,9.214
Tsks,0.168,0.321,0.229,0.406,0.143,0.241,0.216,0.191,0.164,0.249,0.188,0.161
Dand5,5.449,5.419,5.309,6.823,5.711,5.527,3.757,3.583,5.007,5.512,4.525,4.025
Med16,11.186,13.552,11.808,14.52,12.712,14.293,11.932,12.724,10.571,13.178,13.594,13.199
Desi1,33.406,28.829,30.9,32.46,30.145,31.641,29.552,30.886,29.047,28.157,31.15,26.545
Bcr,33.831,53.203,27.87,26.082,26.461,27.188,23.5,26.811,25.578,25.261,25.784,27.133
Dusp3,35.034,34.516,34.989,32.426,34.441,39,32.209,32.509,30.581,34.125,34.479,33.787
Itgax,0.153,0.391,0.343,0.213,0.313,0.195,0.196,0.279,0.202,0.199,0.229,0.122
Npcd,224.777,109.9,255.839,254.667,248.292,237.917,212.717,227.846,202.692,236.917,236.844,237.216
Rhog,10.882,13.769,11.345,12.66,11.458,10.536,9.206,10.875,9.652,9.711,10.55,9.361
Sec11c,62.326,51.93,61.283,77.998,59.44,50.604,52.726,50.389,57.423,61.478,49.715,58.656
Ppfia2,22.932,12.071,28.534,24.791,28.3,28.53,31.327,29.378,30.411,30.173,31.691,30.227
Abca4,0.17,0.262,0.248,0.221,1.463,0.365,0.958,0.425,1.288,0.346,1.625,0.562
Fkbp14,4.994,2.882,3.838,4.11,5.236,3.852,5.119,4.245,4.659,4.917,4.347,4.361
