Mice,weight_g,length_cm,ab_fat,other_fat
F2_2,38.0,10.5,3.81,2.78
F2_3,33.5,10.8,1.7,2.05
F2_14,33.9,10.0,1.29,1.67
F2_15,44.3,10.3,3.62,3.34
F2_19,32.9,9.7,2.08,1.85
F2_20,44.8,10.3,3.72,3.2
F2_23,36.9,10.0,2.07,2.8
F2_24,39.5,10.0,2.79,2.62
F2_26,42.5,9.9,2.68,4.56
F2_37,25.7,9.4,0.42,0.6
F2_42,39.4,10.2,2.99,2.8
F2_43,35.3,10.7,1.32,1.56
F2_45,45.8,10.4,4.13,2.9
F2_46,26.1,9.7,0.94,0.82
F2_47,23.9,9.2,0.67,0.9
F2_48,27.5,9.6,0.77,0.95
F2_51,37.9,10.5,1.87,3.56
F2_52,38.5,10.8,1.78,3.09
F2_54,46.4,10.5,2.84,5.9
F2_63,43.2,10.5,1.89,3.97
F2_65,40.4,10.5,1.71,4.44
F2_66,38.9,9.8,1.59,4.21
F2_68,32.0,9.9,1.54,2.75
F2_69,34.9,9.9,1.6,3.22
F2_70,23.9,9.8,0.53,1.4
F2_71,40.9,10.0,,4.66
F2_72,30.9,9.7,1.67,2.43
F2_78,37.1,10.0,1.79,2.19
F2_79,38.7,11.0,2.68,2.34
F2_80,42.7,10.5,4.1,4.74
F2_81,33.7,10.2,1.86,2.38
F2_83,39.0,10.5,3.93,2.18
F2_86,34.8,10.0,2.01,1.9
F2_87,32.5,10.5,1.51,1.57
F2_88,46.0,10.8,4.11,2.87
F2_89,28.3,9.5,1.09,1.06
F2_107,43.6,10.3,3.47,2.58
F2_108,40.6,10.7,3.96,2.45
F2_109,43.6,10.3,2.96,3.19
F2_110,37.1,10.3,2.57,2.07
F2_111,33.8,10.0,1.28,1.53
F2_112,26.8,10.5,0.41,0.58
F2_117,38.0,10.2,,2.55
F2_119,40.3,10.2,2.85,3.35
F2_125,44.1,10.4,3.5,2.67
F2_126,43.1,10.4,3.47,3.92
F2_127,33.4,9.9,1.98,2.17
F2_141,36.0,10.2,2.31,1.41
F2_142,24.5,9.9,0.4,0.25
F2_143,43.1,10.5,3.23,1.55
F2_144,,,1.52,0.98
F2_145,,,1.98,1.89
F2_154,42.9,10.4,2.75,2.54
F2_155,31.8,10.2,1.55,1.55
F2_156,40.9,10.6,3.01,2.84
F2_157,22.2,9.8,0.15,0.39
F2_162,44.6,10.0,2.74,2.3
F2_163,53.1,10.7,6.58,3.77
F2_164,52.7,10.8,5.81,4.17
F2_165,54.1,10.5,5.72,4.02
F2_166,32.1,9.9,1.76,1.7
F2_167,29.4,10.7,1.6,1.8
F2_169,33.9,10.1,1.48,1.9
F2_180,41.8,10.2,2.63,2.79
F2_181,31.2,10.2,1.34,1.15
F2_182,36.0,10.1,2.96,2.01
F2_187,40.9,10.3,3.04,2.43
F2_188,31.5,10.4,1.06,1.38
F2_189,36.4,10.5,2.08,2.16
F2_190,41.4,10.5,3.6,2.14
F2_191,40.9,10.4,3.2,2.5
F2_192,41.4,10.2,2.9,2.01
F2_194,38.0,10.3,2.68,2.04
F2_195,25.3,10.2,0.17,0.15
F2_200,45.6,10.8,3.8,2.55
F2_201,50.1,10.7,5.07,3.58
F2_212,35.4,9.8,2.31,2.34
F2_213,39.6,10.3,3.39,2.35
F2_214,31.0,9.7,1.67,1.5
F2_215,46.3,10.4,2.05,2.56
F2_221,43.3,10.1,4.41,2.7
F2_222,,,2.8,2.69
F2_223,36.2,10.2,2.18,2.55
F2_224,37.3,10.0,3.07,2.36
F2_225,34.1,9.8,1.74,2.31
F2_226,29.0,9.9,1.49,1.61
F2_227,36.0,10.3,2.2,2.15
F2_228,42.8,9.9,3.6,3.21
F2_241,36.7,9.8,2.48,2.49
F2_242,38.9,9.9,2.91,1.79
F2_243,43.9,10.2,4.26,2.97
F2_244,32.8,9.9,1.33,1.95
F2_245,42.7,10.4,2.35,2.43
F2_247,40.9,10.3,2.93,2.26
F2_248,30.7,9.8,1.46,1.45
F2_261,39.6,10.3,2.9,2.3
F2_263,36.0,10.1,2.6,2.0
F2_264,41.6,10.4,3.04,2.54
F2_270,45.2,10.2,3.66,2.72
F2_271,42.3,10.0,1.58,2.39
F2_272,39.6,10.0,1.82,2.55
F2_278,44.4,10.7,2.81,2.78
F2_287,43.9,10.2,2.85,2.35
F2_288,37.7,10.2,2.04,2.01
F2_289,37.2,10.2,2.42,1.9
F2_290,36.9,9.9,2.53,2.26
F2_291,48.5,10.7,2.9,2.97
F2_296,38.8,10.2,3.28,1.64
F2_298,33.4,10.0,2.19,1.81
F2_299,40.0,9.9,3.41,2.68
F2_300,41.1,9.8,4.01,3.29
F2_302,44.0,10.5,3.6,2.05
F2_303,41.9,10.1,3.5,2.37
F2_304,37.6,10.1,3.36,1.87
F2_305,34.1,10.1,2.52,1.58
F2_306,42.9,10.2,3.86,2.35
F2_307,35.3,9.8,2.48,2.03
F2_308,40.5,10.0,3.27,2.32
F2_309,40.7,10.9,3.13,2.16
F2_310,39.5,10.6,2.47,2.07
F2_311,33.6,9.9,2.4,1.77
F2_312,39.4,10.1,2.7,2.75
F2_320,39.2,10.3,1.88,2.32
F2_321,45.3,10.6,2.5,2.66
F2_323,43.0,10.1,3.14,2.88
F2_324,38.3,9.8,2.48,2.31
F2_325,40.8,9.7,2.42,2.65
