# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "64" "-p" "-t" "exon" "-g" "gene_id" "-a" "/public5/xiongyy/refer/Mus_musculus.GRCm39.108.gtf" "-o" "/public5/xiongyy/mouse_EV/00.CleanData/all.id.txt" "/public5/xiongyy/mouse_EV/00.CleanData/1--1/1--1.bam" "/public5/xiongyy/mouse_EV/00.CleanData/1--2/1--2.bam" "/public5/xiongyy/mouse_EV/00.CleanData/2--1/2--1.bam" "/public5/xiongyy/mouse_EV/00.CleanData/2--2/2--2.bam" "/public5/xiongyy/mouse_EV/00.CleanData/3--1/3--1.bam" "/public5/xiongyy/mouse_EV/00.CleanData/3--2/3--2.bam" "/public5/xiongyy/mouse_EV/00.CleanData/4--1/4--1.bam" "/public5/xiongyy/mouse_EV/00.CleanData/4--2/4--2.bam" "/public5/xiongyy/mouse_EV/00.CleanData/4-3/4-3.bam" "/public5/xiongyy/mouse_EV/00.CleanData/4-4/4-4.bam" "/public5/xiongyy/mouse_EV/00.CleanData/Blank-1/Blank-1.bam" "/public5/xiongyy/mouse_EV/00.CleanData/Blank-2/Blank-2.bam" 
Geneid	/public5/xiongyy/mouse_EV/00.CleanData/1--1/1--1.bam	/public5/xiongyy/mouse_EV/00.CleanData/1--2/1--2.bam	/public5/xiongyy/mouse_EV/00.CleanData/2--1/2--1.bam	/public5/xiongyy/mouse_EV/00.CleanData/2--2/2--2.bam	/public5/xiongyy/mouse_EV/00.CleanData/3--1/3--1.bam	/public5/xiongyy/mouse_EV/00.CleanData/3--2/3--2.bam	/public5/xiongyy/mouse_EV/00.CleanData/4--1/4--1.bam	/public5/xiongyy/mouse_EV/00.CleanData/4--2/4--2.bam	/public5/xiongyy/mouse_EV/00.CleanData/4-3/4-3.bam	/public5/xiongyy/mouse_EV/00.CleanData/4-4/4-4.bam	/public5/xiongyy/mouse_EV/00.CleanData/Blank-1/Blank-1.bam	/public5/xiongyy/mouse_EV/00.CleanData/Blank-2/Blank-2.bam
ENSMUSG00000102628	0	0	0	0	5	0	0	0	0	0	0	9
ENSMUSG00000100595	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097426	5	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000104478	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086053	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101231	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	116	151	155	51	184	145	95	205	169	198	83	149
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101097	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100764	0	1	0	3	2	0	2	0	0	3	0	0
ENSMUSG00000102095	0	0	0	6	0	1	0	0	0	0	5	0
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100831	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100884	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100635	3	3	11	2	4	6	1	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100480	10	15	8	14	7	4	9	15	0	0	0	16
ENSMUSG00000089037	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076531	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100025	0	1	0	2	1	1	0	0	1	3	0	1
ENSMUSG00000051285	1491	1797	1463	1913	1536	1505	1543	1310	1886	1523	1833	2844
ENSMUSG00000098201	1	1	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000103509	13	6	0	58	26	8	31	11	21	3	5	105
ENSMUSG00000048538	11	12	6	5	10	21	7	11	4	4	6	17
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	0	0	0
