Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	regulation of natural killer cell chemotaxis (GO:2000501)	5/7	1.8150328320895252e-05	0.050778624100864686	0	0	37.518014411529215	409.5774816766252	CCL7;CCL5;CCL4;CCL3;CCL2
GO_Biological_Process_2018	cholesterol biosynthetic process (GO:0006695)	10/35	3.9205226769518706e-05	0.050778624100864686	0	0	6.019614147909968	61.07922178868844	IDI1;FDPS;ACLY;SQLE;NSDHL;PMVK;MVD;DHCR7;LSS;ACAT2
GO_Biological_Process_2018	secondary alcohol biosynthetic process (GO:1902653)	10/36	5.125232683083384e-05	0.050778624100864686	0	0	5.787781350482316	57.17604235022005	IDI1;FDPS;ACLY;SQLE;NSDHL;PMVK;MVD;DHCR7;LSS;ACAT2
GO_Biological_Process_2018	regulation of steroid biosynthetic process (GO:0050810)	11/44	6.329526220114016e-05	0.050778624100864686	0	0	5.018235451863769	48.514795271205976	IDI1;FDPS;SQLE;BMP2;FASN;PMVK;MVD;DHCR7;FGFR4;ACACB;LSS
GO_Biological_Process_2018	cellular response to cytokine stimulus (GO:0071345)	50/456	8.554263134637073e-05	0.05490126079810073	0	0	1.875930805361439	17.570897810751944	CSF3R;IL1RAP;TNF;CASP3;ITGAX;ANKRD1;TIMP1;LBP;LGALS9;CD36;JAK2;CCR5;IL13RA1;MME;BGN;IL16;OSMR;YWHAZ;DCN;IL1B;IRF1;PRTN3;TNFRSF21;PIK3R1;TANK;CSF2RA;FOXO1;IL22RA2;SOCS3;SOCS1;CCL7;CCL5;CCL4;CHAD;CCL3;CCL2;FYN;STAT5A;XBP1;CCL22;VCAM1;STAT1;STAT3;POU4F1;CXCL10;IL2RB;SAA1;TDGF1;SLC26A6;NFE2L2
GO_Biological_Process_2018	sterol biosynthetic process (GO:0016126)	10/40	0.00013586088881516564	0.05958351402935425	0	0	5.015005359056807	44.65300126288664	IDI1;FDPS;ACLY;SQLE;NSDHL;PMVK;MVD;DHCR7;LSS;ACAT2
GO_Biological_Process_2018	cellular response to lipopolysaccharide (GO:0071222)	16/91	0.00015543596881361981	0.05958351402935425	0	0	3.2174044157242867	28.214309536318485	XBP1;NFKBIL1;SERPINE1;HMGB2;TNF;CXCL10;IL1B;CCL5;PDE4B;ANKRD1;CCL3;PDCD4;CCL2;CTSG;LBP;CCR5
GO_Biological_Process_2018	regulation of alcohol biosynthetic process (GO:1902930)	9/34	0.0001827181248539625	0.05958351402935425	0	0	5.413301204819278	46.595346824286175	IDI1;FDPS;SQLE;FASN;PMVK;MVD;DHCR7;ACACB;LSS
GO_Biological_Process_2018	macrophage chemotaxis (GO:0048246)	5/10	0.0001856762668412411	0.05958351402935425	0	0	15.00480384307446	128.913860769165	EDNRB;CCL5;CCL3;SAA1;CCL2
GO_Biological_Process_2018	macrophage migration (GO:1905517)	5/10	0.0001856762668412411	0.05958351402935425	0	0	15.00480384307446	128.913860769165	EDNRB;CCL5;CCL3;SAA1;CCL2
GO_Biological_Process_2018	cholesterol metabolic process (GO:0008203)	13/68	0.00026879910071250817	0.07399643353206825	0	0	3.5599296754816496	29.268126633505396	IDI1;FDPS;OSBPL5;LCAT;LSS;ACAT2;ACLY;SQLE;NSDHL;SOAT1;PMVK;MVD;DHCR7
GO_Biological_Process_2018	lipopolysaccharide-mediated signaling pathway (GO:0031663)	6/16	0.00027843609834990994	0.07399643353206825	0	0	9.007692307692308	73.73986947616244	IL1B;CCL5;CCL3;CCL2;LBP;TNF
GO_Biological_Process_2018	response to sterol (GO:0036314)	5/11	0.0003228264473197119	0.07399643353206825	0	0	12.503336002135038	100.50676227952978	INSIG1;PMVK;CCL3;CCR5;TGFBR2
GO_Biological_Process_2018	angiotensin maturation (GO:0002003)	5/11	0.0003228264473197119	0.07399643353206825	0	0	12.503336002135038	100.50676227952978	ENPEP;MME;KCTD11;CTSG;AGT
GO_Biological_Process_2018	regulation of nitric-oxide synthase biosynthetic process (GO:0051769)	5/12	0.0005248820925659166	0.10527166469025163	0	0	10.716573258606887	80.93517172880668	EDN1;KDR;CCL2;JAK2;TLR2
GO_Biological_Process_2018	regulation of angiotensin levels in blood (GO:0002002)	5/12	0.0005248820925659166	0.10527166469025163	0	0	10.716573258606887	80.93517172880668	ENPEP;MME;KCTD11;CTSG;AGT
GO_Biological_Process_2018	regulation of smooth muscle cell migration (GO:0014910)	6/18	0.0005790698106638228	0.10930794249530633	0	0	7.5056089743589745	55.94746615998525	VTN;IGFBP3;CCL5;SERPINE1;PDGFA;TRIB1
GO_Biological_Process_2018	regulation of cholesterol biosynthetic process (GO:0045540)	9/40	0.0006780708590569442	0.11455517452502295	0	0	4.364166342790517	31.842086924399872	IDI1;FDPS;SQLE;FASN;PMVK;MVD;DHCR7;ACACB;LSS
GO_Biological_Process_2018	response to lipopolysaccharide (GO:0032496)	21/155	0.0006952135578196572	0.11455517452502295	0	0	2.365617169626321	17.201091975558082	SCARB1;XBP1;JUN;NFKBIL1;TNFRSF18;SERPINE1;HMGB2;CXCL5;CXCL10;SLPI;PDE4B;ANKRD1;PDCD4;CCL2;CTSG;LGALS9;LBP;TRIB1;CCR5;JAK2;TNFRSF21
GO_Biological_Process_2018	cellular response to lipid (GO:0071396)	23/178	0.000777429876508189	0.11455517452502295	0	0	2.240994732842431	16.044440130884908	TBX1;XBP1;H2AFZ;NFKBIL1;INSIG1;TESC;SERPINE1;HMGB2;ADCY1;POU4F1;EGFR;GNAI1;CXCL10;PDK4;PDE4B;ANKRD1;SPP1;PDCD4;CCL2;CTSG;LBP;CCR5;GPLD1
GO_Biological_Process_2018	intestinal absorption (GO:0050892)	5/13	0.0008090274133843647	0.11455517452502295	0	0	9.376501200960767	66.75766702922677	KCNQ1;SLC5A1;CD36;SLC26A6;TJP2
GO_Biological_Process_2018	regulation of cholesterol metabolic process (GO:0090181)	9/41	0.0008210560966268394	0.11455517452502295	0	0	4.227560240963856	30.03647360241223	IDI1;FDPS;SQLE;FASN;PMVK;MVD;DHCR7;ACACB;LSS
GO_Biological_Process_2018	gluconeogenesis (GO:0006094)	9/41	0.0008210560966268394	0.11455517452502295	0	0	4.227560240963856	30.03647360241223	SLC25A1;PFKFB1;GOT1;PGAM2;SLC25A10;ENO1;SLC37A4;ENO3;PPARGC1A
GO_Biological_Process_2018	cellular response to interferon-gamma (GO:0071346)	17/116	0.0008986722969592002	0.12015997503925308	0	0	2.5885287801213432	18.15747355614281	VCAM1;CCL22;STAT1;CCL7;IRF1;CCL5;CCL4;IRF7;CCL3;CCL2;LGALS9;JAK2;B2M;TDGF1;SLC26A6;CD44;TRIM34
GO_Biological_Process_2018	response to interferon-gamma (GO:0034341)	12/68	0.0009695045266934899	0.12444560104637635	0	0	3.2246376811594204	22.37487542982008	IFITM2;CCL22;CCL7;STAT1;CCL5;CCL4;CCL3;CCL2;LGALS9;TDGF1;SLC26A6;CXCL16
GO_Biological_Process_2018	extracellular matrix organization (GO:0030198)	27/229	0.0011898648021336144	0.13751841762419392	0	0	2.020092473795057	13.603132202460339	LAMA1;SERPINE1;COL12A1;TNC;PDGFA;DMP1;ADAMTS4;VTN;TTR;KDR;SPP1;ITGAX;CTSG;TIMP1;JAM3;POSTN;VCAM1;LAMB3;BGN;MMP10;DCN;MMP13;COL4A1;COL5A3;ITGA8;TGFBI;CD44
GO_Biological_Process_2018	acetyl-CoA metabolic process (GO:0006084)	5/14	0.0011938122695217706	0.13751841762419392	0	0	8.334222933902677	56.094350086873035	ACLY;TDO2;PMVK;MVD;ACACB
GO_Biological_Process_2018	protein kinase B signaling (GO:0043491)	8/35	0.0011999114033896634	0.13751841762419392	0	0	4.451340586172047	29.93752474405849	CCL5;IL1B;RPS6KB2;KDR;CCL3;CCL2;TNF;FOXO1
GO_Biological_Process_2018	lymphocyte chemotaxis (GO:0048247)	9/44	0.0014027824617615845	0.1452106103159008	0	0	3.864578313253012	25.38756481444779	CXCL10;CCL22;CCL7;CCL5;CCL4;CCL3;SAA1;CCL2;CXCL16
GO_Biological_Process_2018	hexose biosynthetic process (GO:0019319)	9/44	0.0014027824617615845	0.1452106103159008	0	0	3.864578313253012	25.38756481444779	SLC25A1;PFKFB1;GOT1;PGAM2;SLC25A10;ENO1;SLC37A4;ENO3;PPARGC1A
GO_Biological_Process_2018	positive regulation of interleukin-8 production (GO:0032757)	9/44	0.0014027824617615845	0.1452106103159008	0	0	3.864578313253012	25.38756481444779	CD2;IL1B;DDIT3;SERPINE1;LBP;LGALS9;TNF;CD244;TLR2
GO_Biological_Process_2018	positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	10/53	0.0014881953878403901	0.14602598476337258	0	0	3.4964106782322584	22.762301477136702	FLT1;ERBB3;UNC5B;CCL5;PDGFC;KDR;PDGFA;JAK2;DCN;AGT
GO_Biological_Process_2018	positive regulation of nitric-oxide synthase biosynthetic process (GO:0051770)	4/9	0.0015016695223406965	0.14602598476337258	0	0	11.99424	77.97668651508084	KDR;CCL2;JAK2;TLR2
GO_Biological_Process_2018	response to cholesterol (GO:0070723)	5/15	0.0016988467465202644	0.16034115322304493	0	0	7.500400320256205	47.836095483738525	PMVK;CCL3;CCR5;GPLD1;TGFBR2
GO_Biological_Process_2018	regulation of interferon-gamma-mediated signaling pathway (GO:0060334)	6/22	0.0018748530395882122	0.17189724011538776	0	0	5.628004807692308	35.33950849712412	SOCS3;SOCS1;STAT1;TXK;PPARG;JAK2
GO_Biological_Process_2018	positive regulation of epithelial cell migration (GO:0010634)	12/74	0.002067837058278366	0.18377074014949354	0	0	2.91164095371669	17.997586810197717	SCARB1;EDN1;FLT4;KDR;ENPP2;PRKCA;PFN1;ETS1;TDGF1;GPLD1;PPM1F;AGT
GO_Biological_Process_2018	cellular response to molecule of bacterial origin (GO:0071219)	13/84	0.0021188898054008295	0.18377074014949354	0	0	2.755331343419096	16.964197612506307	XBP1;NFKBIL1;SERPINE1;HMGB2;CXCL10;PDE4B;ANKRD1;PDCD4;CCL2;CTSG;LBP;CCR5;TLR2
GO_Biological_Process_2018	positive regulation of response to endoplasmic reticulum stress (GO:1905898)	5/16	0.002344490644422241	0.1979860652092361	0	0	6.8181818181818175	41.28877574917386	XBP1;DDIT3;PMAIP1;PIK3R1;BOK
