Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2016	AGE-RAGE signaling pathway in diabetic complications Homo sapiens hsa04933	18/101	5.1345687416825154e-05	0.006630027151291005	0	0	3.2745935197099074	32.342929692948516	STAT5A;JUN;EDN1;VCAM1;PRKCB;STAT1;SERPINE1;STAT3;PRKCA;PIK3R1;TNF;FOXO1;TGFBR2;COL4A1;CASP3;IL1B;CCL2;JAK2
KEGG_2016	Cytokine-cytokine receptor interaction Homo sapiens hsa04060	34/265	5.750846396435028e-05	0.006630027151291005	0	0	2.2337307501241925	21.809205351607613	CSF3R;FLT1;FLT4;PDGFA;IL1RAP;TNF;CSF2RA;EGFR;CXCL5;IL22RA2;CXCL16;CCL7;CXCR3;CCL5;PDGFC;CCL4;KDR;CCL3;CCL2;CCR5;CCR4;IL13RA1;CCL22;TNFRSF12A;TNFRSF18;OSMR;PRLR;TGFBR2;CXCL10;BMP2;IL1B;IL2RB;IL7R;TNFRSF21
KEGG_2016	Carbon metabolism Homo sapiens hsa01200	19/113	7.339513451613659e-05	0.006630027151291005	0	0	3.0527004909983635	29.060649117946173	SDS;GOT1;GPT2;IDH1;PGAM2;ENO1;PGD;ENO3;MUT;ACAT2;HK2;GCK;HK1;EHHADH;ME2;ACADM;DLAT;TKT;AGXT
KEGG_2016	Biosynthesis of amino acids Homo sapiens hsa01230	14/74	0.000177581805930184	0.012031167351769966	0	0	3.5161827956989247	30.36603302354959	SDS;GOT1;TAT;GPT2;IDH1;PGAM2;ENO1;ENO3;ASS1;CTH;ASL;TKT;GLUL;OTC
KEGG_2016	Amino sugar and nucleotide sugar metabolism Homo sapiens hsa00520	10/48	0.0006635497425521046	0.035964396046324065	0	0	3.957522423421899	28.96078000445191	UGDH;GALE;GALT;UGP2;HEXB;GNPNAT1;HK2;GCK;HK1;GNE
KEGG_2016	Focal adhesion Homo sapiens hsa04510	25/202	0.0008904823306183493	0.040220118599595435	0	0	2.13404403010118	14.988985989216086	FLT1;LAMA1;FLT4;TNC;PDGFA;PIK3R1;EGFR;PPP1CB;VTN;CCND2;PDGFC;CHAD;KDR;SPP1;FLNB;FYN;JUN;LAMB3;PRKCB;CAV2;PRKCA;PARVA;COL4A1;MYL2;ITGA8
KEGG_2016	Arginine biosynthesis Homo sapiens hsa00220	6/20	0.0010849905001531724	0.04200463222021568	0	0	6.432692307692308	43.910741614192354	GOT1;GPT2;ASL;GLUL;ASS1;OTC
KEGG_2016	Prolactin signaling pathway Homo sapiens hsa04917	12/72	0.0016242774843249544	0.0504587428731947	0	0	3.00901771336554	19.32599455849717	STAT5A;SOCS3;CCND2;GALT;SOCS1;STAT1;IRF1;STAT3;PIK3R1;JAK2;PRLR;GCK
KEGG_2016	Terpenoid backbone biosynthesis Homo sapiens hsa00900	6/22	0.0018748530395882122	0.0504587428731947	0	0	5.628004807692308	35.33950849712412	FDPS;IDI1;FNTB;PMVK;MVD;ACAT2
KEGG_2016	HIF-1 signaling pathway Homo sapiens hsa04066	15/103	0.0018749698495691954	0.0504587428731947	0	0	2.5668611049966983	16.117738506367658	EDN1;FLT1;PRKCB;SERPINE1;CUL2;STAT3;PRKCA;ENO1;PIK3R1;ENO3;HK2;EGFR;HK1;RPS6KB2;TIMP1
