Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	19/100	1.2506899948297814e-05	0.003576973385213175	0	0	3.5451092117758782	40.02155351531866	STAT5A;JUN;EDN1;VCAM1;PRKCB;STAT1;SERPINE1;STAT3;PRKCA;PIK3R1;TNF;FOXO1;AGT;TGFBR2;COL4A1;CASP3;IL1B;CCL2;JAK2
KEGG_2019_Human	Amino sugar and nucleotide sugar metabolism	10/48	0.0006635497425521046	0.058797802871561985	0	0	3.957522423421899	28.96078000445191	UGDH;GALE;GALT;UGP2;HEXB;GNPNAT1;HK2;GCK;HK1;GNE
KEGG_2019_Human	Focal adhesion	25/199	0.0007154558893520705	0.058797802871561985	0	0	2.1711886123659085	15.725030258566616	FLT1;LAMA1;FLT4;TNC;PDGFA;PIK3R1;EGFR;PPP1CB;VTN;CCND2;PDGFC;CHAD;KDR;SPP1;FLNB;FYN;JUN;LAMB3;PRKCB;CAV2;PRKCA;PARVA;COL4A1;MYL2;ITGA8
KEGG_2019_Human	Insulin resistance	16/108	0.0011170273063573124	0.058797802871561985	0	0	2.62049589098827	17.81173151301409	PRKAA2;PRKCB;STAT3;PIK3R1;TNF;ACACB;FOXO1;AGT;PPP1CB;GYS2;SOCS3;RPS6KB2;CD36;SLC27A3;PPARGC1A;PPARGC1B
KEGG_2019_Human	Prolactin signaling pathway	12/70	0.0012621349382793267	0.058797802871561985	0	0	3.1131101116108613	20.779856196241372	STAT5A;SOCS3;CCND2;GALT;SOCS1;STAT1;IRF1;STAT3;PIK3R1;JAK2;PRLR;GCK
KEGG_2019_Human	HIF-1 signaling pathway	15/100	0.001386102508380285	0.058797802871561985	0	0	2.657883492380003	17.492220774356213	EDN1;FLT1;PRKCB;SERPINE1;CUL2;STAT3;PRKCA;ENO1;PIK3R1;ENO3;HK2;EGFR;HK1;RPS6KB2;TIMP1
KEGG_2019_Human	Arginine biosynthesis	6/21	0.0014391070632899787	0.058797802871561985	0	0	6.003525641025642	39.285465567616704	GOT1;GPT2;ASL;GLUL;ASS1;OTC
KEGG_2019_Human	Terpenoid backbone biosynthesis	6/22	0.0018748530395882122	0.06702599616527857	0	0	5.628004807692308	35.33950849712412	FDPS;IDI1;PMVK;FNTB;MVD;ACAT2
KEGG_2019_Human	Neomycin, kanamycin and gentamicin biosynthesis	3/5	0.002234335477779839	0.07100221629389268	0	0	22.47482014388489	137.18206386803385	HK2;GCK;HK1
KEGG_2019_Human	Galactose metabolism	7/31	0.00260309837718317	0.07444861358743866	0	0	4.378976209569633	26.059518895454424	GALE;GALT;UGP2;GALM;HK2;GCK;HK1
KEGG_2019_Human	Cytokine-cytokine receptor interaction	31/294	0.0032371709884525877	0.08416644569976728	0	0	1.7813610488451697	10.21264172705362	CSF3R;IL1RAP;TNF;CSF2RA;CXCL5;CXCL16;CCL7;CXCR3;CCL5;CCL4;CCL3;CCL2;CCR5;CCR4;IL13RA1;GDF10;CCL22;TNFRSF12A;TNFRSF18;BMP8B;IL16;GDF3;OSMR;PRLR;TGFBR2;CXCL10;BMP2;IL1B;IL2RB;IL7R;TNFRSF21
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	14/103	0.004953641407075756	0.09841929935732396	0	0	2.366781442551649	12.562005714500721	C1QB;C1QA;JUN;SERPINE1;PIK3R1;ADCY1;TNF;GNAI1;TGFBR2;IL1B;CCL5;CCL3;CCL2;TLR2
KEGG_2019_Human	Steroid biosynthesis	5/19	0.005333559206447997	0.09841929935732396	0	0	5.356285028022418	28.0333844293093	SQLE;NSDHL;SOAT1;DHCR7;LSS
KEGG_2019_Human	Alanine, aspartate and glutamate metabolism	7/35	0.005349545617892873	0.09841929935732396	0	0	3.752606255012029	19.628921350297283	GOT1;GPT2;ASL;AGXT;GLUL;ASPA;ASS1
KEGG_2019_Human	Peroxisome	12/83	0.005446657221375762	0.09841929935732396	0	0	2.5413349663196567	13.247352009369221	ABCD3;ACSL1;EHHADH;PEX11A;IDH1;PMVK;PIPOX;ACSL4;AGXT;CRAT;NUDT12;PAOX
KEGG_2019_Human	PPAR signaling pathway	11/74	0.006177188784049202	0.09841929935732396	0	0	2.624385447394297	13.349965338102322	FADS2;FABP3;ACSL1;EHHADH;FABP7;DBI;ACSL4;PPARG;CD36;ACADM;PLTP
KEGG_2019_Human	Fluid shear stress and atherosclerosis	17/139	0.006245468649202411	0.09841929935732396	0	0	2.0979365731476207	10.648914351565576	GSTM2;JUN;EDN1;VCAM1;GSTM1;PRKAA2;CAV2;MGST3;PDGFA;PIK3R1;TNF;ASS1;IL1B;GSTA2;KDR;CCL2;NFE2L2
KEGG_2019_Human	JAK-STAT signaling pathway	19/162	0.006280099111505814	0.09841929935732396	0	0	2.0013986013986016	10.147830458976564	STAT5A;CSF3R;STAT1;STAT3;PDGFA;PIK3R1;OSMR;PRLR;CSF2RA;EGFR;IL22RA2;SOCS3;CCND2;SOCS1;IL2RB;AOX1;IL7R;JAK2;IL13RA1
KEGG_2019_Human	Hypertrophic cardiomyopathy (HCM)	12/85	0.0065996899972226965	0.09841929935732396	0	0	2.471444642975316	12.408462690974753	EDN1;SGCD;PRKAA2;ACTC1;TPM4;TPM3;CACNA2D1;MYL2;ITGA8;CACNA1S;TNF;AGT
KEGG_2019_Human	Fatty acid biosynthesis	4/13	0.006961624045524458	0.09841929935732396	0	0	6.6620444444444455	33.09265645235564	ACSL1;FASN;ACSL4;ACACB
KEGG_2019_Human	Type II diabetes mellitus	8/46	0.0072265919108524595	0.09841929935732396	0	0	3.1609360479851314	15.583375949492677	SOCS3;SOCS1;PIK3R1;MAFA;TNF;HK2;GCK;HK1
