,ivl,module,name
2210415F13Rik,932,11,MMT00028707
AI747448,698,11,MMT00021101
D630035O19Rik,746,11,MMT00022995
Eps8l3,834,11,MMT00025626
Slc7a9,22,11,MMT00000713
Ly64,1499,11,MMT00046187
Adh6a,506,11,MMT00015100
Cdh17,907,11,MMT00027815
Gm316,2393,11,MMT00072448
Cyp2c55,1331,11,MMT00041058
2010001C14Rik,1671,11,MMT00050853
1810018L02Rik,1677,11,MMT00050980
Slc15a1,829,11,MMT00025504
,1981,11,MMT00059963
,2347,11,MMT00071318
2210407C18Rik,1606,11,MMT00048831
2010106E10Rik,2307,11,MMT00070149
2210404O07Rik,2018,11,MMT00061056
Myo1a,617,11,MMT00018534
Guca2b,1913,11,MMT00057948
Cldn15,2750,11,MMT00081919
Oit1,268,11,MMT00008438
Cyp2c65,1332,11,MMT00041075
BC026666,170,11,MMT00005626
Mep1b,1029,11,MMT00031302
,2658,11,MMT00078931
Eno1,1125,11,MMT00034400
Eno1,427,11,MMT00012632
Eno1,914,11,MMT00028101
Eno1,1492,11,MMT00046067
Ube2m,109,11,MMT00003672
Pdcd6ip,1934,11,MMT00058519
Tcn2,1704,11,MMT00051699
Mlf2,2684,11,MMT00079592
Mlf2,1670,11,MMT00050838
Ap2m1,2343,11,MMT00071217
,144,11,MMT00004841
,1669,11,MMT00050817
,38,11,MMT00001291
,198,11,MMT00006515
Lgals9,1064,11,MMT00032382
Arf4,1207,11,MMT00036879
,1979,11,MMT00059870
,281,11,MMT00008781
,520,11,MMT00015463
4930415F15Rik,664,11,MMT00020113
Odz3,274,11,MMT00008548
Olfr167,2056,11,MMT00062041
,1470,11,MMT00045517
1700019P21Rik,1580,11,MMT00048091
,2682,11,MMT00079517
Arhgef9,130,11,MMT00004394
Fzd3,642,11,MMT00019201
5830472M02Rik,334,11,MMT00010294
1700030B17Rik,1437,11,MMT00044443
Olfr1450,2175,11,MMT00066050
,1095,11,MMT00033277
Hoxc5,1881,11,MMT00056669
Retn,1967,11,MMT00059368
,127,11,MMT00004276
Fgf8,855,11,MMT00026206
,2011,11,MMT00060865
Enah,2188,11,MMT00066563
D2Ertd435e,771,11,MMT00023871
Dbil5,163,11,MMT00005452
Insm1,949,11,MMT00029165
Mod1,1534,11,MMT00046920
Mx1,881,11,MMT00026973
Aqp8,139,11,MMT00004671
Pgd,1239,11,MMT00038022
Gale,2599,11,MMT00077659
Dlat,291,11,MMT00009011
Slc25a1,1791,11,MMT00054225
,1989,11,MMT00060232
Fasn,598,11,MMT00018029
Acly,724,11,MMT00022101
6330403K07Rik,557,11,MMT00016374
Allc,1341,11,MMT00041316
,2453,11,MMT00074126
Aacs,1674,11,MMT00050881
Oprs1,2730,11,MMT00081203
Khk,383,11,MMT00011470
Acacb,2233,11,MMT00067953
1700007H16Rik,1789,11,MMT00054102
Zdhhc6,1562,11,MMT00047560
Dbi,2267,11,MMT00068995
Acac,1594,11,MMT00048501
Adpn,235,11,MMT00007700
BC036563,426,11,MMT00012566
Insig1,283,11,MMT00008789
Acas2,307,11,MMT00009506
Map17,1932,11,MMT00058422
Acat2,2291,11,MMT00069683
Qdpr,2107,11,MMT00063965
Paox,1197,11,MMT00036605
Qdpr,1237,11,MMT00038017
Echdc1,2033,11,MMT00061424
1810044O22Rik,1940,11,MMT00058679
1810044O22Rik,2521,11,MMT00075896
Dhcr7,1772,11,MMT00053523
Pmvk,999,11,MMT00030469
Pcsk9,2241,11,MMT00068222
Rdh11,194,11,MMT00006408
Lss,1505,11,MMT00046250
Mvd,1808,11,MMT00054501
Cyp51,2355,11,MMT00071535
Sqle,23,11,MMT00000743
Sc4mol,1956,11,MMT00059097
Idi1,876,11,MMT00026786
Nsdhl,833,11,MMT00025608
Idi1,1852,11,MMT00055476
Fdps,447,11,MMT00013152
Fdps,2458,11,MMT00074306
,1699,11,MMT00051604
,1691,11,MMT00051367
Ldh1,1811,11,MMT00054594
,1910,11,MMT00057790
Ldh1,2174,11,MMT00066041
Ldh1,1242,11,MMT00038058
Ldh1,1402,11,MMT00043176
Ldh1,2741,11,MMT00081411
Ldh1,986,11,MMT00030262
Ldh1,1658,11,MMT00050438
,453,11,MMT00013327
,1363,11,MMT00042064
4930443G12Rik,280,11,MMT00008697
2610018I03Rik,827,11,MMT00025357
,1927,11,MMT00058344
Sox14,1399,11,MMT00043035
Gm1382,2271,11,MMT00069128
,2601,11,MMT00077705
Ugt8,1360,11,MMT00041950
AW047325,2169,11,MMT00065972
,1408,11,MMT00043310
Olfr904,2461,11,MMT00074352
,154,11,MMT00005166
2900073G15Rik,2600,11,MMT00077688
,329,11,MMT00010159
4931417E11Rik,2096,11,MMT00063573
D630032B01Rik,39,11,MMT00001298
BB049667,237,11,MMT00007723
,474,11,MMT00013951
4930583C14Rik,2151,11,MMT00065341
Olfr829,1269,11,MMT00038970
Rnf111,1698,11,MMT00051561
4930543E12Rik,2281,11,MMT00069440
Slc34a2,1282,11,MMT00039295
A930021O22,2338,11,MMT00071052
,1428,11,MMT00044007
Trim16,1105,11,MMT00033627
,2105,11,MMT00063927
Zfp609,68,11,MMT00002161
,948,11,MMT00029151
Tmc1,273,11,MMT00008527
1700007I06Rik,2504,11,MMT00075485
Timm17a,1113,11,MMT00034132
,1390,11,MMT00042857
2410004P03Rik,816,11,MMT00025137
Ddit3,1640,11,MMT00049837
,632,11,MMT00018931
2700081O15Rik,63,11,MMT00002050
C030032C09Rik,898,11,MMT00027574
,1393,11,MMT00042937
E130318E12Rik,1248,11,MMT00038227
,2277,11,MMT00069316
Bmf,361,11,MMT00010990
Lgtn,1986,11,MMT00060165
3300002I08Rik,2425,11,MMT00073393
2700017M01Rik,362,11,MMT00011008
,2715,11,MMT00080694
Ttk,337,11,MMT00010417
Top2a,51,11,MMT00001698
Kntc2,599,11,MMT00018081
2810433K01Rik,98,11,MMT00003410
Sgol1,510,11,MMT00015199
AA545217,854,11,MMT00026166
Nek2,1062,11,MMT00032264
Stk6,1848,11,MMT00055454
Kif22,234,11,MMT00007657
6720460F02Rik,770,11,MMT00023864
2310035M22Rik,927,11,MMT00028594
Stmn1,597,11,MMT00017989
,1452,11,MMT00044983
5430413I02Rik,1533,11,MMT00046909
Mki67,423,11,MMT00012512
2310043D08Rik,2544,11,MMT00076421
Melk,837,11,MMT00025658
Knsl7,849,11,MMT00025972
Chtf18,1992,11,MMT00060309
AW209059,2349,11,MMT00071357
Ris2,596,11,MMT00017895
Timeless,1211,11,MMT00037097
Tcf19,394,11,MMT00011856
Pole,1948,11,MMT00058765
Pcna,581,11,MMT00017411
Pcna,835,11,MMT00025627
Rbl1,396,11,MMT00011887
2610039C10Rik,638,11,MMT00019167
Mad2l1,1337,11,MMT00041229
Ect2,1578,11,MMT00047964
Kntc1,753,11,MMT00023318
