,pvalue,FoldChange,log(pvalue),log2FC,sig,size
PAFAH1B2,0.31653072460510234,2.551495239456988,0.49958412805159497,-1.351342949965369,normal,0.2551495239456988
COL1A2,0.3671578693859623,3.4079401918986276,0.43514715901472933,-1.7689000170166902,normal,0.34079401918986274
FAM64A,0.2217618962002211,2.809577282530016,0.6541130735682339,-1.4903530847973447,normal,0.2809577282530016
ECE2,0.1693787773855493,2.2567841195238936,0.7711410062942439,-1.174268419155258,normal,0.22567841195238936
NDUFS8,0.34022546164430323,1.0851976810280308,0.46823318796672014,-0.11795786982333592,normal,0.10851976810280309
CLCC1,0.13233165002911312,1.950696231676374,0.878336272296979,-0.9639891345975151,normal,0.1950696231676374
TTR,0.4233346859715471,2.2162817556404666,0.373316146104555,-1.1481413026983813,normal,0.22162817556404665
MYH11,0.23011844684214974,1.9736005617955332,0.6380485658570381,-0.9808300314212829,normal,0.19736005617955332
CCDC172,0.08483799788394489,1.763896480045037,1.071409589073612,-0.8187658941675146,normal,0.17638964800450369
STX16,0.010517044983654678,1.694980482278151,1.9781062685063713,-0.7612686608054887,down,0.16949804822781508
CDIPT,0.16929216856638268,1.5037281584947801,0.7713631318324263,-0.5885437825484111,normal,0.150372815849478
C2CD4C,0.3711528203144534,1.4545777502138342,0.4304472349837182,-0.5406004135575161,normal,0.1454577750213834
DLG5,0.49778921998411163,1.3929157938033967,0.3029545126131382,-0.47810804506463545,normal,0.13929157938033968
AFG3L2,0.08160221132795428,1.526414980959453,1.0882980721957018,-0.6101472358178613,normal,0.1526414980959453
CRBN,0.3009673837492135,1.6470461288531115,0.5214805669485243,-0.7198809612182966,normal,0.16470461288531116
KIFAP3,0.24542026351749746,1.5800495729723638,0.6100895819084593,-0.6599698226805142,normal,0.15800495729723638
GZMB,0.13194448944041476,1.414261924578601,0.8796087430384337,-0.5000493353499994,normal,0.1414261924578601
EWSR1,0.06682086433364984,1.5197091618967447,1.1750879110249322,-0.6037952507499065,normal,0.15197091618967445
RPS26,0.34668681448326966,1.3585266800627385,0.4600626755228692,-0.4420428988806367,normal,0.13585266800627385
VCAM1,0.07387770023795559,1.448664015726269,1.13148663231018,-0.5347230337828085,normal,0.1448664015726269
RELL2,0.1888996929420958,1.4910126040101548,0.7237687480266143,-0.5762924532391211,normal,0.14910126040101548
NFS1,0.06471102757608167,1.4292093331138043,1.1890217037618025,-0.5152172402456143,normal,0.14292093331138042
DNHD1,0.08690943147844385,1.4336028280442996,1.0609330910221775,-0.5196453884913175,normal,0.14336028280442997
DHX32,0.4284464475043219,1.5837848330642161,0.36810345380335435,-0.6633763497126502,normal,0.15837848330642162
CRTC1,0.24628657074820043,1.4719857245078096,0.6085592682622248,-0.557763680035105,normal,0.14719857245078097
PSMB2,0.34869083729257777,1.5028031189544662,0.457559464627337,-0.5876560153001148,normal,0.1502803118954466
SNRPD2,0.19573380846699376,1.3149979611795695,0.7083341535830562,-0.39506056271270723,normal,0.13149979611795695
TAOK1,0.22091537752548276,1.3983342414073392,0.6557740526119411,-0.4837092468260208,normal,0.1398334241407339
RIMBP2,0.19437931645447792,1.3924396075576293,0.7113499494282032,-0.4776147568173507,normal,0.13924396075576292
TUBA8,0.02691207936190715,1.3362555791290007,1.5700527451751543,-0.4181959714929605,down,0.13362555791290007
KCNK1,0.3681468885142336,1.4331459482006967,0.4339788657205113,-0.5191855377393504,normal,0.14331459482006967
PTPLAD1,0.5121734696923033,1.531512789560365,0.2905829215033691,-0.6149574148364921,normal,0.1531512789560365
BCL11A,0.5377300871353524,1.2511041506041287,0.2694356631485105,-0.3232018944642977,normal,0.12511041506041287
M6PR,0.029341000152817903,1.3079917457285257,1.5325250863534479,-0.387353436528582,down,0.13079917457285256
PNMAL2,0.042694694881698525,1.2997983845482073,1.3696260857885918,-0.378287860045952,down,0.12997983845482072
ERH,0.3049720341446206,1.400256314172984,0.5157399835172198,-0.485690933841788,normal,0.1400256314172984
ACAA2,0.15628470533842515,1.348042825005641,0.8060835217385837,-0.4308663291917873,normal,0.13480428250056412
PCMT1,0.3237171084183216,1.2358718212965663,0.4898343475689194,-0.30552912158442974,normal,0.12358718212965662
USP34,0.18713128145176494,1.3368856174741997,0.7278536084041145,-0.41887603524280986,normal,0.13368856174741997
FABP7,0.3986739948458313,1.2116770250347513,0.39938209206094116,-0.2770051967681901,normal,0.12116770250347512
PDAP1,0.12037088299537663,1.3134243341093226,0.9194785536407557,-0.3933330897371719,normal,0.13134243341093227
PDK3,0.1367113990880681,1.2526632179596966,0.8641952721574856,-0.3249985941587185,normal,0.12526632179596967
RAD51,0.6160618148759454,1.2110472230414049,0.2103757090812929,-0.2762551219433465,normal,0.12110472230414049
ATAD5,0.06725600883677094,1.290081850294228,1.1722689085289124,-0.36746260151480753,normal,0.1290081850294228
TSC2,0.11159515991019427,1.289932466494524,0.9523546411500372,-0.36729553634322265,normal,0.1289932466494524
FAM126B,0.28667779259310755,1.3391958692052217,0.542605948238787,-0.4213669829662971,normal,0.13391958692052217
ALDH1B1,0.27248869300570233,1.3332046006641045,0.5646515141840787,-0.4148982010665265,normal,0.13332046006641046
SH3KBP1,0.04281293463930007,1.2706943116395277,1.3684250021593187,-0.3456170058546652,down,0.12706943116395278
RAB6A,0.17186804942341935,1.295627051357887,0.7648048519272899,-0.3736504955461769,normal,0.12956270513578869
GPHN,0.013985618942859643,1.2602132302271345,1.854318308876263,-0.33366786083975414,down,0.12602132302271346
LAP3,0.18404871966005706,1.2878058722798305,0.735067199388226,-0.36491513366432776,normal,0.12878058722798305
ACSL3,0.030157999031458216,1.261173645436805,1.5205974770736397,-0.33476692765934557,down,0.1261173645436805
DDT,0.6172008576558392,1.5651433886573534,0.20957347911741245,-0.6462948339174489,normal,0.15651433886573535
GALNT16,0.40987332050841774,1.3520851421242976,0.3873503498783477,-0.4351860023988853,normal,0.13520851421242977
SNRPG,0.4485306687974351,1.3757885136351409,0.3482078562227398,-0.4602587158398703,normal,0.13757885136351408
GM2A,0.04805550626270621,1.2616737506846127,1.3182568431150492,-0.3353388999248853,down,0.12616737506846126
AK4,0.03793926805520934,1.2300963149097204,1.420911052009559,-0.29877128109504836,down,0.12300963149097204
HSPA4L,0.2519707510878557,1.2873433002850052,0.5986498694501322,-0.3643968333365052,normal,0.12873433002850052
VTI1A,0.3031725460795518,1.3004365307075207,0.5183101289832264,-0.3789959886173253,normal,0.13004365307075208
ENPP6,0.3474123455166245,1.3286679200800084,0.4591547526866133,-0.4099805704385238,normal,0.13286679200800083
