genename,lab1,lab2,non1,non2
Pafah1b2,17821,6621.523147,4413.130565,5166.555405
Col1a2,11471,46160.62914,5384.415414,11526.57067
Pimreg,3619.8,7809.348163,1885.105701,2182.818764
Ece2,4368,7241.798139,2039.646059,3104.753018
H1-7,13524,7854.745794,8524.998645,4029.384259
Ndufs8,16105,21422.90284,8636.147823,10239.84729
Clcc1,7221.9,10670.51391,4202.559555,4969.762418
Ttr,7905.3,25057.89907,4512.422094,10360.77667
Myh11,12321,20784.15021,6150.471708,10623.51532
Ccdc172,14790,19390.36332,9538.111027,9839.649351
Stx16,1290.7,1304.919045,711.1332249,820.2230779
Cdipt,11880,9956.098565,8702.342176,5818.965047
C2cd4c,8056.9,4681.531076,4803.260272,3954.216646
Dlg5,7323.8,6395.968604,7234.729989,2614.94554
Afg3l2,30196,24549.76418,17385.13878,18480.44487
Crbn,3832.9,6399.632273,2423.13027,3789.526494
Kifap3,17288,17204.90546,7022.074116,14808.19378
Gzmb,15360,12824.43235,11050.41743,8878.304299
Ewsr1,10483,11279.6386,6228.263103,8092.002347
Rps26,13294,8691.655092,8688.269361,7495.185419
Vcam1,21369,25516.65407,15914.00838,16450.74532
Rell2,4410.5,5946.611709,3065.397914,3880.963023
Nfs1,4695.6,5516.051025,3568.761661,3576.203592
Dnhd1,14737,17625.43088,10737.03669,11837.15907
Dhx32,16527,31647.72352,10301.43094,20116.03645
Crtc1,16846,23866.41038,11860.77703,15797.37868
Psmb2,25970,42028.64833,17791.68677,27456.18867
Snrpd2,62952,49038.9982,43431.57402,41732.81518
Taok1,13122,17591.97999,9886.543504,12078.14783
Rimbp2,10942,12186.47618,6728.629861,9881.409136
Tuba8,9992.8,10868.82987,7842.33681,7769.669006
Kcnk1,5975.2,9500.051492,4394.757724,6403.341039
Hacd3,9517,21056.536,6550.2439,13412.72096
Bcl11a,13559,7889.630289,7873.088517,9270.672279
M6pr,12735,12069.0795,9093.38401,9870.099194
Pnmal2,7899.3,7248.488316,5644.632189,6009.320067
Erh,12195,17411.98237,8905.746475,12238.227
Acaa2,13286,16577.30313,10529.07176,11624.01017
Pcmt1,17259,14939.00619,15089.18506,10963.68356
H2bu1,4678,2224.483888,2616.110262,3089.615096
Usp34,16559,20924.32535,13038.20256,14999.59279
Fabp7,12073,9313.363693,9909.867892,7740.350157
Pdap1,14453,16196.6002,10574.5478,12761.09431
Pdk3,4280.1,3627.668891,3108.65879,3204.106507
recA,13639,16386.15521,16628.07345,8164.646973
Atad5,4273.2,4728.680895,3331.869274,3645.890233
Tsc2,4204.6,4946.430231,3486.930847,3607.262432
Fam126b,14133,18762.76099,10544.70822,14019.10784
Aldh1b1,17685,22909.07789,13074.68764,17373.81057
Wars1,17717,22026.61168,13763.99497,16500.33506
Sh3kbp1,9577.4,10491.63131,7897.325032,7896.427353
Vmn2r35,5848.6,7094.773532,5061.131578,5023.87614
Rab6a,32814,40603.00344,27382.04963,29283.17927
Gphn,53103,55729.1753,42898.6313,43461.49628
Lap3,27838,34659.89611,23485.96472,25044.56108
Acsl3,14636,15453.51267,11555.73574,12302.60667
Ddt,15923,46767.52378,8399.38574,31654.78706
Galnt16,12576,19705.75738,9982.577436,13892.95849
Snrpg,9540.7,13265.0283,5525.795084,11050.68312
Gm2a,4846.8,5204.00205,3827.154182,4139.090694
Ak4,33098,30704.72712,25931.76786,25936.30649
Hspa4l,271130,276798.1133,174555.0285,251072.0076
Vti1a,34888,48454.40415,30287.82534,33800.19601
Enpp6,5163.8,6910.634372,3683.298739,5404.325181
Rps18,8157.1,10055.1769,7071.980488,7300.567421
Bicd2,10723,10568.09048,8313.776115,8877.434304
Acot9,14565,13874.63087,11102.01775,11972.00837
Ppt1,23952,20276.01533,13848.69247,21331.4202
Nucb1,13569,19229.48049,11463.87153,13738.96928
Kars1,17677,20522.91473,14062.39077,16159.29682
Aqp4,8814.7,9955.461405,7019.858951,7912.783269
Rab7a,26299,28778.91186,17768.23207,25281.19987
Olfml1,8090.9,8983.633536,6581.516822,7102.121442
Hint2,10712,12133.9105,9288.318559,9170.622794
Ppm1b,17190,14490.12716,14045.45127,12674.09476
Rpl10,16903,15251.05517,12668.53056,13808.56892
Eif1,6899.7,8947.634011,5918.921779,6587.954089
Pcca,104910,106316.4716,78961.52297,92297.8249
Calb2,10029,7725.56166,8418.279797,6961.443166
Me1,68270,51034.90103,52255.75029,50023.00251
Cldn11,81801,85242.41374,55671.01402,77471.36122
Exoc1,18069,20060.97393,14354.27138,16402.02557
Lman2,10497,16094.65464,8369.285552,11930.24859
Ppif,37099,34796.88545,28191.2365,31308.52884
Myo9a,9461,7849.648516,7734.18462,7084.634532
Msn,10482,11702.39408,8581.941425,9460.331303
Fam205c,7271.1,8394.89795,6194.123496,6567.596193
Ndor1,6475.8,6498.39203,5310.272527,5479.492794
Rpf2,3753.7,3489.564521,3194.007807,2953.373798
Azi2,30851,32012.49746,26267.95177,26151.19539
Dcdc2c,3399.3,6211.829444,3092.240506,4196.597398
Gmcl1,16657,16924.55518,14123.63358,13986.918
Apba2,17676,19382.39882,14677.42491,15828.69852
Dgkb,39465,36123.77058,33104.99443,31324.18876
Hyou1,22929,26149.03509,19148.14978,21058.2416
Picalm,13792,13910.94898,10588.88122,12347.84644
Ncln,2695.6,2575.877476,2151.967972,2285.130237
Grcc10,10311,11192.02914,8882.812999,9044.473444
Znf598,22488,23686.41276,17997.56684,20274.37564
Alg2,18762,20210.70646,14861.15333,17271.1511
Chid1,10048,12175.96305,8258.527286,9793.539588
Rps12,55855,54808.4795,47167.3852,46653.50985
Pfdn6,12027,12165.44991,10513.5656,10027.56838
Edrf1,5458.6,7030.57969,4429.809457,5615.560094
Tom1,6038.3,6260.412873,5210.199175,5187.348298
Dusp19,18563,18796.21187,15928.34181,15782.58876
Gcsh,57591,50064.82535,47422.78074,45794.82427
Glis1,7093.1,7698.482371,5699.229499,6572.468168
Cpne7,39855,38126.04501,33115.41874,33450.45781
Kcnma1,6389.6,8572.665513,5129.410792,6841.992781
Ehd1,15733,17915.33855,14024.60266,14173.96704
Cblb,13008,21319.36438,10727.65481,15875.67828
Clic4,3524.1,3814.675271,2927.015232,3219.157429
Acadl,26334,28813.95564,21850.65149,24268.52508
Crym,140480,133945.3102,120602.7222,115961.7031
Epm2aip1,12093,11476.52096,9521.301831,10533.03578
Kif5b,4781.5,5165.294597,4207.902012,4213.997309
Lynx1,28122,29417.66448,23373.90341,25202.03027
Cyb5r3,32224,27079.28829,26503.80173,25428.22911
Stx7,31212,43256.7737,25662.0389,34008.99494
Lamc1,20240,30104.20408,18315.50822,22068.3064
Slc4a8,15936,20033.89464,12832.19219,16436.82539
Ahnak,16380,13755.00413,12646.90012,13501.4605
Homer3,17844,19267.71007,14566.66664,16556.88477
Rpl22,2111,1963.885561,1891.881501,1673.349386
Prep,7099.6,7870.993367,5404.482205,6967.098137
Calu,14532,16212.52919,11907.68642,13756.36919
Ap1s2,15376,16534.29485,12715.17933,14167.87707
Atp6v1f,71418,69058.55674,60609.52968,60524.71845
Xpnpep1,20936,21489.80461,17137.56147,18857.15293
Dpysl5,56536,49768.54608,47798.05581,45373.74644
Crk,25198,31727.36848,21505.3463,25375.15938
Gabra2,6884.7,7618.200246,5977.428204,6286.58764
Erp29,20829,23520.75123,18720.75317,18857.15293
Dpp3,5800.3,5801.817161,5133.971427,4894.942803
Ogdh,132970,137941.8946,112123.8511,118693.489
Snx3,35465,36751.37291,31017.52686,30926.60081
Fbxo41,9010.4,10867.07768,7774.709115,8776.514823
Ube2o,23198,23801.10151,18924.02716,21032.14174
Vim,251150,238552.6009,192106.9562,225842.1375
Hnrnpf,14933,16187.0428,12729.90367,13691.11953
Rftn2,9040,11516.9806,7828.003387,9161.052844
Bcam,12820,17576.051,11751.58241,13253.51178
Tdrd5,10351,10910.56383,8642.011496,9452.501343
Mrps5,12229,12739.8494,10261.68827,11055.90309
Stx6,6962,7516.89185,5716.038695,6526.793403
Cask,17740,17967.90423,14617.48514,15946.14792
Ktn1,24538,19686.64259,19054.33101,19968.13721
Rab3c,36594,40878.57502,36298.74163,30938.78074
Dynll2,40564,37127.29715,33712.21034,34156.89418
Ppm1a,38670,40125.13365,33107.60051,34557.09212
Tbce,35315,32232.31756,29414.78959,29669.45728
Pdia6,120010,132683.7339,105543.507,110037.0336
Timm9,62113,56786.86045,53236.93823,51266.22611
Iqgap2,30651,34156.53993,26583.28707,28534.98312
Cryl1,3569.6,3815.15314,3361.708854,3055.511272
Eps15l1,42084,41243.34897,37023.231,35702.00622
Hspa2,134580,119266.743,114401.5623,109793.4348
Psmc1,18117,17490.03444,16347.92018,14951.74304
Ctnnd1,5241.6,4231.21844,4053.23135,4317.526776
Macf1,127570,167987.1614,113799.5585,131273.6243
Actn4,6990.8,7271.107486,5844.518284,6383.76614
Snd1,38266,40845.12414,32216.32222,35402.72777
Timm10,57356,54279.63693,51489.56369,47058.92777
Psmd6,26675,29784.03132,22366.65471,25550.02848
Arpc2,25498,44790.73573,17980.62734,35835.98554
Tacc1,13051,12025.43406,10949.95317,11082.87295
Ppp1cc,67187,67513.44441,57784.54236,59269.31491
Suclg2,19774,22856.51222,15937.46308,19847.20784
Prune1,23171,23745.35003,17854.23261,22103.97622
Vwde,22054,26483.54395,20904.64558,20606.71393
Wdr45,10550,11407.70771,9140.814609,9730.029915
Mapre2,107890,115908.9113,96695.87605,96961.0009
Srsf3,56799,57301.36692,48542.09075,50559.78974
D2hgdh,10322,9166.498377,9147.460105,8286.185347
Rpl19,10398,11311.49659,9562.868757,9293.292163
Cpt1c,1706.6,2903.855444,1580.715923,2107.82515
Nagk,18606,16991.45695,15355.0049,15982.68773
Hspg2,15849,21263.61291,14567.96968,16449.87532
Asah1,21076,20527.69342,18263.38668,18255.11603
Coro1b,69301,70715.17202,66259.50433,57703.32297
Srsf7,30584,34921.1316,25377.97652,30141.86485
Cyb5b,40989,39860.71236,39724.42967,32697.04169
Ablim1,24895,26720.88595,21565.28607,23007.03157
Vps51,13151,16942.07707,12389.55003,13096.04259
Pebp1,141660,132013.1233,115781.48,124435.4595
Rnf141,8571.4,11074.15459,6795.606037,9412.481549
Pmpcb,7427.6,8449.056527,6672.859816,6990.849015
Actn2,21992,21978.8247,19347.51466,19260.83086
Ppm1f,28033,31668.43121,23746.57241,27227.37985
Mgst3,12230,11567.31622,11058.62657,10143.27779
Rbx1,26524,27181.23385,22229.83567,24366.83457
Khdrbs3,11810,12204.63523,10050.85665,10805.34438
Vat1,16090,15791.04803,13826.54081,14165.26708
Fam162a,21341,24044.8151,20031.60983,19424.39001
Rac3,63920,65084.27296,56742.11161,56434.8695
Nptxr,107040,111402.5991,93513.85619,97048.00045
Cnn3,13922,18386.83675,13046.02079,14242.69669
Tmem43,14252,11565.08616,10572.59324,12340.01648
Kctd12,30233,29885.97688,22509.98893,29190.08974
Dnaja2,13406,14522.7816,11877.45593,12431.36601
Vta1,28292,29400.14259,24957.09511,25602.22821
Impdh2,12548,12652.39923,11182.67583,11065.47304
Wdr7,27344,27770.60659,20641.43182,26725.39243
Srrm2,4869.7,4242.528026,4326.348206,3928.11678
Psma6,50566,54048.66653,42751.38795,47975.03305
Synpr,85676,84431.62799,77749.69723,73676.44075
Ppia,753900,679212.2663,646932.5213,637184.7201
E330021D16Rik,6505.3,8352.048959,6171.320323,6521.57343
