Protein IDs,lab2,lab3,non2,non3
F6ZLC6,3.199027778,0,0,1.053359161
A0A1L1SQV7,61.87847222,22.99139982,15.32337002,17.93942849
Q01149,39.82986111,160.2799623,18.69588686,40.02281482
Q5RIU1,12.56875,27.11579224,6.545505907,7.57923182
Q3V0W6,4.738888889,0,0,1.978242942
F6WM66,15.16666667,25.14513243,7.082104372,10.78039242
Q8CJI4,46.95833333,27.2734229,29.60068974,13.99091756
Q8K3J1,55.92013889,74.3850793,29.98662438,35.55502532
Q925N0,15.31006944,13.79517174,0,13.16865096
Q99LI2,25.07604167,37.05039551,14.59222067,17.25611951
P07309,27.44895833,87.00659398,15.66813228,35.97491898
A0A2R8VHF9,42.78125,72.16718825,21.35580454,36.88720596
Q810N9,51.35416667,67.3276504,33.11844106,34.16544913
B7ZCB8,4.481597222,4.530968906,2.469212587,2.847996798
Q9QZE5,8.169097222,8.185732572,0,8.456779386
A0A0U1RP13,41.25,34.56978669,30.21646589,20.20473974
Q5HZI2,27.97534722,16.25531623,16.67798706,13.72991891
E9Q9I2,25.42986111,22.20822432,25.12059024,9.07967201
Q8JZQ2,104.8472222,85.24223676,60.36506519,64.16821136
Q8C7D2,13.30868056,22.22094539,8.413646771,13.15807811
O35954,50.14930556,54.64529583,0,58.57667764
P70188,60.02777778,59.73925507,24.3822018,51.41733949
P04187,53.33333333,44.52927901,38.36950498,30.82744549
Q5SUT0,36.39930556,39.16541182,21.62591355,28.09723037
P62855,46.15972222,30.17935797,30.16760195,26.02494937
A0A0G2JFP9,74.19791667,88.59949329,55.25697356,57.12064347
E9Q812,15.31423611,20.64795732,10.64374276,13.47556605
Q9Z1J3,16.30416667,19.15295494,12.39153354,12.41737358
D3Z2X2,51.17013889,61.19941278,37.28137739,41.10124677
D3Z4E3,57.38541667,109.8879289,35.76885743,69.84734879
Q68ED7,58.49305556,82.8694805,41.1832536,54.85200932
Q9R1P3,90.17361111,145.9328067,61.77669016,95.33398843
P62317,218.5833333,170.2742992,150.8040765,144.9056083
Q5F2E8,45.5625,61.08326386,34.32827606,41.93801329
A0A0G2JGW5,37.99305556,42.31415341,23.36329813,34.31044839
Q9JJZ2,34.69722222,37.73899261,27.23033614,26.97801738
A0A1D5RMH2,20.74722222,32.9862899,15.25957543,22.23382305
Q8K2C9,33.04513889,73.11297222,22.74390243,46.57194777
Q9QYE3,47.07986111,27.39454962,27.33711291,32.1898343
P24668,44.21875,41.90652604,31.57425003,34.27117776
G3X9N3,27.428125,25.16836221,19.59941732,20.86569468
A0A1W2P7H9,42.34375,60.45827212,30.92273082,42.49384376
Q8BWT1,46.13194444,57.56008033,36.55927692,40.36114641
F6V9F1,59.92708333,51.87154927,52.39300366,38.06834571
Q8CGP0,16.24305556,7.723902389,9.083716189,10.7278302
Z4YLQ1,57.49652778,72.65390748,45.27153668,52.08191941
P51880,41.92013889,32.33806838,34.40926351,26.87621582
Q3UHX2,50.18402778,56.23819514,36.71717985,44.30935526
Q922H2,14.86145833,12.59607254,10.79395413,11.12536981
A0A087,47.35763889,56.89637228,57.73636613,28.34946866
Z4YKQ9,14.8375,16.41903089,11.56899053,12.65934109
A0A2I3BRT5,14.59930556,17.17510498,12.10739878,12.52521678
Q8C729,49.07291667,65.14847566,36.61357019,48.67745777
Q9CZS1,61.40625,79.54540936,45.39822097,60.32573114
P32921,61.51736111,76.48129055,47.7916492,57.29283009
B1AZ85,33.25486111,36.4292754,27.42126747,27.41815053
E9Q7U8,20.30763889,24.63463032,17.57337353,17.44401437
D3YV69,113.9375,140.9826508,95.07656123,101.6777058
Q8BUV3,184.3854167,193.504081,148.9535809,150.9079732
Q9CPY7,96.65972222,120.3468615,81.5484886,86.96028154
E9PUC2,50.81944444,53.6580301,40.12408242,42.71738428
O35215,55.28819444,162.3872353,29.16453381,109.9124551
A0A1W2P6P9,43.66666667,68.42276868,34.6617272,48.23943919
P62309,33.12743056,46.05912606,19.18678849,38.37042749
Q60648,16.82916667,18.06945156,13.2887298,14.37184268
A2ARF6,114.9236111,106.6136359,90.04086061,90.05661978
P48722,941.4236111,961.1045602,606.093849,871.7778041
A0A286YDF2,121.1388889,168.2444589,105.1660602,117.3617918
A0A1B0GS66,17.92986111,23.99525824,12.78923173,18.76501799
S4R1N6,28.32326389,34.91380869,24.55548781,25.34919243
A0A1Y7VIQ5,37.23263889,36.69475861,28.86727817,30.82442467
Q9R0X4,50.57291667,48.17580163,38.54867276,41.56947352
O88531,83.16666667,70.40283102,48.08573774,74.06743124
A0A1C7CYU3,47.11458333,66.76902947,39.80510947,47.70475444
Q99MN1,61.37847222,71.26012058,48.82774573,56.10866952
P55088,30.60659722,34.56757433,24.37451025,27.47494191
P51150,91.31597222,99.92677728,61.69525026,87.78194402
Q8BSH2,28.09340278,31.193172,22.85248896,24.6601439
Q9D0S9,37.19444444,42.1316337,32.2511061,31.84244026
P36993,59.6875,50.31294155,48.76892802,44.00727347
I7HLV2,58.69097222,52.95505265,43.98795333,47.94641986
J3QN87,23.95729167,31.06817366,20.55181173,22.87484059
Q91ZA3,364.2708333,369.1544154,274.1719547,320.4785587
Q08331,34.82291667,26.82486688,29.23013819,24.17167766
P06801,237.0486111,177.2045175,181.4435774,173.6909809
Q60771,284.03125,295.9806033,193.302132,268.997782
Q5PPR2,62.73958333,69.65615947,49.84122007,56.95147768
Q9DBH5,36.44791667,55.8842175,29.06001928,41.42447427
Q99KR7,128.8159722,120.8225189,97.88623786,108.7101696
Q8C170,32.85069444,27.25572402,26.85480771,24.59942546
P26041,36.39583333,40.63331278,29.79840773,32.84837258
Q80YD3,25.246875,29.14895122,21.50737326,22.80415345
E0CXI9,22.48541667,22.56386122,18.43844627,19.02601665
S4R2H5,13.03368056,12.11654348,11.09030489,10.25477013
Q9QYP6,107.1215278,111.1545051,91.20816589,90.80276178
K3W4L8,11.803125,21.56885224,10.7369462,14.57151874
Q920G9,57.83680556,58.7658166,49.04039437,48.56568751
P98084,61.375,67.2999959,50.96328094,54.96075876
Q6NS52,137.03125,125.429759,114.9478973,108.7645443
Q9JKR6,79.61458333,90.79526074,66.48663117,73.11889446
A0A1L1SUR7,47.88888889,48.30190617,36.76694867,42.87446681
D3YU17,9.359722222,8.944019016,7.472111015,7.934479991
O35127,35.80208333,38.8612123,30.84310069,31.40442168
Q80YR4,78.08333333,82.24448874,62.49155152,70.39713764
Q9DBE8,65.14583333,70.17606411,51.60122684,59.96927465
A0A1B0GSH5,34.88888889,42.27764946,28.67544196,34.0053458
Q6ZWZ6,193.9409722,190.3072205,163.7756431,161.9913537
G3UYF9,41.76041667,42.24114553,36.5054361,34.81794577
D3YZE7,18.95347222,24.41173503,15.38128284,19.49847255
A0A1D5RL90,20.96631944,21.7375447,18.09096936,18.01162604
Q8K4T5,64.45486111,65.26462456,55.30674238,54.80065541
Q91WK5,199.96875,173.8361991,164.6624332,159.0098065
B1ASP5,24.62881944,26.73084157,19.78899132,22.82107003
B9EI21,8.992361111,0,4.185106079,5.032682428
Q0VE82,138.3854167,132.3821008,114.9840929,116.1474229
E9Q9P4,22.18611111,29.76619971,17.81045414,23.75691937
Q9WVK4,54.62847222,62.20603664,48.696537,49.21516333
B9EKI5,45.16666667,74.02557077,37.24880143,55.12388292
Q9QYB1,12.23645833,13.24540025,10.16324734,11.17762997
A0A0R4J083,91.4375,100.0484571,75.87031765,84.26571208
O54983,487.7777778,465.0878825,418.759452,402.6448024
Q8VEH5,41.98958333,39.84903111,33.06007581,36.5730409
Q61768,16.60243056,17.93505068,14.61077087,14.6319351
P0DP60,97.64583333,102.1446683,81.15938685,87.50704953
Q9DCN2,111.8888889,94.02530657,92.02708934,88.29246217
Q8BH40,108.375,150.1971309,89.10430174,118.086788
F8VQJ3,70.27777778,104.5284864,63.59551465,76.6260639
Q8JZR6,55.33333333,69.56213416,44.55622287,57.07231039
E9Q616,56.875,47.76043101,43.91284764,46.88007119
J3QQ00,61.95833333,66.90177107,50.57870362,57.48918324
P67984,7.329861111,6.819047087,6.569032989,5.810240925
Q9QUR6,24.65138889,27.32983809,18.76556321,24.19131298
G3V004,50.45833333,56.29350414,41.3461334,47.7651708
Q9DB50,53.38888889,57.41074602,44.14992825,49.19401761
Q9D1K2,247.9791667,239.7866553,210.4497558,210.1552724
A0A494BBG8,72.69444444,74.61737711,59.50542179,65.47622547
Q9EQF6,196.3055556,172.8074517,165.9654716,157.5477307
Q64010,87.49305556,110.1644739,74.67134133,88.10819234
P26048,23.90520833,26.45208419,20.75495904,21.82842931
P57759,72.32291667,81.6692751,65.00261518,65.47622547
Q99KK7,20.13993056,20.14519848,17.82628968,16.99632918
Q60597,461.7013889,478.9649117,389.3189274,412.1301703
D3Z6Z0,123.1423611,127.6089337,107.6997461,107.3840306
Q6NS60,31.28611111,37.73290861,26.99551776,30.4740098
Q6ZPJ3,80.54861111,82.64271357,65.70842765,73.02826992
P20152,872.0486111,828.3076419,667.0380423,784.1740885
Q9Z2X1,51.85069444,56.20500972,44.20105441,47.53860946
Q8CHX7,31.38888889,39.98951597,27.18056732,31.80921126
D3YTK7,44.51388889,61.02795486,40.8041056,46.01913812
Q5VCS6,35.94097222,37.8839022,30.00698436,32.82118522
B2FDG7,42.46180556,44.2355882,35.63086204,38.3885524
A0A0A6YW23,24.17361111,26.10031893,19.84735658,22.66247709
O70589,61.59722222,62.38855636,50.75515675,55.36856916
Q61595,85.20138889,68.35639787,66.16087156,69.33380977
P62823,127.0625,141.9394966,126.0372973,107.4263221
D6RIN4,140.8472222,128.9142262,117.0562859,118.600327
Q9EQE2,134.2708333,139.3233807,114.9569462,119.9899032
Q8CIV8,122.6215278,111.9177693,102.1346861,103.0189488
Q922R8,416.7013889,460.7074094,366.4705105,382.0730333
Q9WV98,215.6701389,197.1765987,184.8504799,178.0077296
Q3UQ44,106.4270833,118.599097,92.30308013,99.07980252
Q99KP3,12.39444444,13.24705951,11.67260019,10.60941414
A0A1D5RLS1,146.125,143.2060728,128.5528854,123.9652994
P17156,467.2916667,414.1206356,397.2276468,381.2272043
P62192,62.90625,60.72928624,56.76361174,51.91577443
D3Z2H7,18.2,14.6917307,14.07371996,14.99141241
E9QA63,442.9513889,583.2887548,395.137356,455.8111954
E9Q2W9,24.27361111,25.246901,20.29346626,22.16585465
Q3TJ56,132.8680556,141.8233477,111.8622299,122.9261381
P62073,199.1527778,188.4709615,178.7832072,163.3990547
Q99JI4,92.62152778,103.4167754,77.6619955,88.71537665
Q9CVB6,88.53472222,155.523388,62.43273381,124.4305054
Q6Y685,45.31597222,41.75497937,38.02067072,38.48219775
A0A0G2JFF1,233.2881944,234.421682,200.6407721,205.7962323
Q9Z2I8,68.65972222,79.36288965,55.33841346,68.91391611
Q8BIW1,80.45486111,82.44913207,61.99386324,76.74991743
Q6DFV8,76.57638889,91.95674983,72.58557494,71.55109003
A0A140LHK6,36.63194444,39.61009621,31.73893961,33.78482609
Q8R001,374.6180556,402.4614975,335.7495697,336.670142
P84104,197.21875,198.9630796,168.5489262,175.5548255
E9QN44,35.84027778,31.82811936,31.76201425,28.7714769
A2A547,36.10416667,39.27602982,33.20440541,32.26837557
Q8BGD5,5.925694444,10.0828314,5.488596956,7.318837327
D3YXG2,64.60416667,58.99811442,53.31598923,55.4954435
Q05793,55.03125,73.83198925,50.58322806,57.11762266
Q9WV54,73.18055556,71.27671328,63.41453709,63.38581956
Q9WUM3,240.6284722,245.5387917,230.0677234,200.3587603
A0A3Q4EH04,106.1944444,121.2539292,88.11797404,104.6592529
Q9CQX2,142.3229167,138.4052513,137.9320475,113.5313948
Q8K4G5,86.44097222,92.78085399,74.87946552,79.8855263
Q3UVL4,45.66319444,58.82665652,43.01927093,45.4723701
P70296,491.875,458.3789004,402.0190278,432.0675676
H3BJE9,29.76180556,38.45192566,23.59585429,32.6822276
Q9CXT8,25.79027778,29.33700183,23.16965214,24.2737813
Q9JI91,76.36111111,76.31536353,67.17887034,66.87788492
Q8CGA0,97.33680556,109.9598306,82.45337641,94.53951339
Q9CPU4,42.46527778,40.16429242,38.39800895,35.21971454
A0A2R8W6G1,92.09722222,94.37928419,77.18692941,84.60706449
A0A2R8VHM1,41.00694444,42.37720566,34.89880782,37.51855687
Q62465,55.86805556,54.83002789,48.00882227,49.18495515
A0A338P6X2,74.10069444,83.48894133,69.55420081,67.44579866
P60764,221.9444444,225.9870589,197.0212209,195.954408
F7BX42,371.6666667,386.8145804,324.7008896,336.9722238
A0A0G2JFI6,48.34027778,63.84318316,45.29868331,49.45380794
Q9DBS1,49.48611111,40.15654916,36.7103932,42.84727945
A0A0R4J2B2,104.9756944,103.770753,78.1596838,101.3544783
Q9QYJ0,46.54861111,50.426325,41.24116641,43.16446531
Q9CR26,98.23611111,102.0838284,86.65658024,88.89662578
A0A0A6YY72,43.56944444,43.93194177,38.82873553,38.42178139
Q920I9,94.94444444,96.42571733,71.67163826,92.79650146
Q8BTI8,16.90868056,14.73100009,15.02204238,13.63929438
E0CXB1,175.5763889,187.668981,148.4423193,166.5799758
Q8BGN8,297.4861111,293.165375,269.9642266,255.8209748
P17742,2617.708333,2358.375926,2246.293477,2212.446945
A0A0N4SUX2,22.58784722,29.00017,21.42819557,22.64435219
P23242,116.0381944,111.2817158,101.8722686,100.4119832
Q920P5,105.1875,102.7420056,92.85958612,91.7452569
F6RJV6,249.9201389,274.515179,218.3132309,236.919718
D6REG4,51.75,63.48920554,45.30773218,52.81899895
P63028,151.4930556,175.8715705,131.9552635,149.3975643
P53657,63.43402778,72.74240189,55.25697356,62.08384709
Q9CZY3,189.5347222,188.4930851,172.3720771,164.2328005
A0A140LJB1,50.62847222,63.13522792,43.56899027,52.8099365
Q5NCM6,34.72013889,29.02837759,27.68368493,29.55779577
O88952,44.83680556,47.80523131,41.76328667,40.05000218
Q9CXD6,65.01041667,75.10962725,55.05789824,65.05331098
F6VG18,9.180902778,10.88038724,7.835875912,9.306837506
P14206,52.23611111,58.01914505,45.63349179,50.03984659
Q8BUK6,47.20486111,47.49771325,41.25247751,42.40019841
Q00PI9,9.343055556,8.463383771,8.31139445,7.762897541
Q8K396,31.99166667,30.26453383,27.83615853,27.74741967
A0A0N4SVT3,126.4722222,154.4172079,102.8585963,134.3387876
P56942,23.48472222,24.26848472,21.0770991,21.1272975
A0A0N4SVB8,157.2256944,155.799933,146.1031843,134.399204
G3UYQ2,17.54097222,21.12914565,14.7718409,18.17505228
Q91ZP9,96.48263889,87.70348743,86.13174531,80.42021104
E9PXA7,81.64930556,70.96145196,53.32956254,79.27834192
