Gene name	Human gene name
	
ND1	MT-ND1
ND2	MT-ND2
COX1	MT-CO1
COX2	MT-CO2
ATP8	MT-ATP8
ATP6	MT-ATP6
COX3	MT-CO3
ND3	MT-ND3
ND4L	MT-ND4L
ND4	MT-ND4
ND5	MT-ND5
ND6	MT-ND6
CYTB	MT-CYB
	SAA1
	SAA2
Epha7	EPHA7
Tnfsf15	TNFSF15
Rnf32	RNF32
Nectin3	NECTIN3
Mospd1	MOSPD1
Hhla1	HHLA1
Palmd	PALMD
Tmem47	TMEM47
Snrpn	SNRPN
Hmgcs1	HMGCS1
Rmi2	RMI2
Trim15	TRIM15
Slc26a5	SLC26A5
Eddm13	EDDM13
Gtpbp8	GTPBP8
Vstm2b	VSTM2B
Slitrk2	SLITRK2
Pabir3	PABIR3
Serpinb2	SERPINB2
Ces2h	
Lratd1	LRATD1
Zfp438	ZNF438
Dach1	DACH1
Pdss1	PDSS1
Zc3h4	ZC3H4
4930447F04Rik	
	TRO
Tigd2	TIGD2
Ctag2	
Them6	THEM6
Snurf	SNURF
	CNPY1
Klhl1	KLHL1
Rad21	RAD21
Retreg1	RETREG1
Mterf4	MTERF4
Sh3rf1	SH3RF1
Clcn1	CLCN1
Mcm6	MCM6
	COX6A1
Rab10	RAB10
Mx1	MX1
Cyria	CYRIA
B3gnt9	B3GNT9
Hsf5	HSF5
Mgat4b	MGAT4B
Zic1	ZIC1
Rwdd3	RWDD3
Ptprd	PTPRD
Gas2	GAS2
Wfdc15b	
Dnajc27	DNAJC27
Fabp1	FABP1
Cetn4	
Lhx8	LHX8
Gpr183	GPR183
Dok5	DOK5
	KLHL42
Bpifb6	BPIFB6
Itgb8	ITGB8
Sowahb	SOWAHB
Fzd6	FZD6
Zc3h7a	ZC3H7A
	MT3
Gab3	GAB3
Hesx1	HESX1
Tbl1xr1	TBL1XR1
	ERICH3
	DDX50
Tmc3	TMC3
Pabir2	PABIR2
Acyp1	
Bzw2	BZW2
Arhgef38	ARHGEF38
Micos13	MICOS13
Cpped1	CPPED1
Cbr3	CBR3
Enkur	ENKUR
Abhd2	ABHD2
Ccdc194	CCDC194
Cdh9	CDH9
	VAMP7
Zic4	ZIC4
Gdf2	GDF2
	ADAM22
Sh2d6	SH2D6
Slc4a4	
Map9	MAP9
	TTC14
4833420G17Rik	C5orf34
Tlr1	TLR1
Pcdh9	PCDH9
