gene_name	index
A1BG	0
A1CF	1
A2M	2
A2ML1	3
A3GALT2	4
A4GALT	5
A4GNT	6
AAAS	7
AACS	8
AADAC	9
AADACL2	10
AADACL3	11
AADACL4	12
AADAT	13
AAGAB	14
AAK1	15
AAMDC	16
AAMP	17
AANAT	18
AAR2	19
AARD	20
AARS1	21
AARS2	22
AARSD1	23
AASDH	24
AASDHPPT	25
AASS	26
AATF	27
AATK	28
ABAT	29
ABCA1	30
ABCA10	31
ABCA12	32
ABCA13	33
ABCA2	34
ABCA3	35
ABCA4	36
ABCA5	37
ABCA6	38
ABCA7	39
ABCA8	40
ABCA9	41
ABCB1	42
ABCB10	43
ABCB11	44
ABCB4	45
ABCB5	46
ABCB6	47
ABCB7	48
ABCB8	49
ABCB9	50
ABCC1	51
ABCC10	52
ABCC11	53
ABCC12	54
ABCC2	55
ABCC3	56
ABCC4	57
ABCC5	58
ABCC6	59
ABCC8	60
ABCC9	61
ABCD1	62
ABCD2	63
ABCD3	64
ABCD4	65
ABCE1	66
ABCF1	67
ABCF2	68
ABCF3	69
ABCG1	70
ABCG2	71
ABCG4	72
ABCG5	73
ABCG8	74
ABHD1	75
ABHD10	76
ABHD11	77
ABHD12	78
ABHD12B	79
ABHD13	80
ABHD14A	81
ABHD14B	82
ABHD15	83
ABHD16A	84
ABHD16B	85
ABHD17A	86
ABHD17B	87
ABHD17C	88
ABHD18	89
ABHD2	90
ABHD3	91
ABHD4	92
ABHD5	93
ABHD6	94
ABHD8	95
ABI1	96
ABI2	97
ABI3	98
ABI3BP	99
ABITRAM	100
ABL1	101
ABL2	102
ABLIM1	103
ABLIM2	104
ABLIM3	105
ABO	106
ABR	107
ABRA	108
ABRACL	109
ABRAXAS1	110
ABRAXAS2	111
ABT1	112
ABTB1	113
ABTB2	114
ACAA1	115
ACAA2	116
ACACA	117
ACACB	118
ACAD10	119
ACAD11	120
ACAD8	121
ACAD9	122
ACADL	123
ACADM	124
ACADS	125
ACADSB	126
ACADVL	127
ACAN	128
ACAP1	129
ACAP2	130
ACAP3	131
ACAT1	132
ACAT2	133
ACBD3	134
ACBD4	135
ACBD5	136
ACBD6	137
ACBD7	138
ACCS	139
ACCSL	140
ACD	141
ACE	142
ACE2	143
ACER1	144
ACER2	145
ACER3	146
ACHE	147
ACIN1	148
ACKR1	149
ACKR2	150
ACKR3	151
ACKR4	152
ACLY	153
ACMSD	154
ACO1	155
ACO2	156
ACOD1	157
ACOT1	158
ACOT11	159
ACOT12	160
ACOT13	161
ACOT2	162
ACOT4	163
ACOT6	164
ACOT7	165
ACOT8	166
ACOT9	167
ACOX1	168
ACOX2	169
ACOX3	170
ACOXL	171
ACP1	172
ACP2	173
ACP3	174
ACP4	175
ACP5	176
ACP6	177
ACP7	178
ACR	179
ACRBP	180
ACRV1	181
ACSBG1	182
ACSBG2	183
ACSF2	184
ACSF3	185
ACSL1	186
ACSL3	187
ACSL4	188
ACSL5	189
ACSL6	190
ACSM1	191
ACSM2A	192
ACSM2B	193
ACSM3	194
ACSM4	195
ACSM5	196
ACSM6	197
ACSS1	198
ACSS2	199
ACSS3	200
ACTA1	201
ACTA2	202
ACTB	203
ACTBL2	204
ACTC1	205
ACTG1	206
ACTG2	207
ACTL10	208
ACTL6A	209
ACTL6B	210
ACTL7A	211
ACTL7B	212
ACTL8	213
ACTL9	214
ACTN1	215
ACTN2	216
ACTN3	217
ACTN4	218
ACTR10	219
ACTR1A	220
ACTR1B	221
ACTR2	222
ACTR3	223
ACTR3B	224
ACTR3C	225
ACTR5	226
ACTR6	227
ACTR8	228
ACTRT1	229
ACTRT2	230
ACTRT3	231
ACVR1	232
ACVR1B	233
ACVR1C	234
ACVR2A	235
ACVR2B	236
ACVRL1	237
ACY1	238
ACY3	239
ACYP1	240
ACYP2	241
ADA	242
ADA2	243
ADAD1	244
ADAD2	245
ADAL	246
ADAM10	247
ADAM11	248
ADAM12	249
ADAM15	250
ADAM17	251
ADAM18	252
ADAM19	253
ADAM2	254
ADAM20	255
ADAM21	256
ADAM22	257
ADAM23	258
ADAM28	259
ADAM29	260
ADAM30	261
ADAM32	262
ADAM33	263
ADAM7	264
ADAM8	265
ADAM9	266
ADAMDEC1	267
ADAMTS1	268
ADAMTS10	269
ADAMTS12	270
ADAMTS13	271
ADAMTS14	272
ADAMTS15	273
ADAMTS16	274
ADAMTS17	275
ADAMTS18	276
ADAMTS19	277
ADAMTS2	278
ADAMTS20	279
ADAMTS3	280
ADAMTS4	281
ADAMTS5	282
ADAMTS6	283
ADAMTS7	284
ADAMTS8	285
ADAMTS9	286
ADAMTSL1	287
ADAMTSL2	288
ADAMTSL3	289
ADAMTSL4	290
ADAMTSL5	291
ADAP1	292
ADAP2	293
ADAR	294
ADARB1	295
ADARB2	296
ADAT1	297
ADAT2	298
ADAT3	299
ADCK1	300
ADCK2	301
ADCK5	302
ADCY1	303
ADCY10	304
ADCY2	305
ADCY3	306
ADCY4	307
ADCY5	308
ADCY6	309
ADCY7	310
ADCY8	311
ADCY9	312
ADCYAP1	313
ADCYAP1R1	314
ADD1	315
ADD2	316
ADD3	317
ADGB	318
ADGRA1	319
ADGRA2	320
ADGRA3	321
ADGRB1	322
ADGRB2	323
ADGRB3	324
ADGRD1	325
ADGRD2	326
ADGRE1	327
ADGRE2	328
ADGRE3	329
ADGRE5	330
ADGRF1	331
ADGRF2	332
ADGRF3	333
ADGRF4	334
ADGRF5	335
ADGRG1	336
ADGRG2	337
ADGRG3	338
ADGRG4	339
ADGRG5	340
ADGRG6	341
ADGRG7	342
ADGRL1	343
ADGRL2	344
ADGRL3	345
ADGRL4	346
ADGRV1	347
ADH1A	348
ADH1B	349
ADH1C	350
ADH4	351
ADH5	352
ADH6	353
ADH7	354
ADHFE1	355
ADI1	356
ADIG	357
ADIPOQ	358
ADIPOR1	359
ADIPOR2	360
ADIRF	361
ADK	362
ADM	363
ADM2	364
ADM5	365
ADNP	366
ADNP2	367
ADO	368
ADORA1	369
ADORA2A	370
ADORA2B	371
ADORA3	372
ADPGK	373
ADPRH	374
ADPRHL1	375
ADPRM	376
ADPRS	377
ADRA1A	378
ADRA1B	379
ADRA1D	380
ADRA2A	381
ADRA2B	382
ADRA2C	383
ADRB1	384
ADRB2	385
ADRB3	386
ADRM1	387
ADSL	388
ADSS1	389
ADSS2	390
ADTRP	391
AEBP1	392
AEBP2	393
AEN	394
AFAP1	395
AFAP1L1	396
AFAP1L2	397
AFDN	398
AFF1	399
AFF2	400
AFF3	401
AFF4	402
AFG1L	403
AFG3L2	404
AFM	405
AFMID	406
AFP	407
AFTPH	408
AGA	409
AGAP1	410
AGAP2	411
AGAP3	412
AGAP4	413
AGAP5	414
AGAP6	415
AGAP9	416
AGBL1	417
AGBL2	418
AGBL3	419
AGBL4	420
AGBL5	421
AGER	422
AGFG1	423
AGFG2	424
AGGF1	425
AGK	426
AGL	427
AGMAT	428
AGMO	429
AGO1	430
AGO2	431
AGO3	432
AGO4	433
AGPAT1	434
AGPAT2	435
AGPAT3	436
AGPAT4	437
AGPAT5	438
AGPS	439
AGR2	440
AGR3	441
AGRN	442
AGRP	443
AGT	444
AGTPBP1	445
AGTR1	446
AGTR2	447
AGTRAP	448
AGXT	449
AGXT2	450
AHCTF1	451
AHCY	452
AHCYL1	453
AHCYL2	454
AHDC1	455
AHI1	456
AHNAK	457
AHNAK2	458
AHR	459
AHRR	460
AHSA1	461
AHSG	462
AHSP	463
AICDA	464
AIDA	465
AIF1	466
AIF1L	467
AIFM1	468
AIFM2	469
AIFM3	470
AIG1	471
AIM2	472
AIMP1	473
AIMP2	474
AIP	475
AIPL1	476
AIRE	477
AJAP1	478
AJM1	479
AJUBA	480
AK1	481
AK2	482
AK3	483
AK4	484
AK5	485
AK6	486
AK7	487
AK8	488
AK9	489
AKAIN1	490
AKAP1	491
AKAP10	492
AKAP11	493
AKAP12	494
AKAP13	495
AKAP14	496
AKAP17A	497
AKAP3	498
AKAP4	499
AKAP5	500
AKAP6	501
AKAP7	502
AKAP8	503
AKAP8L	504
AKAP9	505
AKIP1	506
AKIRIN1	507
AKIRIN2	508
AKNA	509
AKNAD1	510
AKR1A1	511
AKR1B1	512
AKR1B10	513
AKR1B15	514
AKR1C1	515
AKR1C2	516
AKR1C3	517
AKR1C4	518
AKR1C8	519
AKR1D1	520
AKR1E2	521
AKR7A2	522
AKR7A3	523
AKR7L	524
AKT1	525
AKT1S1	526
