TF_ID	Family_ID	TSource_ID	Motif_ID	MSource_ID	DBID	TF_Name	TF_Species	TF_Status	Family_Name	DBDs	DBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	SR_Model	SR_NoThreshold	TfSource_Name	TfSource_URL	TfSource_Year	TfSource_Month	TfSource_Day
T010779_2.00	F024_2.00	TS12_2.00	M04050_2.00	MS62_2.00	ENSDARG00000008861	tfap2e	Danio_rerio	I	AP-2	TF_AP-2	1	0.7	TFAP2E_FL_HT-SELEX_1	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010780_2.00	F024_2.00	TS12_2.00	M00112_2.00	MS02_2.00	ENSDARG00000012667	tfap2b	Danio_rerio	I	AP-2	TF_AP-2	1	0.7	Tcfap2b_3988	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010781_2.00	F024_2.00	TS12_2.00	M00111_2.00	MS02_2.00	ENSDARG00000023272	tfap2d	Danio_rerio	I	AP-2	TF_AP-2	1	0.7	Tcfap2a_2337	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010782_2.00	F024_2.00	TS12_2.00	M00111_2.00	MS02_2.00	ENSDARG00000040606	tfap2c	Danio_rerio	I	AP-2	TF_AP-2	1	0.7	Tcfap2a_2337	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010783_2.00	F024_2.00	TS12_2.00	M00111_2.00	MS02_2.00	ENSDARG00000059279	tfap2a	Danio_rerio	I	AP-2	TF_AP-2	1	0.7	Tcfap2a_2337	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010784_2.00	F024_2.00	TS12_2.00	.	.	ENSDARG00000096797	si:ch73-127m5.2	Danio_rerio	N	AP-2	TF_AP-2	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014495_2.00	F028_2.00	TS12_2.00	.	.	ENSDARG00000003098	kdm5bb	Danio_rerio	N	ARID/BRIGHT	ARID	1	0.42223096627141105	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014496_2.00	F028_2.00	TS12_2.00	M01661_2.00	MS64_2.00	ENSDARG00000037196	arid5b	Danio_rerio	I	ARID/BRIGHT	ARID	1	0.42223096627141105	pTH4426	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014497_2.00	F028_2.00	TS12_2.00	M00116_2.00	MS02_2.00	ENSDARG00000054307	zgc:77151	Danio_rerio	I	ARID/BRIGHT	ARID	1	0.42223096627141105	Arid5a_3770	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014498_2.00	F028_2.00	TS12_2.00	.	.	ENSDARG00000057093	kdm5ba	Danio_rerio	N	ARID/BRIGHT	ARID	1	0.42223096627141105	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
